key,0,1
#,AOZContentBriefingBNpc,Position
int32,AOZContentBriefingBNpc,uint16
0.0,"",0
1.0,"アリーナ・スライム",183
1.1,"アリーナ・デュラハン",163
1.2,"アリーナ・スライム",193
2.0,"アリーナ・プリン",183
2.1,"アリーナ・マシュマロ",238
2.2,"アリーナ・ババロア",193
3.0,"アリーナ・ジェラート",183
3.1,"アリーナ・フラン",238
3.2,"アリーナ・リコリス",193
4.0,"アリーナ・バット",185
4.1,"アリーナ・ウルフ",213
4.2,"アリーナ・バット",191
5.0,"ギルガメブラザー",213
5.1,"ギルガメブラザー",158
5.2,"ギルガメブラザー",168
6.0,"アリーナ・カトブレパス",235
6.1,"アリーナ・カトブレパス",241
6.2,"アリーナ・マンドラゴラ",385
6.3,"アリーナ・マンドラゴラ",391
7.0,"アリーナ・サイクロプス",161
7.1,"アリーナ・サイクロプス",165
8.0,"アリーナ・カトブレパス",263
8.1,"アリーナ・マンドラゴラ",363
8.2,"アリーナ・アイ",235
8.3,"アリーナ・アイ",241
9.0,"ラヴァスライム",213
9.1,"アイススプライト",210
9.2,"アイススプライト",216
10.0,"アイススプライト",157
10.1,"アイススプライト",169
10.2,"アイススプライト",457
10.3,"アイススプライト",469
10.4,"ラヴァスライム",261
10.5,"ラヴァスライム",265
10.6,"ラヴァスライム",361
10.7,"ラヴァスライム",365
11.0,"闘技システム",158
11.1,"闘技システム",168
11.2,"ラヴァスライム",281
11.3,"ラヴァスライム",283
11.4,"ラヴァスライム",285
11.5,"ラヴァスライム",291
11.6,"ラヴァスライム",293
11.7,"ラヴァスライム",295
12.0,"クロムドゥーブ",238
13.0,"アリーナ・ハーゲンティ",238
13.1,"アリーナ・ヴォドリガ",161
13.2,"アリーナ・ヴォドリガ",165
14.0,"アリーナ・タイニーボム",313
14.1,"アリーナ・スノール",238
14.2,"アリーナ・ボム",211
14.3,"アリーナ・ボム",215
14.4,"アリーナ・スノール",184
14.5,"アリーナ・スノール",188
14.6,"アリーナ・スノール",192
15.0,"アリーナ・マザーボム",138
15.1,"アリーナ・スノール",238
15.2,"アリーナ・タイニーボム",157
15.3,"アリーナ・スノール",134
15.4,"アリーナ・タイニーボム",313
15.5,"アリーナ・タイニーボム",169
15.6,"アリーナ・スノール",142
16.0,"アリーナ・ガスボム",208
16.1,"アリーナ・ガスボム",218
17.0,"アリーナ・ガスボム",231
17.1,"アリーナ・ガスボム",141
17.2,"アリーナ・ガスボム",485
17.3,"アリーナ・ガスボム",395
18.0,"アリーナ・ローズレット",105
18.1,"アリーナ・ローズレット",121
18.2,"アリーナ・ローズレット",505
18.3,"アリーナ・ローズレット",521
19.0,"アリーナ・ポイズンジャム",158
19.1,"アリーナ・ポイズンジャム",168
20.0,"アリーナ・ポイズンジャム",235
20.1,"アリーナ・ポイズンジャム",241
20.2,"アリーナ・ポイズンジャム",385
20.3,"アリーナ・ポイズンジャム",391
21.0,"ライトクロー",210
21.1,"レフトクロー",216
22.0,"アリーナ・グレネード",131
22.1,"アリーナ・グレネード",145
22.2,"アリーナ・グレネード",481
22.3,"アリーナ・グレネード",495
23.0,"アリーナ・マンティコア",238
23.1,"火薬樽",38
23.2,"火薬樽",94
23.3,"火薬樽",198
23.4,"火薬樽",318
23.5,"火薬樽",448
23.6,"火薬樽",544
23.7,"火薬樽",588
23.8,"火薬樽",532
23.9,"火薬樽",428
23.10,"火薬樽",308
23.11,"火薬樽",178
23.12,"火薬樽",82
24.0,"アリーナ・マンティコア",185
24.1,"アリーナ・マンティコア",191
24.2,"火薬樽",38
24.3,"火薬樽",94
24.4,"火薬樽",198
24.5,"火薬樽",318
24.6,"火薬樽",448
24.7,"火薬樽",544
24.8,"火薬樽",588
24.9,"火薬樽",532
24.10,"火薬樽",428
24.11,"火薬樽",308
24.12,"火薬樽",178
24.13,"火薬樽",82
25.0,"アリーナ・インプ",183
25.1,"アリーナ・インプ",193
26.0,"アリーナ・バイキング",211
26.1,"アリーナ・マグス",215
27.0,"",0
27.1,"",0
27.2,"",0
27.3,"",0
27.4,"",0
27.5,"",0
27.6,"",0
27.7,"",0
27.8,"",0
27.9,"",0
27.10,"",0
27.11,"",0
27.12,"",0
27.13,"",0
27.14,"",0
27.15,"",0
28.0,"",0
28.1,"",0
28.2,"",0
28.3,"",0
28.4,"",0
28.5,"",0
28.6,"",0
28.7,"",0
28.8,"",0
28.9,"",0
28.10,"",0
28.11,"",0
28.12,"",0
28.13,"",0
28.14,"",0
28.15,"",0
29.0,"",0
29.1,"",0
29.2,"",0
29.3,"",0
29.4,"",0
29.5,"",0
29.6,"",0
29.7,"",0
29.8,"",0
29.9,"",0
29.10,"",0
29.11,"",0
29.12,"",0
29.13,"",0
29.14,"",0
29.15,"",0
