key,0,1
#,Name,VFX
int32,ActionTimeline,VFX
0,"",""
1,"normal/magic_cmn_start",""
2,"normal/item_start",""
3,"normal/item_action_start",""
4,"normal/item_sp01_start",""
5,"normal/aettouch_start",""
6,"battle/idle",""
7,"idle_sp/idle_sp_1",""
8,"battle/mon_sp_a_start",""
9,"battle/mon_sp_a_loop",""
10,"battle/mon_sp_b_start",""
11,"battle/mon_sp_c_start",""
12,"battle/mon_sp_c_loop",""
13,"battle/mon_sp_d_start",""
14,"battle/mon_sp_e_start",""
15,"battle/mon_sp_f_start",""
16,"battle/mon_sp_g_start",""
17,"battle/mon_sp_h_start",""
18,"human_sp/bnpc_sp_start",""
19,"mon_sp/[SKL_ID]/mon_sp006",""
20,"mon_sp/[SKL_ID]/mon_sp025",""
21,"mon_sp/[SKL_ID]/mon_sp026",""
22,"mon_sp/[SKL_ID]/mon_sp027",""
23,"mon_sp/gimmick/a2f2_al_flarestar_eisyou",""
24,"pc_contentsaction/fatk_loop",""
25,"pc_contentsaction/npc_spc_start",""
26,"cr_mon/m0037/cr_mon001_loop",""
27,"cr_mon/m0034/cr_mon001_loop",""
28,"cr_mon/m0054/cr_mon001_loop",""
29,"battle/magic_pld_start","cmpl_castx0c"
30,"battle/magic_ran_start",""
31,"battle/magic_sng_start","cmsn_castx0c"
32,"battle/magic_cnj_start","cmcn_castx0c"
33,"battle/magic_wht_start","cmwh_castx0c"
34,"battle/magic_thm_start","cmth_castx0c"
35,"battle/magic_blk_start","cmbl_castx0c"
36,"battle/magic_swl_start","cmsw_castx0s"
37,"normal/callpet_start","cmpt_castx0t"
38,"battle/magic_sum_start","cmsm_castx0s"
39,"battle/magic_sch_start","cmsc_castx0s"
40,"battle/magic_ast_start","cmas_castx0h"
41,"battle/magic_lgi_start","cmas_castx0h"
42,"battle/attach_start",""
43,"battle/magic_sam_start",""
44,"battle/magic_rdm_start","cmrd_castx0h"
45,"battle/magic_rdm_start","cmbl_castx0c"
46,"battle/magic_rdm_start","cmwh_castx0c"
47,"rol_common/magic_rol_start","cmrl_castx0c"
48,"event_base/event_base_ninja_pose1",""
49,"limitbreak/lbk_tank_start",""
50,"limitbreak/lbk_melee_start",""
51,"limitbreak/lbk_finalheaven_start",""
52,"limitbreak/lbk_caster_start",""
53,"limitbreak/lbk_healer_start",""
54,"limitbreak/lbk_range_start",""
55,"limitbreak/lbk_dragoon_start",""
56,"limitbreak/lbk_ninja_start",""
57,"limitbreak/lbk_bard_start",""
58,"limitbreak/lbk_machine_start",""
59,"limitbreak/lbk_summon_start",""
60,"limitbreak/lbk_scholar_start",""
61,"limitbreak/lbk_astro_start",""
62,"limitbreak/lbk_samurai_start",""
63,"limitbreak/lbk_redmage_start",""
64,"idle_sp/idle_sp_2",""
65,"limitbreak/lbk_platoon_start",""
66,"limitbreak/lbk_platoon_melee_start",""
67,"mon_sp/gimmick/a2d4_boss_gimmick04",""
68,"battle/magic_aoz_start",""
69,"battle/magic_sum_start","cmsm_alf_castx0f"
70,"eureka/magic_erk_start",""
71,"battle/mon_sp_i_start",""
72,"limitbreak/lbk_dancer_start",""
73,"human_sp/human_sp_a_start",""
74,"human_sp/human_sp_b_start",""
75,"battle/magic_ytc_start",""
76,"idle_sp/idle_sp_3",""
77,"mon_sp/[SKL_ID]/mon_sp001",""
78,"mon_sp/[SKL_ID]/mon_sp002",""
79,"battle/mon_sp_b_loop",""
80,"pc_contentsaction/bazooka_start",""
81,"eureka/myc_item_start",""
82,"battle/mon_sp_j_start",""
83,"pc_contentsaction/hula_powerup_start",""
84,"pc_contentsaction/hula_heal_start",""
85,"human_sp/human_sp_lbk_melee_start",""
86,"battle/magic_2fa_start","cmff_castx1v"
87,"battle/magic_2fb_start","cmff_castx0v"
88,"battle/magic_2fc_start","cmff_castx2v"
89,"battle/magic_rr1_start","rrp_mgc_cast01_c0x"
90,"battle/magic_rr3_start","rrp_mgc_cast03_c0x"
91,"mon_sp/[SKL_ID]/show/mon_sp_a_start",""
92,"mon_sp/[SKL_ID]/show/mon_sp_b_start",""
93,"mon_sp/[SKL_ID]/show/mon_sp_c_start",""
94,"mon_sp/[SKL_ID]/show/mon_sp_d_start",""
95,"mon_sp/[SKL_ID]/show/mon_sp_e_start",""
96,"idle_sp/idle_sp_4",""
97,"limitbreak/lbk_sage_start","lbk_gff_lv3_c0v"
98,"limitbreak/lbk_reaper_start",""
99,"pc_contentsaction/bazooka2_start",""
100,"battle/magic_2fb_start_bm",""
101,"battle/magic_rr2_start","rrp_mgc_cast02_c0x"
102,"battle/magic_2fd_start","cmff_castx3v"
103,"battle/mon_sp_k_start",""
104,"battle/magic_brd_start",""
105,"mount/mon_sp_a_start",""
106,"mount/mon_sp_b_start",""
107,"battle/magic_mcn_start",""
108,"normal/decifer_start",""
109,"normal/swim_on_decifer_start",""
110,"normal/swim_under_decifer_start",""
111,"normal/item_pvp_start",""
