Index,0:？
0,
1,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|先锋剑}}<br>2：{{color|id=500|狂怒剑}}<br>3：{{color|id=500|战女神之怒}}
2,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|先锋剑}}<br>2：{{color|id=500|暴乱剑}}<br>3：{{color|id=500|王权剑}}<br><br>{{color|id=506|※忠义之剑状态中，变为赎罪剑。}}
3,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|重劈}}<br>2：{{color|id=500|裂骨斩}}<br>3：{{color|id=500|寒风斧}}
4,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|重劈}}<br>2：{{color|id=500|凶残裂}}<br>3：{{color|id=500|暴风斩}}
5,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|重斩}}<br>2：{{color|id=500|回环斩}}<br>3：{{color|id=500|强力斩}}
6,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|重斩}}<br>2：{{color|id=500|吸收斩}}<br>3：{{color|id=500|噬魂斩}}
7,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|连击}}<br>2：{{color|id=500|正拳}}<br>3：{{color|id=500|崩拳}}
8,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|双龙脚}}<br>2：{{color|id=500|双掌打}}<br>3：{{color|id=500|破碎拳}}
9,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|龙眼雷电}}<br>2：{{color|id=500|直刺}}<br>3：{{color|id=500|龙牙龙爪}}<br>4：{{color|id=500|龙尾大回旋}}
10,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|脉冲枪}}<br>2：{{color|id=500|开膛枪}}<br>3：{{color|id=500|樱花怒放}}<br>4：{{color|id=500|龙尾大回旋}}
11,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|双刃旋}}<br>2：{{color|id=500|绝风}}<br>3：{{color|id=500|旋风刃}}<br><br>{{color|id=506|※三印自在状态中，变为冰晶乱流之术。}}
12,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|双刃旋}}<br>2：{{color|id=500|影牙}}
13,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|刃风}}<br>2：{{color|id=500|雪风}}
14,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|阵风}}<br>2：{{color|id=500|月光}}
