key,0
#,Status
int32,Status
0,""
1,"ストレートショット実行可"
2,"ケアルラ効果アップ"
3,"ケアルガ効果アップ"
4,"サンダー系魔法効果アップ"
5,"ファイガ効果アップ"
6,"士気高揚の策効果アップ"
7,"竜牙竜爪効果アップ"
8,"竜尾大車輪効果アップ"
9,"スラッグショット効果アップ"
10,"クリーンショット効果アップ"
11,"アンリーシュ効果アップ"
12,"ベネフィラ効果アップ"
13,"ミラージュダイブ実行可"
14,"燕飛効果アップ"
15,"ヴァルファイア効果アップ"
16,"ヴァルストーン効果アップ"
17,"インパクト詠唱可"
18,"スキャッター効果アップ"
19,"サンダー系魔法効果アップ"
20,"疾風の極意"
21,"連続魔"
22,"略式詠唱"
23,"疾風の極意"
24,"ルインラ強化"
25,"リバースカスケード実行可"
26,"ファウンテンフォール実行可"
27,"ライジングウィンドミル実行可"
28,"ブラッドシャワー実行可"
29,"扇の舞い【急】実行可"
30,""
31,"レクイエスカット"
32,"竜眼雷電実行可"
33,"ジャギュラーリップ実行可"
34,"アブドメンテアー実行可"
35,"アイガウジ実行可"
36,"忠義の剣"
37,"終撃実行可"
38,"扇の舞い【急】実行可"
39,"忠義の剣"
40,"霊泉"
41,"原初の混沌"
42,"ジャギュラーリップ実行可"
43,"アブドメンテアー実行可"
44,"アイガウジ実行可"
