Index,0:？
0,
1,{{fonticon|10|t=30}}收回物品
2,{{fonticon|12|t=30}}+{{fonticon|13|t=30}}粘贴  {{fonticon|10|t=30}}删除  <if (<param:操作方式> > 0) { {{fonticon|11|t=30}}软键盘 }>
3,{{fonticon|8|t=30}}改变队员排列顺序  {{fonticon|10|t=30}}次级指令
4,{{fonticon|11|t=30}}开始搜索
5,{{fonticon|10|t=30}}次级指令 {{fonticon|8|t=30}}购买 {{fonticon|11|t=30}}选择要出售的道具
6,{{fonticon|10|t=30}}次级指令  {{fonticon|11|t=30}}文本指令一览
7,{{fonticon|10|t=30}}次级指令  {{fonticon|11|t=30}}写新邮件
8,{{fonticon|10|t=30}}次级指令
9,{{fonticon|8|t=30}}{{fonticon|10|t=30}}次级指令  {{fonticon|9|t=30}}返回
10,{{fonticon|8|t=30}}选择附件道具
11,{{fonticon|10|t=30}}在任务列表中优先显示或隐藏  {{fonticon|24|t=30}}滚动查看详细情报
12,{{fonticon|10|t=30}}次级指令  {{fonticon|9|t=30}}返回
13,{{fonticon|12|t=30}}
14,{{fonticon|13|t=30}}
15,{{fonticon|10|t=30}}设置热键  {{fonticon|8|t=30}}发动
16,{{fonticon|10|t=30}}装备栏次级指令
17,{{fonticon|23|t=30}}滚动  {{fonticon|11|t=30}}切换地图类型  {{fonticon|12|t=30}}+{{fonticon|23|t=30}}缩放  {{fonticon|8|t=30}}切换地图
18,{{fonticon|23|t=30}}滚动  {{fonticon|11|t=30}}切换地图类型  {{fonticon|13|t=30}}切换  {{fonticon|12|t=30}}+{{fonticon|23|t=30}}缩放  {{fonticon|8|t=30}}切换地图
19,{{fonticon|8|t=30}}{{fonticon|10|t=30}}次级指令
20,{{fonticon|8|t=30}}{{fonticon|10|t=30}}次级指令
21,{{fonticon|8|t=30}}{{fonticon|10|t=30}}次级指令
22,{{fonticon|10|t=30}}次级指令
23,{{fonticon|10|t=30}}次级指令  {{fonticon|11|t=30}}选择交易道具
24,{{fonticon|8|t=30}}出售  {{fonticon|10|t=30}}次级指令
25,{{fonticon|8|t=30}}{{fonticon|10|t=30}}次级指令  {{fonticon|11|t=30}}选择出售商品
26,{{fonticon|10|t=30}}次级指令
27,{{fonticon|10|t=30}}次级指令
28,{{fonticon|10|t=30}}次级指令  {{fonticon|9|t=30}}返回
29,{{fonticon|10|t=30}}次级指令  {{fonticon|9|t=30}}返回
30,{{fonticon|8|t=30}}确认接受  {{fonticon|11|t=30}}查看日志  {{fonticon|24|t=30}}滚动查看详细情报
31,{{fonticon|11|t=30}}搜索
32,{{fonticon|10|t=30}}次级指令  {{fonticon|8|t=30}}查看市场情况  {{fonticon|9|t=30}}返回
33,{{fonticon|10|t=30}}次级指令  {{fonticon|8|t=30}}查看市场情况  {{fonticon|9|t=30}}返回  {{fonticon|12|t=30}}{{fonticon|13|t=30}}翻页
34,{{fonticon|8|t=30}}{{fonticon|10|t=30}}次级指令
35,{{fonticon|11|t=30}}重新获取队员招募列表　{{fonticon|10|t=30}}次级指令　{{fonticon|8|t=30}}查看详情
36,{{fonticon|11|t=30}}开始搜索
37,{{fonticon|11|t=30}}在各个职能间依次切换　{{fonticon|8|t=30}}指定具体职业
38,{{fonticon|10|t=30}}次级指令  {{fonticon|8|t=30}}交换
39,{{fonticon|10|t=30}}次级指令
40,{{fonticon|10|t=30}}次级指令  {{fonticon|8|t=30}}确定  {{fonticon|9|t=30}}关闭
41,{{fonticon|13|t=30}}
42,{{fonticon|12|t=30}}
43,{{fonticon|23|t=30}}滚动  {{fonticon|11|t=30}}切换地图类型  {{fonticon|12|t=30}}+{{fonticon|23|t=30}}缩放  {{fonticon|8|t=30}}传送
44,{{fonticon|10|t=30}}次级指令
45,{{fonticon|8|t=30}}{{fonticon|10|t=30}} 次级指令
46,{{fonticon|10|t=30}}次级指令  {{fonticon|11|t=30}}编辑宏指令  {{fonticon|24|t=30}}滚动查看详细情报
47,{{fonticon|8|t=30}}选择  {{fonticon|11|t=30}}返回列表
48,{{fonticon|8|t=30}}解除选择  {{fonticon|11|t=30}}切换到物品窗口
49,{{fonticon|11|t=30}}切换到物品窗口
50,{{fonticon|10|t=30}}次级指令  {{fonticon|11|t=30}}搜索道具
