key,0,1,2,3
#,Item{Unprimed},Item{Primed},Grade,HoursRequired
int32,Item,Item,byte,byte
0,"","",0,72
1,"1级教练以太转轮","1级教练充能转轮",1,20
2,"1级修炼以太转轮","1级修炼充能转轮",1,20
3,"1级锻炼以太转轮","1级锻炼充能转轮",1,20
4,"1级特训以太转轮","1级特训充能转轮",1,20
5,"1级战绩以太转轮","1级战绩充能转轮",1,20
6,"1级军功以太转轮","1级军功充能转轮",1,20
7,"1级新兵以太转轮","1级新兵充能转轮",1,20
8,"1级达识以太转轮","1级达识充能转轮",1,20
9,"1级博识以太转轮","1级博识充能转轮",1,20
10,"1级名匠以太转轮","1级名匠充能转轮",1,20
11,"1级巨匠以太转轮","1级巨匠充能转轮",1,20
12,"1级精炼以太转轮","1级精炼充能转轮",1,20
13,"1级美食以太转轮","1级美食充能转轮",1,20
14,"1级耐久以太转轮","1级耐久充能转轮",1,20
15,"1级疾风以太转轮","1级疾风充能转轮",1,20
16,"1级旅人以太转轮","1级旅人充能转轮",1,20
17,"2级教练以太转轮","2级教练充能转轮",2,45
18,"2级修炼以太转轮","2级修炼充能转轮",2,45
19,"2级锻炼以太转轮","2级锻炼充能转轮",2,45
20,"2级特训以太转轮","2级特训充能转轮",2,45
21,"2级战绩以太转轮","2级战绩充能转轮",2,45
22,"2级军功以太转轮","2级军功充能转轮",2,45
23,"2级新兵以太转轮","2级新兵充能转轮",2,45
24,"2级达识以太转轮","2级达识充能转轮",2,45
25,"2级博识以太转轮","2级博识充能转轮",2,45
26,"2级名匠以太转轮","2级名匠充能转轮",2,45
27,"2级巨匠以太转轮","2级巨匠充能转轮",2,45
28,"2级精炼以太转轮","2级精炼充能转轮",2,45
29,"2级美食以太转轮","2级美食充能转轮",2,45
30,"2级耐久以太转轮","2级耐久充能转轮",2,45
31,"2级疾风以太转轮","2级疾风充能转轮",2,45
32,"2级旅人以太转轮","2级旅人充能转轮",2,45
33,"3级教练以太转轮","3级教练充能转轮",3,70
34,"3级修炼以太转轮","3级修炼充能转轮",3,70
35,"3级锻炼以太转轮","3级锻炼充能转轮",3,70
36,"3级特训以太转轮","3级特训充能转轮",3,70
37,"3级战绩以太转轮","3级战绩充能转轮",3,70
38,"3级军功以太转轮","3级军功充能转轮",3,70
39,"","",3,70
40,"3级达识以太转轮","3级达识充能转轮",3,70
41,"3级博识以太转轮","3级博识充能转轮",3,70
42,"3级名匠以太转轮","3级名匠充能转轮",3,70
43,"3级巨匠以太转轮","3级巨匠充能转轮",3,70
44,"3级精炼以太转轮","3级精炼充能转轮",3,70
45,"3级美食以太转轮","3级美食充能转轮",3,70
46,"3级耐久以太转轮","3级耐久充能转轮",3,70
47,"","",3,70
48,"3级旅人以太转轮","3级旅人充能转轮",3,70
49,"1级游戏以太转轮","1级游戏充能转轮",1,20
50,"2级游戏以太转轮","2级游戏充能转轮",2,45
51,"3级游戏以太转轮","3级游戏充能转轮",3,70
