key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,PlaceName,AethernetName,Territory,Level[0],Level[1],Level[2],Level[3],IsAetheryte,,AethernetGroup,Invisible,RequiredQuest,Map,Aetherstream{X},Aetherstream{Y},Order,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,PlaceName,PlaceName,TerritoryType,Level,Level,Level,Level,bit&01,byte,str,byte,Quest,Map,uint16,int16,int16,byte
0,"エーテライト",0,"",0,0,1,0,0,"","",,,,,,False,0,"Aetheryte",0,,"",0,0,0,0
1,"都市内エーテライト",0,"",0,0,1,0,0,"","","",,,,,True,0,"Aetheryte",0,,"",0,0,0,0
2,"",0,"",0,0,1,0,0,"グリダニア：新市街","エーテライト・プラザ（冒険者・木工師ギルド/双蛇党）","f1t1",,,,,True,4,"Aetheryte",2,,"",2,1560,720,21
3,"",0,"",0,0,1,0,0,"ベントブランチ牧場","","f1f1",,,,,True,4,"Aetheryte",0,,"",4,1540,820,22
4,"",0,"",0,0,1,0,0,"ホウソーン家の山塞","","f1f2",,,,,True,4,"Aetheryte",0,,"",5,1700,820,23
5,"",0,"",0,0,1,0,0,"クォーリーミル","","f1f3",,,,,True,4,"Aetheryte",0,,"",6,1580,920,24
6,"",0,"",0,0,1,0,0,"キャンプ・トランキル","","f1f3",,,,,True,4,"Aetheryte",0,,"",6,1520,980,25
7,"",0,"",0,0,1,0,0,"フォールゴウド","","f1f4",,,,,True,4,"Aetheryte",0,,"",7,1400,720,26
8,"",0,"",0,0,1,0,0,"リムサ・ロミンサ：下甲板層","エーテライト・プラザ","s1t2",,,,,True,3,"Aetheryte",1,,"",12,640,1200,1
9,"",0,"",0,0,1,0,0,"ウルダハ：ナル回廊","エーテライト・プラザ（格闘士ギルド/不滅隊）","w1t1",,,,,True,5,"Aetheryte",3,,"",13,1260,1380,41
10,"",0,"",0,0,1,0,0,"モラビー造船廠","","s1f2",,,,,True,3,"Aetheryte",0,,"",16,780,1220,3
11,"",0,"",0,0,1,0,0,"コスタ・デル・ソル","","s1f3",,,,,True,3,"Aetheryte",0,,"",17,820,1120,4
12,"",0,"",0,0,1,0,0,"ワインポート","","s1f3",,,,,True,3,"Aetheryte",0,,"",17,780,1040,5
13,"",0,"",0,0,1,0,0,"スウィフトパーチ入植地","","s1f4",,,,,True,3,"Aetheryte",0,,"",18,600,1100,6
14,"",0,"",0,0,1,0,0,"エールポート","","s1f4",,,,,True,3,"Aetheryte",0,,"",18,540,1100,7
15,"",0,"",0,0,1,0,0,"キャンプ・ブロンズレイク","","s1f5",,,,,True,3,"Aetheryte",0,,"",19,760,1000,8
16,"",0,"",0,0,1,0,0,"キャンプ・オーバールック","","s1f6",,,,,True,3,"Aetheryte",0,,"",30,680,960,9
17,"",0,"",0,0,1,0,0,"ホライズン","","w1f1",,,,,True,5,"Aetheryte",0,,"",20,1120,1260,42
18,"",0,"",0,0,1,0,0,"キャンプ・ドライボーン","","w1f3",,,,,True,5,"Aetheryte",0,,"",22,1360,1210,44
19,"",0,"",0,0,1,0,0,"リトルアラミゴ","","w1f4",,,,,True,5,"Aetheryte",0,,"",23,1360,1340,45
20,"",0,"",0,0,1,0,0,"忘れられたオアシス","","w1f4",,,,,True,5,"Aetheryte",0,,"",23,1360,1440,46
21,"",0,"",0,0,1,0,0,"キャンプ・ブルーフォグ","","w1f5",,,,,True,5,"Aetheryte",0,,"",24,1280,1160,47
22,"",0,"",0,0,1,0,0,"青燐精製所","","w1f5",,,,,True,5,"Aetheryte",0,,"",24,1260,1100,48
23,"",0,"",0,0,1,0,0,"キャンプ・ドラゴンヘッド","","r1f1",,,,,True,6,"Aetheryte",0,,"",53,1180,580,62
