key,0
#,
int32,str
0,""
1,"タタル"
2,"タタル・タル"
3,"暁の血盟
金庫番"
4,"　「暁の血盟」の受付を務めるララフェル族の女性。経理も務めるため、暁の金庫番とも呼ばれる。

　ウルダハの商家に生まれ、幼い頃は豊かな暮らしをしていたが破産を経験。借金取りから追われる生活の中で「金」のなんたるかを学んだタタルは、12歳から宝石商に丁稚奉公し、わずかな給金で貧しい家計を支えてきた。その際、原石を売りに来ていた採掘師時代のミンフィリアと知り合っており、後に彼女が「十二跡調査会」を設立した時、経理担当としてスカウトされることに繋がったようだ。
　この誘いに対しタタルは、単なる商売のためではなく、人のために働いてみたいと快諾。その後、拠点である「砂の家」において受付も担当するようになると、得意の交渉術を駆使して人脈を広げ、異能者の互助組織としての側面を持つ同組織において「超える力」保有者の発見にも貢献した。

　第七霊災を経て「救世詩盟」との合併に伴って「暁の血盟」が設立されると、引き続き受付・兼・金庫番として活躍。ウルダハの政変に巻き込まれる形で、暁が瓦解しかけた際にも光の戦士やアルフィノとともにイシュガルドへと落ち延び、組織再建の道筋を造っている。また、東方遠征にも同行し、クガネにおいて東アルデナード商会と協力関係を構築し、当地における反帝国活動を支えたことも称賛に値するだろう。

　なお、本人としては、長らく戦闘行為において貢献できないでいたことに思う所があったらしく、得意の計算術に通じる巴術の修行を行ったこともあった。しかし、召喚した使い魔「カーバンクル」に逃げられるなど、上手くいかず、その後は採掘や裁縫の技を修めることに注力。職人としても一流と言って良い腕前へと成長を遂げている。その腕は、光の戦士の旅装束や、賢人たちのための装備の製作にも遺憾なく発揮され、後には「大繁盛商店」なる武具店をオールド・シャーレアンに開店させるまでに至った。"
5,"暁の血盟"
6,"暁の血盟"
7,"　ルイゾワ・ルヴェユールがエオルゼアの救済を目的として立ち上げた「救世詩盟」と、ミンフィリア・ウォードが設立した「十二跡調査会」が、第七霊災の後に合併する形で成立した秘密結社。

　蛮神問題の解決やガレマール帝国による侵略、そして、歴史の陰で暗躍する「アシエン」への対抗を活動の主目的に据えており、エオルゼア諸国の盟主とも強固に連携してきた。
　また、これらの問題の解決の糸口として、異能「超える力」にも着目しており、異能者の勧誘も進めていた。後に英雄と称される光の戦士もまた、「超える力」の持ち主として同組織へと勧誘されている。

　彼らは蛮神の討滅や帝国軍第XIV軍団との戦いで活躍。公的な組織として知られるようになると、先行統一組織「クリスタルブレイブ」の立ち上げにも関与したが、ウルダハの共和派と対立し、ナナモ女王暗殺の嫌疑をかけられ瓦解寸前にまで追い込まれる。しかし、王党派ラウバーンとナナモ女王の復権により疑いを晴らし、アラミゴやドマの解放にも大いに貢献を果たした。

　その後、終末を巡る騒動の解決を以て、使命を果たし終えたとして対外的に解散を発表。再び秘密結社となり、表舞台から姿を隠したのだった。"
8,"終末の災厄"
9,"終末の災厄"
10,"　古の昔、「アーテリス」と呼ばれていた星を襲った破滅的な災厄のこと。
当時の人々は、生命を創ることすら可能な「創造魔法」と呼ばれる奇跡の術を操り、繁栄を謳歌していた。しかし、大地が鳴くという奇妙な現象の後、次々と創造魔法が暴発し、恐怖を体現したかのような異形の獣が出現。またたく間に人類は滅亡の淵へと追い込まれた。

　人類の代表者たる十四人委員会は、この現象が星の最外層を巡るエーテルの流れ、「天脈」が薄い地域から発生していることに着目。天脈を敷き直すべく、新たなる星の理たる存在「ゾディアーク」を召喚した。それは残存人類の約半数の命を糧とせねばならないほどの大業であったが、多くの人々は賛同し従ったという。

　この災厄については長らく歴史から忘れられてきたが、現代において終末の再来を宣言する組織テロフォロイが活動を始めたことで、「暁の血盟」が調査に乗り出した。
　結果判明したのは、古代人「ヘルメス」が命の意味を問うために天へと放っていた星渡る創造生物「メーティオン」が、災厄の発生源となっていたことだった。先ゆく星々の絶望を取り込んでしまった彼女は「終焉を謳うもの」と化し、想いによって作用する力「デュナミス」を行使して、苦しみに満ちた生を繰り返さぬようにと星々を滅びへと誘っていたのだ。

　光の戦士たちが希望を繋ぎ、これを解き放ったことで、終末もまた終わりを告げたのだった。"
11,"エスティニアン"
12,"エスティニアン・ヴァーリノ"
13,"暁の血盟
竜騎士"
