key,0,1,2,3,4,5,6,7
#,Item,,SecondaryStatTotal,Parameter[0],Parameter[1],Parameter[2],Parameter[3],Parameter[4]
int32,Item,byte,byte,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param
0,"",0,0,"","","","",""
1,"アルマス・コンダクト",1,128,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
2,"ウルスラグナ・コンダクト",2,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
3,"ウコンバサラ・コンダクト",3,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
4,"ロンゴミアント・コンダクト",4,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
5,"ガーンデーヴァ・コンダクト",5,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
6,"マジェスタス・コンダクト",6,180,"信仰","ダイレクトヒット","クリティカル","意思力","スペルスピード"
7,"フヴェルゲルミル・コンダクト",7,180,"信仰","ダイレクトヒット","クリティカル","意思力","スペルスピード"
8,"ドラコノミコン・コンダクト",8,180,"信仰","ダイレクトヒット","クリティカル","意思力","スペルスピード"
9,"テトラビブロス・コンダクト",9,180,"信仰","ダイレクトヒット","クリティカル","意思力","スペルスピード"
10,"神無【伝】",10,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
11,"アルマゲドン・コンダクト",11,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
12,"ノートゥング・コンダクト",12,180,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
13,"デネブ・コンダクト",13,180,"信仰","ダイレクトヒット","クリティカル","意思力","スペルスピード"
14,"アンキレー・コンダクト",14,52,"不屈","ダイレクトヒット","クリティカル","意思力","スキルスピード"
