key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,,CrystalSand,Qty,ItemName[0],IsHQ[0],Quantity[0],ItemName[1],IsHQ[1],Quantity[1],ItemName[2],IsHQ[2],Quantity[2],ItemName[3],IsHQ[3],Quantity[3],ItemName[4],IsHQ[4],Quantity[4],ItemName[5],IsHQ[5],Quantity[5],ItemName[6],IsHQ[6],Quantity[6],ItemName[7],IsHQ[7],Quantity[7],Category
int32,byte,Item,byte,Item,bool,byte,Item,bool,byte,Item,bool,byte,Item,bool,byte,Item,bool,byte,Item,bool,byte,Item,bool,byte,Item,bool,byte,AnimaWeapon5PatternGroup
0,0,"",0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,""
1,1,"Crystal Sand",2,"Rowena's Token (Blue Crafters' Scrip)",False,5,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Rowena's Tokens (Blue Crafters' Scrip)"
2,2,"Crystal Sand",2,"Rowena's Token (Blue Gatherers' Scrip)",False,5,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Rowena's Tokens (Blue Gatherers' Scrip)"
3,3,"Crystal Sand",2,"Garlond Steel",False,1,"Celestine",False,1,"High Allagan Chimera Leather",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Crafting Materials"
4,4,"Crystal Sand",2,"Amber-encased Vilekin",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Amber-encased Vilekin"
5,5,"Crystal Sand",2,"Fire Materia IV",False,1,"Wind Materia IV",False,1,"Lightning Materia IV",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Astral-aspected Materia"
6,6,"Crystal Sand",2,"Ice Materia IV",False,1,"Earth Materia IV",False,1,"Water Materia IV",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Umbral-aspected Materia"
7,7,"Crystal Sand",2,"Battlecraft Demimateria I",False,3,"Battlecraft Demimateria II",False,2,"Fieldcraft Demimateria I",False,3,"Fieldcraft Demimateria II",False,2,"",False,0,"",False,0,"",False,0,"",False,0,"Demimateria"
8,8,"Crystal Sand",2,"Moonstone",False,5,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Moonstones"
9,9,"Crystal Sand",2,"Inferno Horn",False,1,"Crag Heart",False,1,"Diamond Tear",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Primal Pieces I"
10,10,"Crystal Sand",2,"Superior Enchanted Ink",False,5,"Thavnairian Mist",False,5,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Other Items II"
11,11,"Crystal Sand",2,"Mhachi Farthing",False,2,"Allagan Catalyst",False,5,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Primal Pieces II"
12,12,"Crystal Sand",2,"Vortex Feather",False,1,"Barb of the Whorl",False,1,"Large Levin Orb",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"",False,0,"Other Items I"
13,13,"Crystal Sand",2,"Unidentifiable Bone",False,1,"Unidentifiable Shell",False,1,"Unidentifiable Ore",False,1,"Unidentifiable Seeds",False,1,"",False,0,"",False,0,"",False,0,"",False,0,"Esoterica"
