key,0
#,Dialogue
int32,AnimaWeaponFUITalkParam
0.0,""
1.0,"どうだ、俺の力は……！
またひとつ、主に近づけただろうか。"
2.0,"次の試練も俺に任せておけ！
さぁ、行くぞ！"
3.0,"主との試練の旅は、苦難の連続だ……。
そうか……俺の決意が試されてるのか……。"
4.0,"なかなか、骨が折れる試練だ……。
しかし、主の隣で戦えるのならば、
この程度、どうってことない……！"
5.0,"主、そんな真剣に俺のことを見て……何かあったか？
疲れているのかと気遣ってくれたならば、心配はない。
まだまだ、俺は戦えるぞ！"
6.0,"本当に、これで新たな力が手に入るのだろうか……。
……いや、弱音なんて吐いてはいけないな。
主……行こう！"
7.0,"見てみろ、主！
なんだか、以前より力が扱いやすくなっている！
試練を乗り越えた頃には、俺はもっと強くなっているぞ！"
8.0,"どうだ、主……期待に応えられるものになっているか？
主にたくさん使ってもらうため、
まだまだ、頑張るぞ。"
9.0,"いままで、主が与えてくれた力が、
ひとつに集まってきているのか……？"
10.0,"あと少しで、力を自分のものにできるような気がするんだ。"
11.0,"溢れそうになっていた力がひとつになった気がする……。
これが、試練の成果だというのか……！"
