key,0,1,2,3
#,AquariumWater,Size,Item,
int32,AquariumWater,byte,Item,uint16
0,"無効",0,"",0
2,"淡水",1,"銅魚",40
3,"海水",1,"コーラルバタフライ",49
4,"海水",2,"ブローフィッシュ",7
5,"淡水",2,"クラウンローチ",54
6,"淡水",2,"ダークバス",31
7,"淡水",2,"カラードカープ",13
8,"淡水",3,"アカザ",52
9,"淡水",3,"血紅龍",61
10,"海水",3,"シーラカンス",98
11,"海水",4,"シルバーシャーク",3
12,"海水",4,"マズラヤマーリン",28
13,"海水",4,"ヘルムズマンズハンド",7
14,"淡水",4,"バイオピラルク",41
15,"淡水",1,"チャブ",19
16,"海水",1,"ハーバーヘリング",46
17,"淡水",2,"ミラースケイル",19
18,"淡水",2,"オヤジウオ",41
19,"海水",2,"エンジェルフィッシュ",42
20,"淡水",3,"ゴブリンパーチ",2
21,"淡水",3,"バヌバヌヘッド",57
22,"海水",3,"ハンプヘッド",127
23,"海水",4,"ディニクティス",10
24,"淡水",4,"オオタキタロ",23
25,"淡水",1,"出目金",118
26,"海水",1,"春告魚",151
27,"淡水",2,"金魚",6
28,"淡水",2,"ブルーウィドー",28
29,"淡水",2,"アロワナ",73
30,"海水",2,"フルムーンサーディン",8
31,"淡水",2,"雨乞魚",85
32,"海水",3,"ボンバードフィッシュ",3
33,"海水",4,"タイタニックソー",13
34,"海水",4,"鰭竜",67
35,"淡水",1,"グリップキリフィッシュ",21
36,"海水",1,"タイガーコッド",63
37,"淡水",2,"キッシング・グラミー",101
38,"淡水",2,"雷神魚",131
39,"淡水",2,"黄彩魚",153
40,"淡水",2,"飛天魚",217
41,"淡水",2,"ナーマの使者",218
42,"淡水",3,"煌魚",40
43,"海水",3,"ハナタツ",156
44,"海水",4,"メガロドン",12
45,"淡水",1,"天女魚",132
46,"海水",1,"ホウネンエソ",200
47,"淡水",2,"パガルザンディスカス",78
48,"淡水",2,"絹鯉",152
49,"淡水",2,"青彩魚",154
50,"海水",2,"クロハコフグ",194
51,"海水",2,"ベニコロモ",207
52,"淡水",3,"魚蜥蜴",194
53,"海水",3,"シビトクライ",174
54,"淡水",1,"ドマ金",216
55,"淡水",1,"グッピー",227
56,"海水",2,"キジハタ",149
57,"海水",2,"メカジキ",175
58,"淡水",2,"カネヒラ",205
59,"淡水",2,"ベニヒレ",209
60,"淡水",2,"紫彩魚",226
61,"海水",3,"ハンマーヘッド",29
62,"淡水",3,"ハンニバル",132
63,"海水",4,"シュリーカー",2
64,"淡水",4,"ジャノ",17
65,"淡水",1,"鎧魚",125
66,"淡水",2,"クリムゾントラウト",68
67,"淡水",2,"アストロノータス",107
68,"淡水",2,"ホワイトオスカー",110
69,"淡水",2,"ドラゴンカブリ",117
70,"淡水",2,"ピピラ・ピラ",129
71,"淡水",2,"蛇頭魚",206
72,"淡水",3,"草鮫",186
73,"海水",3,"ウキキ",199
74,"淡水",4,"タイガーフィッシュ",18
75,"淡水",1,"ロックフィッシュ",226
76,"海水",2,"ゴールデンフィン",1
77,"淡水",2,"ハイパーチ",35
78,"淡水",2,"ワンダラースカルピン",79
79,"淡水",2,"ヤンサアカメ",144
80,"淡水",2,"ハイランドパーチ",171
81,"海水",2,"アジモドキ",203
82,"海水",3,"トラフザメ",170
83,"淡水",3,"半生魚",179
84,"海水",4,"シルバーソブリン",11
85,"淡水",1,"サカサナマズ",117
86,"淡水",2,"射手魚",30
87,"淡水",2,"バタフライフィッシュ",96
88,"淡水",2,"ディスカス",143
89,"淡水",2,"八角",221
90,"海水",2,"リムレーンズソード",59
91,"海水",2,"インディゴヘリング",81
92,"淡水",3,"斬馬魚",181
93,"海水",3,"イシダイ",192
94,"淡水",4,"パイッサキラー",60
95,"海水",1,"ユールモアバタフライ",287
96,"淡水",1,"水泡眼",305
97,"淡水",2,"赤彩魚",233
98,"淡水",2,"川の長老",234
99,"淡水",2,"アークビショップフィッシュ",236
100,"淡水",2,"罪吐き",266
101,"淡水",2,"ノーブルフィッシュ",300
102,"淡水",3,"ミラージュマヒ",204
103,"淡水",4,"七彩天主",71
104,"海水",4,"オンドの宿敵",78
105,"淡水",1,"永遠の眼",222
106,"淡水",1,"ポエキリア",319
107,"海水",2,"ルリマグロ",180
108,"海水",2,"コルシアンハンプヘッド",272
109,"淡水",2,"エンツュイ",280
110,"淡水",2,"クラウンテトラ",285
111,"淡水",3,"スプークフィッシュ",248
112,"淡水",3,"リトルビスマルク",252
113,"淡水",4,"バイスジョー",75
114,"海水",4,"レッドハンマーヘッド",76
115,"淡水",1,"神々の愛",255
116,"淡水",1,"常闇魚",306
117,"淡水",2,"キサントバス",262
118,"淡水",2,"ビッグアイ",295
119,"淡水",2,"ゲアイ",299
120,"海水",2,"スペクトラルディスカス",348
121,"淡水",3,"メサン＝チェラ",249
122,"海水",3,"スペクトラルバス",285
123,"淡水",4,"クセナカンサス",72
124,"海水",4,"ロックスケイル",88
125,"淡水",1,"藍彩魚",244
126,"淡水",1,"緑彩魚",245
127,"淡水",2,"カワダイ",216
128,"淡水",2,"ミラーフィッシュ",303
129,"淡水",2,"クイーンズガウン",306
130,"海水",2,"ジャスパーヘッド",326
131,"淡水",3,"アルビノガー",218
132,"淡水",3,"アンパの使者",257
133,"淡水",4,"フィロソファーアロワナ",42
134,"海水",4,"スペクトラルメガロドン",85
135,"淡水",1,"ペンダントヘッド",335
136,"淡水",1,"深泳の古書",378
137,"海水",1,"スペクトラルバタフライ",396
138,"淡水",2,"オオルリデメキン",315
139,"淡水",2,"ジェスターフィッシュ",312
140,"淡水",2,"プラチナブリーム",298
141,"淡水",2,"イエローピピラ",278
142,"海水",2,"トライポッド",325
143,"淡水",3,"ヒモウオ",288
144,"海水",4,"ファンネルシャーク",84
145,"淡水",1,"バタフライレインボー",289
146,"淡水",1,"ブラックトライスター",298
147,"淡水",1,"ムーンライトグッピー",377
148,"淡水",2,"ホワイトロンゾ",350
149,"淡水",2,"ナマケチチブ",349
150,"淡水",2,"エバーダークバス",311
151,"海水",2,"ホネイワシ",267
152,"海水",2,"ミスリルソブリン",338
153,"淡水",3,"ミストアイ",241
154,"海水",4,"ミズウオ",99
