key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,PacketIndex,Name,Description,OrderPriority,1HWpn%,OH<%>,Head<%>,Chest<%>,Hands<%>,Waist<%>,Legs<%>,Feet<%>,Earring<%>,Necklace<%>,Bracelet<%>,Ring<%>,2HWpn<%>,UnderArmor<%>,ChestHead<%>,ChestHeadLegsFeet<%>,,LegsFeet<%>,HeadChestHandsLegsFeet<%>,ChestLegsGloves<%>,ChestLegsFeet<%>,,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],
int32,sbyte,str,str,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,bit&01
0,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
1,0,"STR","片手剣・両手斧・両手剣・ガンブレード・格闘武器・両手槍・刀・両手鎌・呪具・魔道書・細剣・幻具・天球儀・賢具・青魔器による物理攻撃力に影響を与えます。",12,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,90,100,100,100,70,70,70,100,70,100,100,70,70,False
2,1,"DEX","双剣・弓・銃・投擲武器による物理攻撃力に影響を与えます。",13,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,90,70,70,70,100,70,70,100,70,100,70,100,100,False
3,2,"VIT","最大HPに影響を与えます。",14,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,90,100,100,100,100,90,90,100,90,100,100,100,100,False
4,3,"INT","「DPS」ロールの攻撃魔法威力に影響を与えます。",15,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,90,70,70,70,70,100,70,70,100,100,70,70,70,False
5,4,"MND","回復魔法威力と「Healer」ロールの攻撃魔法威力に影響を与えます。",16,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,90,70,70,70,70,70,100,70,100,100,70,70,70,False
6,5,"信仰","ＭＰの自然回復量に影響を与えます。
信仰が高いほど回復量が増加します。
「Healer」ロールかつ戦闘中にのみ効果を発揮します。",25,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,90,70,70,70,70,70,100,70,70,100,70,70,70,False
7,6,"HP","",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
