Index,0:？,1:？,2:？,3:？,4:？,5:？
0,True,False,False,False,True,0.0
1,True,True,True,False,True,0.0
2,False,True,True,False,True,0.0
3,True,False,False,False,True,0.0
4,True,False,False,True,True,0.0
5,True,False,True,False,True,0.0
6,True,True,False,False,True,0.0
7,True,False,True,True,True,0.0
8,True,True,False,True,True,0.0
9,True,False,False,False,False,0.0
10,True,False,False,True,False,0.0
11,True,False,True,False,False,0.0
12,True,True,False,False,False,0.0
13,True,False,True,True,False,0.0
14,True,True,False,True,False,0.0
15,True,False,False,False,True,2.0
16,True,False,False,True,True,2.0
17,True,False,True,False,True,2.0
18,True,True,False,False,True,2.0
19,True,False,True,True,True,2.0
20,True,True,False,True,True,2.0
21,True,False,False,False,False,2.0
22,True,False,False,True,False,2.0
23,True,False,True,False,False,2.0
24,True,True,False,False,False,2.0
25,True,False,True,True,False,2.0
26,True,True,False,True,False,2.0
27,True,False,False,False,True,1.5
28,True,False,False,True,True,1.5
29,True,False,True,False,True,1.5
30,True,True,False,False,True,1.5
31,True,False,True,True,True,1.5
32,True,True,False,True,True,1.5
33,True,False,False,False,False,1.5
34,True,False,False,True,False,1.5
35,True,False,True,False,False,1.5
36,True,True,False,False,False,1.5
37,True,False,True,True,False,1.5
38,True,True,False,True,False,1.5
39,True,False,False,False,True,1.2000000476837158
40,True,False,False,True,True,1.2000000476837158
41,True,False,True,False,True,1.2000000476837158
42,True,True,False,False,True,1.2000000476837158
43,True,False,True,True,True,1.2000000476837158
44,True,True,False,True,True,1.2000000476837158
45,True,False,False,False,False,1.2000000476837158
46,True,False,False,True,False,1.2000000476837158
47,True,False,True,False,False,1.2000000476837158
48,True,True,False,False,False,1.2000000476837158
49,True,False,True,True,False,1.2000000476837158
50,True,True,False,True,False,1.2000000476837158
51,True,False,False,False,True,1.0099999904632568
52,True,False,False,True,True,1.0099999904632568
53,True,False,True,False,True,1.0099999904632568
54,True,True,False,False,True,1.0099999904632568
55,True,False,True,True,True,1.0099999904632568
56,True,True,False,True,True,1.0099999904632568
57,True,False,False,False,False,1.0099999904632568
58,True,False,False,True,False,1.0099999904632568
59,True,False,True,False,False,1.0099999904632568
60,True,True,False,False,False,1.0099999904632568
61,True,False,True,True,False,1.0099999904632568
62,True,True,False,True,False,1.0099999904632568
63,False,False,False,False,True,0.0
64,False,False,False,True,True,0.0
65,False,False,True,False,True,0.0
66,False,True,False,False,True,0.0
67,False,False,True,True,True,0.0
68,False,True,False,True,True,0.0
69,False,False,False,False,False,0.0
70,False,False,False,True,False,0.0
71,False,False,True,False,False,0.0
72,False,True,False,False,False,0.0
73,False,False,True,True,False,0.0
74,False,True,False,True,False,0.0
75,True,True,True,False,True,1.0099999904632568
76,True,True,True,False,True,1.2000000476837158
77,True,True,True,False,True,1.5
78,False,False,False,False,True,7.0
79,False,False,False,True,True,7.0
80,False,False,True,False,True,7.0
81,False,True,False,False,True,7.0
82,False,False,True,True,True,7.0
83,False,True,False,True,True,7.0
84,False,False,False,False,False,7.0
85,False,False,False,True,False,7.0
86,False,False,True,False,False,7.0
87,False,True,False,False,False,7.0
88,False,False,True,True,False,7.0
89,False,True,False,True,False,7.0
90,False,False,False,False,True,8.0
91,False,False,False,True,True,8.0
92,False,False,True,False,True,8.0
93,False,True,False,False,True,8.0
94,False,False,True,True,True,8.0
95,False,True,False,True,True,8.0
96,False,False,False,False,False,8.0
97,False,False,False,True,False,8.0
98,False,False,True,False,False,8.0
99,False,True,False,False,False,8.0
100,False,False,True,True,False,8.0
101,False,True,False,True,False,8.0
102,True,False,False,False,True,0.6000000238418579
103,True,False,False,True,True,0.6000000238418579
104,True,False,True,False,True,0.6000000238418579
105,True,True,False,False,True,0.6000000238418579
106,True,False,True,True,True,0.6000000238418579
107,True,True,False,True,True,0.6000000238418579
108,True,False,False,False,False,0.6000000238418579
109,True,False,False,True,False,0.6000000238418579
110,True,False,True,False,False,0.6000000238418579
111,True,True,False,False,False,0.6000000238418579
112,True,False,True,True,False,0.6000000238418579
113,True,True,False,True,False,0.6000000238418579
114,True,False,False,True,False,0.8999999761581421
115,True,True,False,True,False,2.4000000953674316
116,True,False,True,True,False,2.4000000953674316
