key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Model{Top},Model{Body},Model{Legs},GrandCompany,Icon{Head},Icon{Body},Icon{Legs},
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,int32,int32,int32,GrandCompany,Image,Image,Image,byte
0,"leather saddle",0,"leather saddles",0,0,1,0,0,"Leather Saddle",0,0,0,"None",,,,0
1,"Lominsan saddle",0,"Lominsan saddles",0,0,1,0,0,"Lominsan Saddle",65538,65541,65538,"Maelstrom","ui/icon/049000/049049.tex","ui/icon/049000/049053.tex","ui/icon/049000/049051.tex",1
2,"set of Lominsan half barding",0,"sets of Lominsan half barding",0,0,1,0,0,"Lominsan Half Barding",65542,65542,65542,"Maelstrom","ui/icon/049000/049001.tex","ui/icon/049000/049002.tex","ui/icon/049000/049003.tex",2
3,"set of Lominsan barding",0,"sets of Lominsan barding",0,0,1,0,0,"Lominsan Barding",131078,131078,131078,"Maelstrom","ui/icon/049000/049004.tex","ui/icon/049000/049005.tex","ui/icon/049000/049006.tex",3
4,"set of Lominsan crested barding",0,"sets of Lominsan crested barding",0,0,1,0,0,"Lominsan Crested Barding",196614,196614,196614,"Maelstrom","ui/icon/049000/049007.tex","ui/icon/049000/049008.tex","ui/icon/049000/049009.tex",4
5,"Gridanian saddle",0,"Gridanian saddles",0,0,1,0,0,"Gridanian Saddle",65538,131077,65538,"Order of the Twin Adder","ui/icon/049000/049049.tex","ui/icon/049000/049056.tex","ui/icon/049000/049051.tex",5
6,"set of Gridanian half barding",0,"sets of Gridanian half barding",0,0,1,0,0,"Gridanian Half Barding",65543,65543,65543,"Order of the Twin Adder","ui/icon/049000/049010.tex","ui/icon/049000/049011.tex","ui/icon/049000/049012.tex",6
7,"set of Gridanian barding",0,"sets of Gridanian barding",0,0,1,0,0,"Gridanian Barding",131079,131079,131079,"Order of the Twin Adder","ui/icon/049000/049013.tex","ui/icon/049000/049014.tex","ui/icon/049000/049015.tex",7
8,"set of Gridanian crested barding",0,"sets of Gridanian crested barding",0,0,1,0,0,"Gridanian Crested Barding",196615,196615,196615,"Order of the Twin Adder","ui/icon/049000/049016.tex","ui/icon/049000/049017.tex","ui/icon/049000/049018.tex",8
9,"Ul'dahn saddle",0,"Ul'dahn saddles",0,1,1,0,0,"Ul'dahn Saddle",65538,196613,65538,"Immortal Flames","ui/icon/049000/049049.tex","ui/icon/049000/049059.tex","ui/icon/049000/049051.tex",9
10,"set of Ul'dahn half barding",0,"sets of Ul'dahn half barding",0,0,1,0,0,"Ul'dahn Half Barding",65544,65544,65544,"Immortal Flames","ui/icon/049000/049019.tex","ui/icon/049000/049020.tex","ui/icon/049000/049021.tex",10
11,"set of Ul'dahn barding",0,"sets of Ul'dahn barding",0,0,1,0,0,"Ul'dahn Barding",131080,131080,131080,"Immortal Flames","ui/icon/049000/049022.tex","ui/icon/049000/049023.tex","ui/icon/049000/049024.tex",11
12,"set of Ul'dahn crested barding",0,"sets of Ul'dahn crested barding",0,0,1,0,0,"Ul'dahn Crested Barding",196616,196616,196616,"Immortal Flames","ui/icon/049000/049025.tex","ui/icon/049000/049026.tex","ui/icon/049000/049027.tex",12
13,"set of paladin barding",0,"sets of paladin barding",0,0,1,0,0,"Paladin Barding",65546,65546,65546,"None","ui/icon/049000/049028.tex","ui/icon/049000/049029.tex","ui/icon/049000/049030.tex",13
14,"set of dragoon barding",0,"sets of dragoon barding",0,0,1,0,0,"Dragoon Barding",65547,65547,65547,"None","ui/icon/049000/049031.tex","ui/icon/049000/049032.tex","ui/icon/049000/049033.tex",14
15,"set of white mage barding",0,"sets of white mage barding",0,0,1,0,0,"White Mage Barding",65549,65549,65549,"None","ui/icon/049000/049034.tex","ui/icon/049000/049035.tex","ui/icon/049000/049036.tex",15
16,"set of Sleipnir barding",0,"sets of Sleipnir barding",0,0,1,0,0,"Sleipnir Barding",65550,65550,65550,"None","ui/icon/049000/049037.tex","ui/icon/049000/049038.tex","ui/icon/049000/049039.tex",171
17,"set of behemoth barding",0,"sets of behemoth barding",0,0,1,0,0,"Behemoth Barding",65551,65551,65551,"None","ui/icon/049000/049040.tex","ui/icon/049000/049041.tex","ui/icon/049000/049042.tex",172
18,"flyer shaffron",0,"flyer shaffrons",0,0,1,0,0,"Flyer Shaffron",65555,0,0,"None","ui/icon/049000/049043.tex",,,51
19,"set of black mage barding",0,"sets of black mage barding",0,0,1,0,0,"Black Mage Barding",65548,65548,65548,"None","ui/icon/049000/049046.tex","ui/icon/049000/049047.tex","ui/icon/049000/049048.tex",21
20,"set of sovereign barding",0,"sets of sovereign barding",0,0,1,0,0,"Sovereign Barding",65553,0,0,"None","ui/icon/049000/049061.tex",,,52
21,"set of Starlight barding",0,"sets of Starlight barding",0,0,1,0,0,"Starlight Barding",65540,65540,65540,"None","ui/icon/049000/049064.tex","ui/icon/049000/049065.tex","ui/icon/049000/049066.tex",101
22,"set of tidal barding",0,"sets of tidal barding",0,0,1,0,0,"Tidal Barding",65556,65556,65556,"None","ui/icon/049000/049067.tex","ui/icon/049000/049068.tex","ui/icon/049000/049069.tex",125
23,"set of Barding of Light",0,"sets of Barding of Light",0,0,1,0,0,"Barding of Light",65557,65557,65557,"None","ui/icon/049000/049070.tex","ui/icon/049000/049071.tex","ui/icon/049000/049072.tex",41
24,"set of egg barding",0,"sets of egg barding",0,0,1,0,0,"Egg Barding",65558,0,0,"None","ui/icon/049000/049073.tex",,,102
25,"set of levin barding",0,"sets of levin barding",0,0,1,0,0,"Levin Barding",65560,65560,65560,"None","ui/icon/049000/049076.tex","ui/icon/049000/049077.tex","ui/icon/049000/049078.tex",126
26,"set of plumed barding",0,"sets of plumed barding",0,0,1,0,0,"Plumed Barding",65559,0,0,"None","ui/icon/049000/049079.tex",,,53
27,"set of eerie barding",0,"sets of eerie barding",0,0,1,0,0,"Eerie Barding",65561,65561,65561,"None","ui/icon/049000/049082.tex","ui/icon/049000/049083.tex","ui/icon/049000/049084.tex",103
28,"set of ice barding",0,"sets of ice barding",0,0,1,0,0,"Ice Barding",65562,65562,65562,"None","ui/icon/049000/049085.tex","ui/icon/049000/049086.tex","ui/icon/049000/049087.tex",127
29,"set of gambler barding",0,"sets of gambler barding",0,0,1,0,0,"Gambler Barding",65565,65565,65565,"None","ui/icon/049000/049091.tex","ui/icon/049000/049092.tex","ui/icon/049000/049093.tex",42
30,"set of paramour barding",0,"sets of paramour barding",0,0,1,0,0,"Paramour Barding",65566,65566,65566,"None","ui/icon/049000/049088.tex","ui/icon/049000/049089.tex","ui/icon/049000/049090.tex",104
31,"set of Ishgardian half barding",0,"sets of Ishgardian half barding",0,0,1,0,0,"Ishgardian Half Barding",65567,65567,65567,"None","ui/icon/049000/049094.tex","ui/icon/049000/049095.tex","ui/icon/049000/049096.tex",54
32,"set of Ishgardian barding",0,"sets of Ishgardian barding",0,0,1,0,0,"Ishgardian Barding",131103,131103,131103,"None","ui/icon/049000/049097.tex","ui/icon/049000/049098.tex","ui/icon/049000/049099.tex",55
33,"",0,"",0,0,0,0,0,"",0,0,0,"None",,,,0
34,"set of Expanse barding",0,"sets of Expanse barding",0,0,1,0,0,"Expanse Barding",65568,65568,65568,"None","ui/icon/049000/049103.tex","ui/icon/049000/049104.tex","ui/icon/049000/049105.tex",128
35,"set of Hive barding",0,"sets of Hive barding",0,0,1,0,0,"Hive Barding",65569,65569,65569,"None","ui/icon/049000/049106.tex","ui/icon/049000/049107.tex","ui/icon/049000/049108.tex",129
