key,0,1,2,3,4
#,Item,UseField,UseTraining,,Status
int32,Item,bit&01,bit&02,bit&04,byte
0,"",False,False,False,0
1,"Krakka Root",True,False,False,0
2,"Thavnairian Onion",True,False,False,0
3,"Curiel Root",True,True,False,1
4,"Sylkis Bud",True,True,False,2
5,"",True,True,False,3
6,"Mimett Gourd",True,True,False,4
7,"Tantalplant",True,True,False,5
8,"",True,True,False,6
9,"Pahsana Fruit",True,True,False,7
10,"Reagan Pepper",False,True,False,0
11,"Xelphatol Apple",False,False,True,0
12,"Doman Plum",False,False,True,0
13,"Mamook Pear",False,False,True,0
14,"Valfruit",False,False,True,0
15,"O'Ghomoro Berries",False,False,True,0
16,"Cieldalaes Pineapple",False,False,True,0
17,"Han Lemon",False,False,True,0
18,"",False,False,False,0
19,"",False,False,False,0
20,"",False,False,False,0
