key,0,1
#,ChocoboRaceRank,ChocoboRaceTerritory
int32,ChocoboRaceRank,ChocoboRaceTerritory
0,"",""
1,"チュートリアル","チュートリアルコース"
2,"未勝利クラス","サゴリーロード"
3,"未勝利クラス","コスタ・デル・ソル"
4,"未勝利クラス","トランキルパス"
5,"総合力40クラス","サゴリーロード"
6,"総合力40クラス","コスタ・デル・ソル"
7,"総合力40クラス","トランキルパス"
8,"総合力60クラス","サゴリーロード"
9,"総合力60クラス","コスタ・デル・ソル"
10,"総合力60クラス","トランキルパス"
11,"総合力80クラス","サゴリーロード"
12,"総合力80クラス","コスタ・デル・ソル"
13,"総合力80クラス","トランキルパス"
14,"総合力100クラス","サゴリーロード"
15,"総合力100クラス","コスタ・デル・ソル"
16,"総合力100クラス","トランキルパス"
17,"総合力120クラス","サゴリーロード"
18,"総合力120クラス","コスタ・デル・ソル"
19,"総合力120クラス","トランキルパス"
20,"総合力140クラス","サゴリーロード"
21,"総合力140クラス","コスタ・デル・ソル"
22,"総合力140クラス","トランキルパス"
23,"総合力160クラス","サゴリーロード"
24,"総合力160クラス","コスタ・デル・ソル"
25,"総合力160クラス","トランキルパス"
26,"総合力180クラス","サゴリーロード"
27,"総合力180クラス","コスタ・デル・ソル"
28,"総合力180クラス","トランキルパス"
29,"総合力200クラス","サゴリーロード"
30,"総合力200クラス","コスタ・デル・ソル"
31,"総合力200クラス","トランキルパス"
32,"総合力220クラス","サゴリーロード"
33,"総合力220クラス","コスタ・デル・ソル"
34,"総合力220クラス","トランキルパス"
35,"総合力240クラス","サゴリーロード"
36,"総合力240クラス","コスタ・デル・ソル"
37,"総合力240クラス","トランキルパス"
38,"総合力300クラス","サゴリーロード"
39,"総合力300クラス","コスタ・デル・ソル"
40,"総合力300クラス","トランキルパス"
41,"無制限クラス","サゴリーロード"
42,"無制限クラス","コスタ・デル・ソル"
43,"無制限クラス","トランキルパス"
44,"チャレンジレース","トランキルパス"
45,"チャレンジレース","コスタ・デル・ソル"
46,"チャレンジレース","サゴリーロード"
47,"チャレンジレース","トランキルパス"
48,"チャレンジレース","コスタ・デル・ソル"
49,"チャレンジレース","サゴリーロード"
50,"チャレンジレース","コスタ・デル・ソル"
51,"チャレンジレース","トランキルパス"
52,"チャレンジレース","サゴリーロード"
53,"チャレンジレース","コスタ・デル・ソル"
54,"チャレンジレース","サゴリーロード"
55,"チャレンジレース","トランキルパス"
56,"チャレンジレース","サゴリーロード"
57,"チャレンジレース","コスタ・デル・ソル"
58,"チャレンジレース","トランキルパス"
59,"",""
60,"",""
