key,0,1,2,3,4
#,Name,Description,Icon,ChocoboRaceAbilityType,Value
int32,str,str,Image,ChocoboRaceAbilityType,byte
0,"","",,"False",0
1,"Choco Dash","Temporarily boosts speed without depleting stamina.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration: <UIGlow>01</UIGlow><UIForeground>01</UIForeground> 1s","ui/icon/070000/070001.tex","True",1
2,"Choco Dash II","Temporarily boosts speed without depleting stamina.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration: <UIGlow>01</UIGlow><UIForeground>01</UIForeground> 2s","ui/icon/070000/070002.tex","True",2
3,"Choco Dash III","Temporarily boosts speed without depleting stamina.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration: <UIGlow>01</UIGlow><UIForeground>01</UIForeground> 3s","ui/icon/070000/070003.tex","True",3
4,"Choco Cure","Restores 6% of total stamina.","ui/icon/070000/070004.tex","True",6
5,"Choco Cure II","Restores 9% of total stamina.","ui/icon/070000/070005.tex","True",9
6,"Choco Cure III","Restores 12% of total stamina.","ui/icon/070000/070006.tex","True",12
7,"Choco Esuna","Removes all current enfeeblements with a 75% success rate.","ui/icon/070000/070007.tex","True",75
8,"Choco Esuna II","Removes all current enfeeblements with a 90% success rate.","ui/icon/070000/070008.tex","True",90
9,"Choco Esuna III","Removes all current enfeeblements with a 100% success rate.","ui/icon/070000/070009.tex","True",100
10,"Choco Ease","Cures Heavy status while restoring stamina by 80.","ui/icon/070000/070010.tex","True",80
11,"Choco Ease II","Cures Heavy status while restoring stamina by 130.","ui/icon/070000/070011.tex","True",130
12,"Choco Ease III","Cures Heavy status while restoring stamina by 180.","ui/icon/070000/070012.tex","True",180
13,"Choco Calm","Cures Frenzied status while restoring stamina by 100.","ui/icon/070000/070013.tex","True",100
14,"Choco Calm II","Cures Frenzied status while restoring stamina by 150.","ui/icon/070000/070014.tex","True",150
15,"Choco Calm III","Cures Frenzied status while restoring stamina by 200.","ui/icon/070000/070015.tex","True",200
16,"Choco Reflect","Repels any non-area of effect enfeeblement back to its point of origin.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration: <UIGlow>01</UIGlow><UIForeground>01</UIForeground> 10s","ui/icon/070000/070016.tex","True",10
