key,0,1,2
#,Name,Description,Icon
int32,str,str,Image
0,"アイテム未所持","レースアイテムを所持していない状態。
宝箱に触れると、レースアイテムを取得できる。","ui/icon/070000/070101.tex"
1,"チョコポーション","体力を最大体力の10％分回復する。","ui/icon/070000/070102.tex"
2,"体力の薬","10秒間、体力消耗効果を無効化する。また、体力が0の場合は僅かに回復する。","ui/icon/070000/070104.tex"
3,"ダッシューズ","チョコボが全力でダッシュする。","ui/icon/070000/070105.tex"
4,"チョコエーテル","使用済みのアビリティ、いずれかひとつが使用可能になる。","ui/icon/070000/070108.tex"
5,"バッカスの水","自分の前を走っているチョコボを、興奮状態にする。","ui/icon/070000/070107.tex"
6,"重力球","自分の前を走っているチョコボを、ヘヴィ状態にする。","ui/icon/070000/070109.tex"
7,"茨の種","体力消耗フィールドを生成する。範囲内に入った対象の体力を消耗させる。","ui/icon/070000/070103.tex"
8,"英雄の薬","15秒間、自身のチョコボが全体的にパワーアップする。また、すべての弱体効果を無効化する。","ui/icon/070000/070106.tex"
9,"チョコメテオ","自分より前を走るすべてのチョコボに対し、チョコメテオが降り注ぐ。","ui/icon/070000/070110.tex"
10,"スタミナスワップ","自分よりも前を走っているすべてのチョコボのいずれかと、自分の競走羽の体力を入れ替える。自分の競走羽より体力が低い相手は対象とならない。","ui/icon/070000/070111.tex"
11,"クモの糸","自分の後を走っているチョコボを、アイテム使用不可状態にする。","ui/icon/070000/070112.tex"
