key,0,1,2,3,4
#,Rating{Min},Rating{Max},Name,Fee,Icon
int32,uint16,uint16,GoldSaucerTextData,uint16,Image
0,0,0,"",10,
1,0,0,"Training Course",0,
2,1,20,"Maiden",10,
3,21,40,"R-40",10,
4,41,60,"R-60",10,
5,61,80,"R-80",10,
6,81,100,"R-100",10,
7,101,120,"R-120",10,
8,121,140,"R-140",10,
9,141,160,"R-160",10,
10,161,180,"R-180",10,
11,181,200,"R-200",10,
12,201,220,"R-220",10,
13,221,240,"R-240",10,
14,241,300,"R-300",10,
15,0,0,"Open",10,
16,0,0,"Chocobo Challenge",10,
17,21,60,"",10,
18,41,80,"",10,
19,61,100,"",10,
20,81,120,"",10,
21,101,140,"",10,
22,121,160,"",10,
23,141,180,"",10,
24,161,200,"",10,
25,181,220,"",10,
26,201,240,"",10,
27,211,250,"",10,
28,221,260,"",10,
29,231,270,"",10,
30,241,280,"",10,
31,251,290,"",10,
