key,0,1,2,3,4,5,6,7,8,9
#,NpcYell[0],NpcYell[1],NpcYell[2],NpcYell[3],NpcYell[4],NpcYell[5],NpcYell[6],NpcYell[7],,
int32,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,uint16,uint16
0,"25","25","25","25","25","25","25","25",0,0
1,"25","25","25","25","25","25","25","25",0,0
2,"25","25","25","25","25","25","25","25",110,0
3,"25","25","25","25","25","25","25","25",111,114
4,"25","25","25","25","25","25","25","25",111,115
5,"25","25","25","25","25","25","25","25",111,116
6,"25","25","25","25","25","25","25","25",111,117
7,"25","25","25","25","25","25","25","25",111,118
8,"25","25","25","25","25","25","25","25",111,119
9,"25","25","25","25","25","25","25","25",111,120
10,"25","25","25","25","25","25","25","25",111,121
11,"25","25","25","25","25","25","25","25",112,0
