key,0,1,2,3,4,5,6,7,8
#,Item,CollectablesShopItemGroup,LevelMin,LevelMax,Stars,Key,CollectablesShopRefine,CollectablesShopRewardScrip,
int32,Item,CollectablesShopItemGroup,uint16,uint32,uint16,byte,CollectablesShopRefine,CollectablesShopRewardScrip,uint16
0.0,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
1.0,"改良用のシーダー材","改良用部材の交換：木工師",80,0,80,2,"CollectablesShopRefine#3","2",1
1.1,"改良用のシーダー板","改良用部材の交換：木工師",80,0,80,3,"CollectablesShopRefine#3","2",2
2.0,"改良用のアイアンネイル","改良用部材の交換：鍛冶師",80,0,80,2,"CollectablesShopRefine#3","2",3
2.1,"改良用のアイアンインゴット","改良用部材の交換：鍛冶師",80,0,80,3,"CollectablesShopRefine#3","2",4
3.0,"改良用のミスリルリングズ","改良用部材の交換：甲冑師",80,0,80,2,"CollectablesShopRefine#3","2",5
3.1,"改良用のミスリルプレート","改良用部材の交換：甲冑師",80,0,80,3,"CollectablesShopRefine#3","2",6
4.0,"改良用のシルバーナゲット","改良用部材の交換：彫金師",80,0,80,2,"CollectablesShopRefine#3","2",7
4.1,"改良用のシルバーインゴット","改良用部材の交換：彫金師",80,0,80,3,"CollectablesShopRefine#3","2",8
5.0,"改良用のガガナストラップ","改良用部材の交換：革細工師",80,0,80,2,"CollectablesShopRefine#3","2",9
5.1,"改良用のガガナレザー","改良用部材の交換：革細工師",80,0,80,3,"CollectablesShopRefine#3","2",10
6.0,"改良用の生地","改良用部材の交換：裁縫師",80,0,80,2,"CollectablesShopRefine#3","2",11
6.1,"改良用の羅紗","改良用部材の交換：裁縫師",80,0,80,3,"CollectablesShopRefine#3","2",12
7.0,"改良用のにかわ","改良用部材の交換：錬金術師",80,0,80,2,"CollectablesShopRefine#3","2",13
7.1,"改良用のラバー","改良用部材の交換：錬金術師",80,0,80,3,"CollectablesShopRefine#3","2",14
8.0,"改良用のオイル","改良用部材の交換：調理師",80,0,80,2,"CollectablesShopRefine#3","2",15
8.1,"改良用のペースト","改良用部材の交換：調理師",80,0,80,3,"CollectablesShopRefine#3","2",16
9.0,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
9.1,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
10.0,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
10.1,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
11.0,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
11.1,"","",0,0,0,0,"CollectablesShopRefine#0","0",0
12.0,"黄銅鉱","Lv50～60",50,0,50,3,"CollectablesShopRefine#3","0",0
12.1,"大龍黒曜石","Lv50～60",50,0,50,0,"CollectablesShopRefine#3","0",0
12.2,"黄鉄鉱","Lv50～60",51,0,51,0,"CollectablesShopRefine#3","0",0
12.3,"イエロークォーツ","Lv50～60",51,0,52,0,"CollectablesShopRefine#3","0",0
12.4,"輝銅鉱","Lv50～60",53,0,53,0,"CollectablesShopRefine#3","0",0
12.5,"褐鉄鉱","Lv50～60",53,0,54,0,"CollectablesShopRefine#3","0",0
12.6,"グリーンクォーツ","Lv50～60",53,0,55,0,"CollectablesShopRefine#3","0",0
12.7,"古竜骨片","Lv50～60",56,0,56,0,"CollectablesShopRefine#3","0",0
12.8,"アバラシア岩塩","Lv50～60",56,0,56,0,"CollectablesShopRefine#3","0",0
12.9,"赤鉄鉱","Lv50～60",56,0,57,0,"CollectablesShopRefine#3","0",0
12.10,"レッドクォーツ","Lv50～60",58,0,58,0,"CollectablesShopRefine#3","0",0
12.11,"赤銅鉱","Lv50～60",58,0,59,0,"CollectablesShopRefine#3","0",0
12.12,"テクタイト","Lv50～60",59,0,59,0,"CollectablesShopRefine#3","0",0
12.13,"イブニングジェード","Lv50～60",59,0,60,0,"CollectablesShopRefine#3","0",0
12.14,"皇金鉱","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.15,"光霊銀鉱","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.16,"金雲母","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.17,"アストラルグラベル","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.18,"バイオレットクォーツ","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.19,"ブルークォーツ","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.20,"レッドアルメン","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.21,"菱亜鉛鉱","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.22,"メテオライト","Lv50～60",60,0,60,1,"CollectablesShopRefine#3","0",0
12.23,"ギラバニアアルメン","Lv50～60",60,0,60,2,"CollectablesShopRefine#3","0",0
12.24,"トリフェーン原石","Lv50～60",60,0,60,2,"CollectablesShopRefine#3","0",0
12.25,"アダマン鉱","Lv50～60",60,0,60,0,"CollectablesShopRefine#3","0",0
12.26,"ギラバニア鉱泉水","Lv61～70",61,0,61,0,"CollectablesShopRefine#3","0",0
12.27,"魔銅鉱","Lv61～70",61,0,63,0,"CollectablesShopRefine#3","0",0
12.28,"スタースピネル原石","Lv61～70",61,0,63,0,"CollectablesShopRefine#3","0",0
12.29,"翠銀砂","Lv61～70",66,0,66,0,"CollectablesShopRefine#3","0",0
12.30,"アズライト原石","Lv61～70",66,0,66,0,"CollectablesShopRefine#3","0",0
12.31,"翠銀鉱","Lv61～70",66,0,68,0,"CollectablesShopRefine#3","0",0
12.32,"インペリアルジェード原石","Lv61～70",70,0,68,0,"CollectablesShopRefine#3","0",0
12.33,"クロマイト","Lv61～70",70,0,70,1,"CollectablesShopRefine#3","0",0
12.34,"清金鉱","Lv61～70",70,0,70,1,"CollectablesShopRefine#3","0",0
12.35,"イエローアルメン","Lv61～70",70,0,70,2,"CollectablesShopRefine#3","0",0
12.36,"ヘマタイト原石","Lv61～70",70,0,70,2,"CollectablesShopRefine#3","0",0
12.37,"輝水鉛鉱","Lv61～70",70,0,70,0,"CollectablesShopRefine#3","0",0
12.38,"ロードナイト原石","Lv61～70",70,0,70,0,"CollectablesShopRefine#3","0",0
12.39,"ダイアスポア原石","Lv71～80",71,0,72,0,"CollectablesShopRefine#3","0",0
