key,0
#,Item
int32,Item
0,""
1,"Potion"
2,"Maple Lumber"
3,"Ash Lumber"
4,"Elm Lumber"
5,"Yew Lumber"
6,"Walnut Lumber"
7,"Oak Lumber"
8,"Mahogany Lumber"
9,"Rosewood Lumber"
10,"Spruce Lumber"
11,"Treated Spruce Lumber"
12,"Ancient Lumber"
13,"Perfect Firewood"
14,"Ebony Lumber"
15,"Cedar Lumber"
16,"Holy Cedar Lumber"
17,"Dark Chestnut Lumber"
18,"Hallowed Chestnut Lumber"
19,"Birch Lumber"
20,"Astral Birch Lumber"
21,"Cassia Lumber"
22,"Cassia Block"
23,"Camphorwood Lumber"
24,"Treated Camphorwood Lumber"
25,"Teak Lumber"
26,"Beech Lumber"
27,"Larch Lumber"
28,"Pine Lumber"
29,"Persimmon Lumber"
30,"Zelkova Lumber"
31,"Shark-class Pressure Hull Frame"
32,"Unkiu-class Pressure Hull Frame"
33,"Whale-class Pressure Hull Frame"
34,"Coelacanth-class Pressure Hull Frame"
35,"Syldra-class Pressure Hull Frame"
36,"Cryptomeria Lumber"
37,"White Oak Lumber"
38,"Miracle Apple Lumber"
39,"White Ash Lumber"
40,"Sandteak Lumber"
41,"Lignum Vitae Lumber"
100,"Potion"
101,"Bronze Ingot"
102,"Bronze Rivets"
103,"Iron Ingot"
104,"Iron Nails"
105,"Iron Rivets"
106,"Steel Ingot"
107,"Steel Nails"
108,"Steel Rivets"
109,"Mythril Ingot"
110,"Mythril Rivets"
111,"Cobalt Ingot"
112,"Cobalt Rivets"
113,"Cobalt Nails"
114,"Darksteel Nugget"
115,"Darksteel Rivets"
116,"Darksteel Ingot"
117,"Wolfram Ingot"
118,"Wootz Ingot"
119,"Mythrite Nugget"
120,"Mythrite Ingot"
121,"Titanium Nugget"
122,"Titanium Ingot"
123,"Adamantite Nugget"
124,"Adamantite Ingot"
125,"Garlond Steel"
126,"Galvanized Garlond Steel"
127,"Adamantite Rivets"
128,"High Steel Nugget"
129,"High Steel Ingot"
130,"Oroshigane Ingot"
131,"Tama-hagane Ingot"
132,"Molybdenum Ingot"
133,"Kamacite"
134,"Shark-class Stern Frame"
135,"Unkiu-class Stern Frame"
136,"Whale-class Stern Frame"
137,"Coelacanth-class Stern Frame"
138,"Syldra-class Stern Frame"
139,"Pure Titanium Plate"
140,"Mythrite Rivets"
141,"Deepgold Nugget"
142,"Deepgold Ingot"
143,"Bluespirit Tile"
144,"Titanbronze Ingot"
145,"Dwarven Mythril Ingot"
200,"Potion"
