key,0,1,2
#,FirstQuest,LastQuest,
int32,CompleteJournal,CompleteJournal,int32
0,"","冒险者入门",0
1,"冒险者入门","拂晓之所在",1
2,"拂晓之所在","前往伊修加德",1
3,"前往伊修加德","苍穹之未来",1
4,"苍穹之未来","伊修加德假日",1
5,"伊修加德假日","跨越长城",1
6,"跨越长城","冒险邀请",1
7,"冒险邀请","预感",1
8,"预感","生命力的波动",1
9,"生命力的波动","阿莉塞的心愿",1
10,"阿莉塞的心愿","扬帆远航",1
11,"扬帆远航","崭新的冒险",1
12,"崭新的冒险","",1
13,"","蛮神苏醒",1
14,"蛮神苏醒","古代亚拉戈文明的遗产",1
15,"古代亚拉戈文明的遗产","迈向毁灭",1
16,"迈向毁灭","上古之神",1
17,"上古之神","空贼登场",1
18,"空贼登场","欧米茄的消息",1
19,"欧米茄的消息","被通缉的剧团",2
20,"被通缉的剧团","四圣兽传说",1
21,"四圣兽传说","起始的“乐园”",1
22,"起始的“乐园”","古姆拉村的传闻",1
23,"古姆拉村的传闻","神兵来袭",1
24,"神兵来袭","水晶中的警告",1
25,"水晶中的警告","委员会接到的某件委托",1
26,"委员会接到的某件委托"," 宇宙尽头的咖啡厅",1
27," 宇宙尽头的咖啡厅"," 岛上狂奔的河马",2
28," 岛上狂奔的河马","荒野之乱",2
29,"荒野之乱","拜访妖精暂留地",2
30,"拜访妖精暂留地","人造硝石的盗贼",2
31,"人造硝石的盗贼","来自深海",2
32,"来自深海","雷雨将至",2
33,"雷雨将至"," 花冠的逃亡者",2
34," 花冠的逃亡者"," 没有名字的骨颌族",2
35," 没有名字的骨颌族"," 困扰人类的修复团！",2
36," 困扰人类的修复团！","",2
37,""," 新的伙伴是光之战士",2
38," 新的伙伴是光之战士","滋润吧鲶鱼精",2
39,"滋润吧鲶鱼精"," 梦境与现实的夹缝",2
40," 梦境与现实的夹缝"," 史官到来",2
41," 史官到来"," 沃茨之锤，启动！",2
42," 沃茨之锤，启动！","追忆之旅",2
43,"追忆之旅","",2
44,"","欢迎来到森林之都",3
45,"欢迎来到森林之都","欢迎来到沙漠之都",3
46,"欢迎来到沙漠之都","阿德内尔占星台理符开放",3
47,"阿德内尔占星台理符开放","天降祥瑞",3
48,"天降祥瑞","伊修加德的历史",3
49,"伊修加德的历史","一石二鸟",3
50,"一石二鸟","巡回调查",3
51,"巡回调查","亚拉戈式特训",3
52,"亚拉戈式特训","暴走的魔导兵器",3
53,"暴走的魔导兵器","刺鱼的方法",3
54,"刺鱼的方法","九尾降临于世",3
55,"九尾降临于世"," 医疗馆的帮手",3
56," 医疗馆的帮手"," 岸边的遗物",3
57," 岸边的遗物"," 工作危机",3
58," 工作危机"," 名字的意义",3
59," 名字的意义"," 大自“染”的守护",3
60," 大自“染”的守护"," 香橙幻梦",3
61," 香橙幻梦"," 寻找等待之人",3
62," 寻找等待之人"," 小心扭到腰",3
63," 小心扭到腰"," 确认物资清单",3
64," 确认物资清单"," 有罪！处以咔嚓咔嚓山之刑！",3
65," 有罪！处以咔嚓咔嚓山之刑！"," 喜欢矿石的黑家伙",3
66," 喜欢矿石的黑家伙"," 响个不停的可怕声音",3
67," 响个不停的可怕声音","最强剑术师之路",3
68,"最强剑术师之路","融入自然的幻术师",2
69,"融入自然的幻术师","刻木匠贝亚坦师傅",2
70,"刻木匠贝亚坦师傅","采矿工阿达尔博塔女士",2
71,"采矿工阿达尔博塔女士","新锐经营者伊奥拉",2
72,"新锐经营者伊奥拉","露露夏教授与奇妙的遗物",2
73,"露露夏教授与奇妙的遗物","自由骑士的誓约",2
74,"自由骑士的誓约","伟人的后继者",2
75,"伟人的后继者","脸有伤疤的男人",2
76,"脸有伤疤的男人","狱中斗狼（黑涡团）",2
77,"狱中斗狼（黑涡团）","降神节的马奉行",2
78,"降神节的马奉行","天长地久",2
79,"天长地久","リーヴテスト06",2
80,"リーヴテスト06","采集确认：拆除快倒塌石墙",3
81,"采集确认：拆除快倒塌石墙","リーヴテスト01",3
82,"リーヴテスト01","指定采集：腌制用的罗敏萨鳀鱼",3
83,"指定采集：腌制用的罗敏萨鳀鱼","制作委托：双蛇党用于训练的长枪",3
84,"制作委托：双蛇党用于训练的长枪","制作委托：出口用的手斧",3
85,"制作委托：出口用的手斧","制作委托：库存用的铜铸锭（铸甲匠）",3
86,"制作委托：库存用的铜铸锭（铸甲匠）","制作委托：不够的红铜铸锭",3
87,"制作委托：不够的红铜铸锭","制作委托：面向工匠的皮革头巾",3
88,"制作委托：面向工匠的皮革头巾","制作委托：廉价的内衣",3
89,"制作委托：廉价的内衣","制作委托：毒药的材料",3
90,"制作委托：毒药的材料","制作委托：用于储备的食盐",3
91,"制作委托：用于储备的食盐","防卫指令：被野兽盯上的补给物资",3
92,"","",3
93,"","",3
94,"","",3
95,"","",3
96,"","",3
97,"","",3
98,"","",3
99,"","",3
100,"","",3
101,"","",3
102,"","",3
103,"","",3
104,"","",2
105,"防卫指令：被野兽盯上的补给物资","天然要害沙斯塔夏溶洞",2
106,"天然要害沙斯塔夏溶洞","水晶塔 古代人迷宫",2
107,"水晶塔 古代人迷宫","伊弗利特讨伐战",2
108,"伊弗利特讨伐战","死者宫殿 地下1～10层",2
109,"死者宫殿 地下1～10层",,2
110,"","",2
