key,0,1,2,3,4,5,6,7,8
#,Type,ContentTalk[0],ContentTalk[1],ContentTalk[2],ContentTalk[3],ContentTalk[4],ContentTalk[5],ContentTalk[6],ContentTalk[7]
int32,int32,ContentTalk,ContentTalk,ContentTalk,ContentTalk,ContentTalk,ContentTalk,ContentTalk,ContentTalk
0,0,"","","","","","","",""
1,1,"テスト用トークテキスト1","テスト用トークテキスト2","","","","","",""
2,2,"テスト用トークテキスト3","テスト用トークテキスト4","","","","","",""
3,1,"テスト用トークテキスト5","テスト用トークテキスト1","","","","","",""
4,1,"シュコォ……シュコォ……仲間　襲われてる！
鍵　あげる！　門 開ける！　おタスケ　おタスケ！","","","","","","",""
5,1,"あげた鍵　門の鍵！　はやく  おタスケ　おタスケ！","","","","","","",""
6,1,"さあ、闘いの時間だぞ……。","","","","","","",""
7,1,"単眼族との決闘……
コロセウムでは、人気のカードだ。
さあ、奴を打ち倒してみせよ！","","","","","","",""
8,1,"単眼族を打ち倒すとは、
なかなかやるではないか！","","","","","","",""
9,1,"よくぞ、ここまで来た。
次なる試練は、カトブレパスとの獣闘戦！
せいぜい、奴の魔眼には注意することだな。","","","","","","",""
10,1,"カトブレパス相手に一歩も退かぬとは……
うちの剣闘士にも見習わせんとな。","","","","","","",""
11,1,"冒険者が、ここまで辿り着くとはなぁ！
でも、最後まで油断するんじゃねぇぞ？
次は手練れたちとの乱戦だからよ！","","","","","","",""
12,1,"たまげたなぁ！
連中は俺っちでも苦戦する手練れだぞ！
激闘を見て、俺っちも熱くなっちまった！","","","","","","",""
13,2,"第二修練区画開始位置まで移動しますか？","貴様らの闘いぶり、見届けさせてもらった。
よろしい、次なる修練に進むことを許可しよう。","","","","","",""
14,2,"第三修練区画開始位置まで移動しますか？","見事な闘いぶりであった！
さあ、次なる修練の場へ赴くがよい！","","","","","",""
15,1,"よくぞ、よくぞ、来てくれたヒトの勇者。
雲の祭壇に「<Sheet(EventItem,2001568,0)/>」供えて、祈るがいいだよ。
風に身を任せ、水で身を清め、社を目指すだぁよ。","","","","","","",""
16,2,"コンテンツを開始します
よろしいですか？","準備ができたのなら、訓練を開始するぞ？","","","","","",""
17,2,"コンテンツを開始します
よろしいですか？","お、準備はバッチリかい？
訓練を開始しても大丈夫かな？","","","","","",""
18,2,"コンテンツを開始します
よろしいですか？","それでは、訓練を開始しましょう……。
準備はよろしいですか？","","","","","",""
19,2,"コンテンツから退出します
よろしいですか？","む、どうした……訓練に戻りたまえ。
それとも、ここで中止するかね？","","","","","",""
20,2,"コンテンツから退出します
よろしいですか？","あれ、まだ訓練は途中だよ。
……もしかして、訓練をやめたいのかい？","","","","","",""
21,2,"コンテンツから退出します
よろしいですか？","……まだ、訓練は途中ですよ？
もしや、訓練を中止したいのですか？","","","","","",""
22,1,"よくやった！
今回のように、攻撃の「予兆」を感じ取れたときは、
その後に、手痛い攻撃がやってくることが多い。","敵によっては、致命傷になる場合もあるから、
「予兆」を感じたら、しっかりと回避するんだぞ！","さて、訓練達成の報酬として、「守り手」の装備を授けよう！
もしも、「攻め手」や「癒し手」の装備もほしいのならば、
私以外の教官と、再度この訓練を受けるがいい！","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","",""
23,1,"お疲れ様！
今回のように、攻撃の「予兆」を感じとったときは、
その後に、手痛い攻撃がくることが多いんだ。","敵によっては、致命傷になる場合もあるから、
「予兆」を感じたら、しっかりと回避するんだよ！","さあ、報酬として、「攻め手」の装備を君にあげよう！
もしも、「守り手」や「癒し手」の装備もほしくなったら、
他の教官と、もう一回この訓練を受けるといい。","それじゃ、今回の報酬を受け取っておくれ！
実戦でも、訓練の成果を忘れずに戦ってくれよ！","","","",""
24,1,"お見事でした！
今回のように、攻撃の「予兆」を感じとったときは、
その後に、手痛い攻撃がくることが多いです。","敵によっては、致命傷になる場合もありますから、
「予兆」を感じたら、しっかりと回避するのですよ。","それでは報酬として、「癒し手」の装備をお渡ししましょう！
もし、「守り手」や「攻め手」の装備もほしくなったときは、
それらの教官と、もう一度この訓練をお受けください。","さあ、動きは理解できましたか？
訓練の成果を、ぜひ実戦で活かしてください。","","","",""
25,1,"よくやった！
いま君に挑戦してもらった「コンボ」には、
敵視を、大きく高める効果がある！","敵が単独の場合は、この「コンボ」を使って、
敵視を自分に集中させるといいだろう！","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","","",""
26,1,"よくやった！
「コンボ」を使えば、敵視を強く自分に集められる。
そのことが、実戦を通して、より実感できたことだろう。","パーティの「守り手」を担う者にとって、
敵視を集めることが、特に重要であると覚えておいてほしい。","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","","",""
27,1,"よくやった！
複数の敵を相手にするときは、
敵すべてを、技の効果範囲内におさめる位置取りを心がけろよ。","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","","","",""
28,1,"よくやった！
複数の敵を相手取るときは、
まとめて敵視を集めるのが有効となる。","敵の数など、戦況にあわせて、
どのような戦い方が有効か考えてみてくれ！","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","","",""
29,1,"よくやった！
敵が多くいるときは、無闇に敵に突っ込むよりも、
遠距離からおびき寄せるのが有効となる場合もある。","もちろん、戦況にあわせて判断するのが大事なのだが、
突進する以外の戦い方もあることを忘れるなよ！","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","","",""
30,1,"よくやった！
敵の増援が現れても、決して慌てずに、
増援の「敵視」も、自分に集中させるのを忘れるなよ。","それでは、今回の報酬だ！
訓練の内容を忘れずに、実戦に臨んでくれ。","","","","","",""
31,1,"お疲れ様！
パーティの中には、君みたいな攻め手だけでなく、
敵の攻撃を受けて、守り手となる存在もいるんだ。","手強い敵と戦うときは、
守り手との連携が勝利の鍵となることを忘れずにね！","それじゃ、今回の報酬を受け取っておくれ！
実戦でも、訓練の成果を忘れずに戦ってくれよ！","","","","",""
32,1,"お疲れ様！
味方との連携がうまくいかないと、
自分が敵に狙われてしまうこともあるから気をつけてね。","味方と協力して、
有利な戦況を作り出せるよう意識することが大事だよ！","それじゃ、今回の報酬を受け取っておくれ！
実戦でも、訓練の成果を忘れずに戦ってくれよ！","","","","",""
33,1,"お疲れ様！
敵の攻撃を避けずに戦っていると、
自分が先に倒されてしまう結果になりかねないからね。","重要なのは、まず回避すること！
しっかり避けて、しっかり攻撃することを心がけてね！","それじゃ、今回の報酬を受け取っておくれ！
実戦でも、訓練の成果を忘れずに戦ってくれよ！","","","","",""
34,1,"お疲れ様！
味方を回復してくれる癒し手は、守り手同様、
戦闘において、とても重要な存在だ。","俺たちの攻撃能力を最大限に発揮し、
彼ら、守り手や癒し手と協力しながら、戦っていこう！","それじゃ、今回の報酬を受け取っておくれ！
実戦でも、訓練の成果を忘れずに戦ってくれよ！","","","","",""
35,1,"お疲れ様！
今回みたいに、敵に有利な状況が発生したら、
一刻もはやく、状況を変えることが勝利に繋がるんだ。","敵に有利な状態のまま戦っても、苦戦するだけ。
周囲の戦況を見定め、すばやく対処することが重要だね！","それじゃ、今回の報酬を受け取っておくれ！
実戦でも、訓練の成果を忘れずに戦ってくれよ！","","","","",""
36,1,"お見事でした！
私たち「癒し手」の、特に重要な役割は、
ともに戦う味方を回復することです。","攻撃や補助をするときでも、
常に、味方の体力を気にかけることを忘れないように……。","さあ、動きは理解できましたか？
訓練の成果を、ぜひ実戦で活かしてください。","","","","",""
37,1,"お見事でした！
回復を必要としている味方が、複数いるときは、
すばやい状況判断が重要になります。","どなたから回復するべきなのか、
戦況をよく観察して、判断力を磨きましょうね！","さあ、動きは理解できましたか？
訓練の成果を、ぜひ実戦で活かしてください。","","","","",""
38,1,"お見事でした！
後方で回復をしている者を狙う、ずる賢い敵もいます。
焦らず、立ち位置に注意して戦いましょうね！","さあ、動きは理解できましたか？
訓練の成果を、ぜひ実戦で活かしてください。","","","","","",""
39,1,"見事、すべての訓練をやりぬいたな！
それでは、最終訓練を合格した証を授けよう！","","","","","","",""
40,1,"君の腕前に、敬意を表するよ！
さて、最終訓練に合格した証を渡さなくちゃね。","","","","","","",""
41,1,"あなたなら合格できると確信していました！
さあ、訓練を最後までやりぬいた証をお渡ししましょう。","","","","","","",""
42,1,"私は、アインハルト家に雇われた飛空士です。
ここディアデム諸島における探索活動を支援しつつ、
協力者への報酬の手配などを担当しています。","","","","","","",""
43,3,"依頼した品が集まっているなら、回収しましょう。","","","","","","",""
44,1,"依頼した品を確認しました……。
冒険者のみなさんの協力に感謝します！","","","","","","",""
45,1,"探索任務への協力に感謝します。
ここディアデム諸島は、未知の生物や資源の宝庫……。
いずれ本格的に開発が進めば、大きな利益を生むでしょう。","","","","","","",""
