key,0,1
#,ContentTalkParam,Text
int32,ContentTalkParam,str
0,"ContentTalkParam#4",""
1,"ContentTalkParam#1","テスト用トークテキスト1"
2,"ContentTalkParam#2","テスト用トークテキスト2"
3,"ContentTalkParam#3","テスト用トークテキスト3"
4,"ContentTalkParam#1","テスト用トークテキスト4"
5,"ContentTalkParam#2","テスト用トークテキスト5"
20,"ContentTalkParam#4","Well met! I've been dispatched by the Adventurers' Guild to recruit volunteers for special small-scale operations known as guildhests. You look to be of sound mind and body. Might you consider joining?"
21,"ContentTalkParam#4","Wait... Might this be your first time participating in a guildhest? I remember my first hest. It was the night of my twentieth nameday. My fellow guildmates invited me to join them in the slaying of a family of peistes who were stealing chocobo eggs from Bentbranch Meadows."
22,"ContentTalkParam#4","The moment we arrived, one of the terrible beasts immediately turned to me and charged. The thing was thrice my size and had already maimed several chocobokeeps."
23,"ContentTalkParam#4","There was no way I could win, so I simply froze and waited for the end. But that's when I remembered that I was not alone. My friends rallied around me, and together we defeated the peistes! That, my friend, is what a guildhest is truly about."
24,"ContentTalkParam#4","Well met! I've been dispatched by the Adventurers' Guild to recruit volunteers for special small-scale operations known as guildhests."
25,"ContentTalkParam#4","These operations will pit those volunteers against deadly foes, and the odds won't always be in their favor. This is why we require all participants to be of sound mind and body─something that you do not yet appear to be."
26,"ContentTalkParam#4","Time is of the essence. If you have something to ask, make it quick."
27,"ContentTalkParam#4","The operation was a success! Here's your reward, and don't let anyone tell you that you didn't earn it."
28,"ContentTalkParam#4","The operation was a success! Here's your payment, and for your efforts, I've thrown in a little extra, so that you may consider returning to aid us once again."
29,"ContentTalkParam#4","Well, well. It looks like you have a full bag."
30,"ContentTalkParam#4","Can't you see I'm busy attending to your allies? I don't have time to chat."
31,"ContentTalkParam#4","Fall in and make ready!"
40,"ContentTalkParam#4","Greetings, adventurer. I am a battlewarden dispatched by the Adventurers' Guild and tasked with recruiting volunteers to participate in operations known by the quaint moniker, “guildhest.”"
41,"ContentTalkParam#4","As this appears to be your first time joining us, allow me a moment to explain in detail just what exactly a guildhest entails."
42,"ContentTalkParam#4","More than a simple levequest, but not quite as realm-shaking as a Grand Company outing, guildhests will test your ability to work together with a small party of battle companions to overcome not-so-small obstacles."
43,"ContentTalkParam#4","The duty is taxing, but the coin is decent, and you will be helping maintain the safety of Eorzea and the well-being of her citizens. So, what say you?"
44,"ContentTalkParam#4","Greetings, adventurer. I am a battlewarden dispatched by the Adventurers' Guild and tasked with recruiting volunteers to participate in operations known by the quaint moniker, “guildhest.”"
45,"ContentTalkParam#4","I can tell by your garb and gait that the tasks I offer are far beyond a <If(PlayerParameter(4))>woman<Else/>man</If> of your means. Might I suggest you return once you have honed your skills in the martial or magical arts?"
46,"ContentTalkParam#4","Quickly, adventurer. Every moment spent chatting with me is a moment squandered."
47,"ContentTalkParam#4","Excellent work! Ah, but I suppose you will be wanting your reward now. Very good, then. You have more than earned it."
48,"ContentTalkParam#4","A solid performance. You seem to know your way around the battlefield. Here is to hoping that I may work with you again at a later time."
49,"ContentTalkParam#4","Your bag appears to be quite full. You should consider hiring a retainer."
50,"ContentTalkParam#4","I am attending to your allies at the moment. I will see to you when I have finished."
51,"ContentTalkParam#4","At ease, adventurer. All your allies have yet to arrive."
60,"ContentTalkParam#4","Battlewarden Tiroro Tiro, at your service...or should I say, you'll be at <Emphasis>my</Emphasis> service if you agree to join one of our guildhests."
61,"ContentTalkParam#4","What's a guildhest? Why, it's a be<Emphasis>hest</Emphasis> issued by the Adventurers' <Emphasis>Guild</Emphasis>, savvy? When a certain task brought to the attention of the guild is a little too grand for a leve, but not grand enough for Grand Company involvement, they're deemed guildhests and sent to yours truly."
62,"ContentTalkParam#4","But don't let the lack of grandeur fool you. The tasks are anythin' but simple. Most take place in tight quarters, and <Emphasis>all</Emphasis> require precision teamwork 'twixt you and your battlemates."
63,"ContentTalkParam#4","And so what do you get in return for placing your neck on the loppin' block? Besides a beamin' grin from Battlewarden Tiroro Tiro? Fame, fortune, the usual."
64,"ContentTalkParam#4","Battlewarden Tiroro Tiro, at your service...or should I say, you'll be at <Emphasis>my</Emphasis> service if you agree to join one of our guildhests."
65,"ContentTalkParam#4","But now that I take a closer look at you, I don't reckon you'll be at <Emphasis>anyone's</Emphasis> service till you've bloodied your hands a bit more."
66,"ContentTalkParam#4","I can't think of a single reason why you should be over <Emphasis>here</Emphasis> when the things what need guttin' sit over <Emphasis>there</Emphasis>. Unless that is, you're fixin' to bolt."
67,"ContentTalkParam#4","Bloody hells, that was brilliant! I never tire of watchin' me a good broil, especially when it's down and dirty. Here's your coin, just as promised."
68,"ContentTalkParam#4","Hah hah hah! A fine display for a first-timer. Here's your well-earned coin. I've tossed in a little somethin' extra to sweeten the deal, so's that you might consider comin' back."
69,"ContentTalkParam#4","I cannot well fit your reward into that pack. She's burstin' at the seams!"
70,"ContentTalkParam#4","Wait the queue with the rest o' your battlemates, <If(PlayerParameter(4))>lass<Else/>lad</If>. There's only one of me, despite the demand."
71,"ContentTalkParam#4","The operation will begin when your party is complete."
80,"ContentTalkParam#4","Shkoh! Shkoh! Gobbieflock in danger! Uplanders take gatekey! Open Headgate!"
81,"ContentTalkParam#4","Twist gatekey! Open Headgate with much fastness!"
82,"ContentTalkParam#0",""
100,"ContentTalkParam#4","My name is Sidonia. I am a battlewarden with the Adventurers' Guild tasked with the distribution and evaluation of guildhests originating here in Coerthas."
101,"ContentTalkParam#4","As it is your first time to participate in a guildhest, allow me a moment to explain the particulars."
102,"ContentTalkParam#4","I suppose you are wondering what exactly a guildhest is. The answer to that is simple. A guildhest is a task assigned to small parties of able adventurers, usually to rid the realm of some imminent threat."
103,"ContentTalkParam#4","The tasks, however, are anything but simple. They will require not only battle prowess, but the ability to work with others, conceive and execute complex strategies, and finally adapt those strategies when conditions change...and they always do."
104,"ContentTalkParam#4","My name is Sidonia. I am a battlewarden with the Adventurers' Guild tasked with the distribution and evaluation of guildhests originating here in Coerthas."
105,"ContentTalkParam#4","It is clear that you have journeyed far to come here, and for that I commend you. However, the Adventurers' Guild is in need of someone with experience...something it is also clear you lack."
106,"ContentTalkParam#4","Why is it you stand here speaking with me while the enemy beyond lurks still?"
107,"ContentTalkParam#4","I conclude that hest objectives have been completed to the satisfaction of the guild, and therefore hereby present you with your reward."
108,"ContentTalkParam#4","Your performance is deserving of a reward beyond that which was promised in the original accord."
109,"ContentTalkParam#4","You carry quite the burden with you, adventurer. I do not believe the reward I have prepared will fit in that bag of yours."
110,"ContentTalkParam#4","Might I ask you to wait until I have finished serving your companions?"
111,"ContentTalkParam#4","Patience, adventurer. There will be time for killing soon enough."
120,"ContentTalkParam#4","Archimbalt Two Trees, battlewarden with the Adventurers' Guild, at your service, <If(PlayerParameter(4))>good lady<Else/>good sir</If>."
121,"ContentTalkParam#4","I, myself, was once an adventurer, just as you. The Age of Calm had given rise to the guilds, and there was much work to be had. Work like these guildhests, though they were simply called behests back then."
122,"ContentTalkParam#4","Now, here I am. Twenty and five summers since I first picked up a blade, guiding a new generation into the jaws of battle."
123,"ContentTalkParam#4","If it is blood and glory you seek; if it is fighting shoulder to shoulder with trusted companions to overcome impossible odds that gives your life meaning; and if you wish to do all this and line your pockets with gil while you're at it, then you need look no further!"
124,"ContentTalkParam#4","Archimbalt Two Trees, battlewarden with the Adventurers' Guild, at your service, <If(PlayerParameter(4))>good lady<Else/>good sir</If>."
125,"ContentTalkParam#4","I have seen my share of battles in the twenty and five summers since I took up a sword and slew my first wharf rat. That is why I can tell if a <If(PlayerParameter(4))>woman<Else/>man</If> is ready for the trials that lie before <If(PlayerParameter(4))>her<Else/>him</If>. You, I can tell, would not stand a chance against the tasks I offer."
126,"ContentTalkParam#4","There will be time for reliving past battles after the battles have passed. The outcome of this one is still to be decided... That is, unless..."
127,"ContentTalkParam#4","I could not have done better myself! I know... I tried and was knocked cold for three nights."
128,"ContentTalkParam#4","There is more to you and your companions than meets the eye. I sense great things from you, and I would know, a veteran of some twenty and five summers."
129,"ContentTalkParam#4","Ah, a bag bursting with the spoils of war. When I was an adventurer, I, too, would constantly find myself pressed into the difficult decision of what to discard so that I might claim my reward."
130,"ContentTalkParam#4","Eager to collect your reward and move on to the next battle? I understand. That fire once burned hot in me, as well. But for the meantime, I must ask you to wait your turn."
131,"ContentTalkParam#4","The thrill of battle have you <If(PlayerParameter(4))>in its grasp<Else/>by the stones</If>, has it? Aye, but in times as this, all one can do is relax and ready oneself for the coming rush. Your companions will arrive when they arrive."
132,"ContentTalkParam#4","Your skills are beyond doubt, adventurers. Keep your wits about you, and you may yet go far. On to the next stage!"
133,"ContentTalkParam#4","That was a most impressive showing. The third and final stage awaits you!"
134,"ContentTalkParam#4","It begins! Gird your loins!"
135,"ContentTalkParam#4","Contests pitting man against cyclops have ever drawn large crowds...and spilled copious amounts of blood!"
136,"ContentTalkParam#4","Amazing! But few can claim to have bested Pyracmon!"
137,"ContentTalkParam#4","One look from the catoblepas can freeze a man's blood in his veins. Ware its accursed gaze!"
138,"ContentTalkParam#4","Wh-What's this? The catoblepas was as a docile lamb before you!"
139,"ContentTalkParam#4","You've surpassed all my expectations, but the final test is yet to come. Prepare to face the elite among elite!"
140,"ContentTalkParam#4","By the gods, that was a contest for the ages! 'Twas all I could do to refrain from joining the fray!"
141,"ContentTalkParam#4","Proceed to the second stage?"
142,"ContentTalkParam#4","Proceed to the third stage?"
143,"ContentTalkParam#4","I welcome you to Neverreap, brave netherling. Take thunder eggs in hand. Place thunder eggs on an altar of the clouds, and winds will swirl and carry you deeper into Neverreap. But be warned, for there great dangers await."
144,"ContentTalkParam#4","Prepared to start then, are ye?"
145,"ContentTalkParam#4","Here's yer bonus for completin' the exercise! Remember this trainin' on the field o' battle!"
146,"ContentTalkParam#4","You are prepared to commence training, then?"
147,"ContentTalkParam#4","Your preparations are complete, then?"
148,"ContentTalkParam#4","Oi! We're in the middle o' trainin'!
...Had enough already, have ye?"
149,"ContentTalkParam#4","The exercise is not yet done!
...But mayhap you are done with the exercise?"
150,"ContentTalkParam#4","I cannot help you during the exercise!
Unless you simply wish to quit...?"
151,"ContentTalkParam#4","Here is your prize for completing the exercise. But remember: the real prize is the lesson you've learned!"
