key,0,1,2,3,4,5
#,Name,Icon,Icon{DutyFinder},,,
int32,str,Image,Image,byte,byte,uint32
0,"",,,0,0,0
1,"随机任务","ui/icon/061000/061807.tex",,0,0,0
2,"迷宫挑战","ui/icon/061000/061801.tex","ui/icon/060000/060831.tex",1,1,243
3,"行会令","ui/icon/061000/061803.tex","ui/icon/060000/060833.tex",2,2,250
4,"讨伐歼灭战","ui/icon/061000/061804.tex","ui/icon/060000/060834.tex",1,3,245
5,"大型任务","ui/icon/061000/061802.tex","ui/icon/060000/060832.tex",1,4,244
6,"对战","ui/icon/061000/061806.tex","ui/icon/060000/060836.tex",1,5,0
7,"任务战斗","ui/icon/061000/061805.tex","ui/icon/060000/060835.tex",0,0,0
8,"危命任务","ui/icon/061000/061809.tex",,0,0,0
9,"寻宝","ui/icon/061000/061808.tex","ui/icon/060000/060838.tex",0,0,0
10,"理符任务","ui/icon/061000/061811.tex",,0,0,0
11,"大国防联军","ui/icon/061000/061812.tex",,0,0,0
12,"搭档","ui/icon/061000/061813.tex",,0,0,0
13,"友好部族任务","ui/icon/061000/061814.tex",,0,0,0
14,"完成情况","ui/icon/061000/061810.tex",,0,0,0
15,"最优队员","ui/icon/061000/061817.tex",,0,0,0
16,"大地使者","ui/icon/061000/061815.tex","ui/icon/060000/060859.tex",0,0,0
17,"能工巧匠","ui/icon/061000/061816.tex",,0,0,0
18,"雇员","ui/icon/061000/061818.tex",,0,0,0
19,"金碟游乐场","ui/icon/061000/061820.tex","ui/icon/060000/060848.tex",1,0,0
20,"","ui/icon/061000/061823.tex","ui/icon/060000/060846.tex",0,0,0
21,"深层迷宫","ui/icon/061000/061824.tex","ui/icon/060000/060847.tex",0,0,246
22,"","ui/icon/061000/061801.tex","ui/icon/060000/060831.tex",0,0,0
23,"","ui/icon/061000/061821.tex","ui/icon/061000/061821.tex",2,0,0
24,"天书奇谈","ui/icon/061000/061825.tex",,0,0,0
25,"老主顾交易","ui/icon/061000/061827.tex",,0,0,0
26,"优雷卡","ui/icon/061000/061833.tex","ui/icon/060000/060851.tex",0,0,247
27,"","ui/icon/061000/061836.tex","ui/icon/060000/060853.tex",0,0,0
28,"绝境战","ui/icon/061000/061832.tex","ui/icon/060000/060855.tex",1,6,244
29,"","ui/icon/061000/061838.tex","ui/icon/061000/061838.tex",0,0,248
30,"特殊迷宫探索","ui/icon/061000/061846.tex","ui/icon/061000/061846.tex",1,0,249
