key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,ContentType,Icon,MenuOrder,RequiredAmount,Reward[0],ExpMultiplier,Reward[1],GilRward,LevelUnlock,HowTo,ReqUnlock,Name,Description,ExpCap
int32,ContentsNoteCategory,Image,byte,int32,byte,int32,byte,int32,uint16,HowTo,Row,str,str,int32
0,"ContentsNoteCategory#0",,0,0,0,0,0,0,0,"",,"","",0
1,"ContentsNoteCategory#1","ui/icon/061000/061801.tex",1,3,5,15,3,1000,0,"ダンジョンを攻略しよう",,"ダンジョン：コンテンツルーレット","コンテンツルーレットで、ダンジョンを3回攻略する",788400
2,"ContentsNoteCategory#1","ui/icon/061000/061801.tex",2,5,5,10,3,2000,0,"ダンジョンを攻略しよう",,"ダンジョン：攻略回数","ダンジョンを5回攻略する",525600
3,"ContentsNoteCategory#1","ui/icon/061000/061803.tex",3,3,5,5,3,1000,0,"ギルドオーダーに参加してみよう",,"ギルドオーダー：攻略回数1","ギルドオーダーを3回攻略する",262800
4,"ContentsNoteCategory#1","ui/icon/061000/061803.tex",4,10,5,10,3,2000,0,"ギルドオーダーに参加してみよう",,"ギルドオーダー：攻略回数2","ギルドオーダーを10回攻略する",525600
5,"ContentsNoteCategory#6","ui/icon/061000/061808.tex",3,5,0,0,3,2000,0,"転送魔紋と宝物庫について",,"宝物庫：宝箱開封数1","宝物庫の宝箱を、5回開ける",0
6,"ContentsNoteCategory#1","ui/icon/061000/061825.tex",8,3,0,0,3,2000,60,"",,"クロの空想帳：印貼付数","クロの空想帳の対象コンテンツをコンプリートし、
3つ印を付ける",0
7,"ContentsNoteCategory#2","ui/icon/061000/061806.tex",1,10,0,0,9,1000,0,"クリスタルコンフリクトについて",,"クリスタルコンフリクト：参戦回数","クリスタルコンフリクトに10回参戦する",0
8,"ContentsNoteCategory#2","ui/icon/061000/061806.tex",2,3,0,0,9,1000,0,"クリスタルコンフリクトについて",,"クリスタルコンフリクト：勝利回数","クリスタルコンフリクトで3回勝利する",0
9,"ContentsNoteCategory#0",,0,0,0,0,0,0,0,"",,"","",0
10,"ContentsNoteCategory#0",,0,0,0,0,0,0,0,"",,"","",0
11,"ContentsNoteCategory#4","ui/icon/061000/061811.tex",1,5,5,15,3,1000,0,"",,"リーヴ：絵柄制覇","プレートの絵柄が異なるリーヴを、5種類達成する",788400
12,"ContentsNoteCategory#4","ui/icon/061000/061811.tex",2,20,5,15,3,2000,0,"",,"リーヴ：達成回数","リーヴを20回達成する",788400
13,"ContentsNoteCategory#8","ui/icon/061000/061812.tex",2,10,0,0,6,1000,0,"軍需品・補給品の調達",,"軍需品・補給品調達：納品回数2","軍需品・補給品調達を10回納品する",0
14,"ContentsNoteCategory#8","ui/icon/061000/061812.tex",1,5,0,0,6,1000,0,"軍需品・補給品の調達",,"軍需品・補給品調達：納品回数1","軍需品・補給品調達を5回納品する",0
15,"ContentsNoteCategory#6","ui/icon/061000/061808.tex",1,3,0,0,3,1000,0,"「古ぼけた地図」について",,"トレジャーハント：地図採集回数","古ぼけた地図を3回採集する",0
16,"ContentsNoteCategory#6","ui/icon/061000/061808.tex",2,5,0,0,3,2000,0,"「古ぼけた地図」について",,"トレジャーハント：宝獲得回数","トレジャーハントで宝箱を開け、宝を5回獲得する",0
17,"ContentsNoteCategory#1","ui/icon/061000/061813.tex",6,20,7,5,3,1000,0,"チョコボと一緒に戦おう",,"バディ：討伐数1","バディと共に、レベルの近い敵を20体討伐する",0
18,"ContentsNoteCategory#1","ui/icon/061000/061813.tex",7,100,7,10,3,2000,0,"チョコボと一緒に戦おう",,"バディ：討伐数2","バディと共に、レベルの近い敵を100体討伐する",0
19,"ContentsNoteCategory#7","ui/icon/061000/061814.tex",1,5,0,0,3,1000,0,"友好部族たちの世界へようこそ！",,"友好部族クエスト：コンプリート回数1","友好部族デイリークエストを5回コンプリートする",0
20,"ContentsNoteCategory#7","ui/icon/061000/061814.tex",2,15,0,0,3,2000,0,"友好部族たちの世界へようこそ！",,"友好部族クエスト：コンプリート回数2","友好部族デイリークエストを15回コンプリートする",0
21,"ContentsNoteCategory#12","ui/icon/061000/061810.tex",1,5,0,0,3,10000,0,"",,"攻略手帳：達成数1","攻略手帳の課題を、5種類達成する",0
22,"ContentsNoteCategory#12","ui/icon/061000/061810.tex",2,10,0,0,3,10000,0,"",,"攻略手帳：達成数2","攻略手帳の課題を、10種類達成する",0
23,"ContentsNoteCategory#12","ui/icon/061000/061810.tex",3,15,0,0,3,10000,20,"",,"攻略手帳：達成数3","攻略手帳の課題を、15種類達成する",0
24,"ContentsNoteCategory#12","ui/icon/061000/061810.tex",4,20,0,0,3,10000,30,"",,"攻略手帳：達成数4","攻略手帳の課題を、20種類達成する",0
25,"ContentsNoteCategory#1","ui/icon/061000/061817.tex",5,5,5,10,3,1000,0,"MIP推薦",,"MIP推薦","MIP推薦を計5回投票する",525600
26,"ContentsNoteCategory#5","ui/icon/061000/061815.tex",4,100,5,5,3,1000,0,"",,"採集活動","採掘師か園芸師で、採集レベルが近いアイテムを
100回採集する",0
27,"ContentsNoteCategory#5","ui/icon/061000/061815.tex",5,30,5,5,3,2000,0,"",,"採集活動：獲得数ボーナス","採掘師か園芸師で、採集レベルが近い採集にて獲得数ボーナスを30回発生させる",0
28,"ContentsNoteCategory#5","ui/icon/061000/061815.tex",6,30,5,5,3,1000,0,"",,"釣り","漁師で30回釣り上げる",0
29,"ContentsNoteCategory#5","ui/icon/061000/061815.tex",7,10,5,5,3,2000,0,"",,"釣り：ラージサイズ","漁師でラージサイズの水産物を10回釣り上げる",0
30,"ContentsNoteCategory#5","ui/icon/061000/061816.tex",1,30,5,10,3,1000,0,"",,"製作活動","30回製作をする",0
31,"ContentsNoteCategory#5","ui/icon/061000/061816.tex",2,20,5,10,3,2000,0,"",,"製作活動：HQ","20回HQアイテムを製作する",0
32,"ContentsNoteCategory#0",,0,0,0,0,0,0,0,"",,"","",0
33,"ContentsNoteCategory#9","ui/icon/061000/061818.tex",1,10,0,0,3,1000,0,"「リテイナーベンチャー」について",,"リテイナーベンチャー：完了回数","リテイナーベンチャーの依頼を、10回完了させる",0
34,"ContentsNoteCategory#9","ui/icon/061000/061818.tex",2,15,0,0,3,4000,0,"「探索依頼」について",,"リテイナーベンチャー：探索回数","リテイナーベンチャーの探索依頼を、15回完了させる",0
35,"ContentsNoteCategory#2","ui/icon/061000/061806.tex",3,7,0,0,9,1000,0,"アウトロー戦区について",,"フロントライン：参戦回数","フロントラインに7回参戦する",0
36,"ContentsNoteCategory#2","ui/icon/061000/061806.tex",4,3,0,0,9,1000,0,"アウトロー戦区について",,"フロントライン：勝利回数","フロントラインで3回勝利する",0
37,"ContentsNoteCategory#10","ui/icon/061000/061820.tex",1,3,0,0,8,1000,0,"マンダヴィル・ゴールドソーサーへようこそ",,"ミニゲーム：達成回数","ミニゲームを3回達成する",0
38,"ContentsNoteCategory#10","ui/icon/061000/061820.tex",2,100,0,0,8,1500,0,"マンダヴィル・ゴールドソーサーへようこそ",,"ミニゲーム：獲得MGP","ミニゲームで100MGP獲得する",0
39,"ContentsNoteCategory#10","ui/icon/061000/061820.tex",3,5,0,0,8,5000,0,"マンダヴィル・ゴールドソーサーへようこそ",,"G.A.T.E.：参加回数","G.A.T.E.に5回参加する",0
40,"ContentsNoteCategory#10","ui/icon/061000/061820.tex",4,3,0,0,8,8000,0,"マンダヴィル・ゴールドソーサーへようこそ",,"G.A.T.E.：達成回数","G.A.T.E.を3回達成する",0
41,"ContentsNoteCategory#10","ui/icon/061000/061820.tex",5,3,0,0,8,5000,0,"新羽チョコボ登録証について",,"チョコボレース：出走回数1","チョコボレースに3回出走する",0
42,"ContentsNoteCategory#10","ui/icon/061000/061820.tex",6,20,0,0,8,8000,0,"新羽チョコボ登録証について",,"チョコボレース：出走回数2","チョコボレースに20回出走する",0
