key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
int32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,int32,str,str,str,str,str,str
0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,False,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"あれ持ってきてくれた？","ありがとう！","残念だよ・・","0","0","0"
2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"あれちょーだい","さんきゅー！","そっか・・","お、まだくれるの？","じゃあ、もう一度こえかけてくれよ！","もう十分、ほんとうにありがとう！"
3,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"リーヴを受けてくださった職人さんだね？
依頼の品は、用意してきてくれた？","ありがとう！
あなたが信頼できる人でよかった。
さあ、報酬だよ。","弱ったな……必要な品物だから、
リーヴの依頼を出しておいたんだけれど。","0","0","0"
4,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"あなたがリーヴを受注してくれた職人さん？
待っていたわ。品物の準備はできてるかしら？","品物をお届けくださり、感謝します。
今、報酬をお出ししますわ。","あら、残念。
依頼の品ができるのを、お待ちしておりますわ。","0","0","0"
5,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"連絡のあった匠の先生ですね？
お品の準備はよろしいでしょうか？","すばらしい品です。確かに拝領いたしました。","……お察し致します。
何か事情がおありなのですね？
我々は先生を信じます。","ところで先生、まだお時間はありますか？
追加で依頼したい品があるのですが……
いかがでしょう？","先生にも事情というものがありましょう。
お手すきのときに、また声をおかけください。","この度は、誠にありがとうございました。"
6,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"首を長くして、待っていました。
依頼の品はできていますね？","ああ、よくできましたね。びっくりしました。
では、これが報酬となります。
また、何かありましたら頼みますよ。","早く、作ってください。
急ぎではない用件を、わざわざリーヴで
頼むようなことはしません。","追加注文をお願いしたいのだけど、いかがかしら。
<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さんでしたら、
お茶の子さいさいでしょう？","では、また声をかけてください。
個人的なお誘いでしたらお断りですけれど。","まいどどうも。
私の役に立つ冒険者は、いつでも歓迎です。"
7,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"ほう、我が隊が依頼したギルドリーヴを
受注してくれたようだな。君の協力に感謝する。
さっそく依頼の品を調達してきてくれ。","うむ、まさしくこれは我が隊が発注した品だ。
その手並み……なかなかのものだな。
君の尽力に対し、我が隊を代表して礼を言わせてくれ。","ところで依頼の品はどこかな？
……な、なんと用意できなかったと？
次こそは、しっかりと頼むぞ……。","0","0","0"
