key,0,1,2,3,4
#,Item,,,Limit,
int32,Item,byte,byte,uint32,bit&01
0,"",0,0,0,True
1,"巧手红票",0,1,2000,True
2,"巧手黄票",0,5,2000,True
3,"大地红票",0,3,2000,True
4,"大地黄票",0,6,2000,True
5,"兵团徽章",0,4,4000,True
6,"巧手白票",0,0,2000,True
7,"大地白票",0,2,2000,True
8,"探险币",1,0,65000,False
9,"栎木币",1,1,65000,False
10,"白骨币",1,2,65000,False
11,"金叶币",1,3,65000,False
12,"白钢刀币",1,4,65000,False
13,"虹贝壳币",1,5,65000,False
14,"钴铁锤币",1,6,65000,False
15,"伪黑铜币",1,7,65000,False
16,"精雕库啵果币",1,8,65000,False
17,"珊瑚币",1,9,65000,False
18,"成就币",1,10,65000,False
19,"",1,11,65000,False
20,"魔金锡币",1,12,65000,False
21,"鲶鱼小判",1,13,65000,False
22,"怪物狩猎的战利品",1,14,4000,True
23,"双色宝石",1,15,1000,True
24,"天穹街振兴票",1,16,10000,False
25,"幻晶币",1,17,65000,False
26,"橡果币",1,18,65000,False
27,"绿蛙币",1,19,65000,False
28,"幻巧叶",1,20,1000,True
