key,0
#,NestHandler
int32,Row
0.0,
720896.1,"ContentEntry#2883642"
720896.2,"ContentEntry#2883643"
720896.3,"ContentEntry#2883644"
720896.4,"ContentEntry#2883645"
720896.5,"ContentEntry#2883646"
720896.6,"ContentEntry#2883647"
720896.7,"ContentEntry#2883648"
720896.8,"ContentEntry#2883649"
720896.9,"ContentEntry#2883650"
720896.10,"ContentEntry#2883651"
720896.11,"ContentEntry#2883652"
720896.12,"ContentEntry#2883653"
720896.13,"ContentEntry#2883654"
720896.14,"ContentEntry#2883655"
720896.15,"ContentEntry#2883656"
720896.16,"ContentEntry#2883657"
720896.17,"ContentEntry#2883658"
720896.18,"ContentEntry#2883659"
720896.19,"ContentEntry#2883660"
720896.20,"ContentEntry#2883661"
720896.21,"ContentEntry#2883662"
720896.22,"ContentEntry#2883663"
720896.23,"ContentEntry#2883664"
720896.24,"ContentEntry#2883665"
720896.25,"ContentEntry#2883666"
720896.26,"ContentEntry#2883668"
720896.27,"ContentEntry#2883669"
720896.28,"ContentEntry#2883670"
720896.29,"ContentEntry#2883671"
720896.30,"ContentEntry#2883672"
720896.31,"ContentEntry#2883683"
720897.1,""
720897.2,"最新の希少トームストーンの取引"
720897.3,"前回の希少トームストーンの取引"
720897.4,"以前の希少トームストーンの取引"
720897.5,"希少トームストーン:祝祭の取引"
720898.1,
720898.2,""
720899.1,
720899.2,
720899.3,
720900.1,
720900.2,"ContentEntry#2883682"
720901.1,""
720901.2,
720902.1,"ContentEntry#2883685"
720902.2,
720903.1,""
720903.2,""
720903.3,""
720903.4,""
720903.5,"希少トームストーン:祝祭の取引"
