key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Item[0],Quantity[0],RecipeLevel[0],Item[1],Quantity[1],RecipeLevel[1],Item[2],Quantity[2],RecipeLevel[2],Item[3],Quantity[3],RecipeLevel[3],Item[4],Quantity[4],RecipeLevel[4],Item[5],Quantity[5],RecipeLevel[5],Item[6],Quantity[6],RecipeLevel[6],Item[7],Quantity[7],RecipeLevel[7]
int32,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte
0,"圆盾",1,9,"业余纺车",1,5,"枫木短弓",1,2,"牡羊角渔枪",1,10,"枫木牧杖",1,6,"柳木钓竿",1,8,"业余砂轮机",1,4,"兽骨渔枪",1,3
1,"新来者钓竿",1,20,"梣木木鞋",1,14,"业余钓竿",1,12,"榆木长弓",1,19,"梣木假面",1,14,"黄铜长枪",1,14,"新来者纺车",1,19,"榆木钓竿",1,16
2,"榆木纺车",1,23,"铜铃紫杉牧杖",1,26,"榆木木鞋",1,24,"羚羊角钓竿",1,29,"梣木复合弓",1,26,"新来者砂轮机",1,25,"紫杉钓竿",1,25,"黑铁战戈",1,22
3,"铜铃橡木牧杖",1,37,"胡桃纺车",1,33,"粉岩砂轮机",1,34,"胡桃木鞋",1,33,"秘银骑枪",1,38,"橡木根杖",1,35,"胡桃钓竿",1,32,"红木钓竿",1,40
4,"萌芽紫檀根杖",1,42,"宝石砂轮机",1,43,"鹰纹圆盾",1,45,"白羽橡木石刃棒",1,41,"钴铁战戟",1,44,"紫檀纺车",1,45,"紫檀钓竿",1,45,"翡翠手杖",1,44
5,"紫杉长弓",1,46,"铜铃红木牧杖",1,48,"红木木鞋",1,48,"镀金紫檀钓竿",1,48,"雄鹿战戈",1,49,"石蜥蜴砂轮机",1,47,"三尖枪",1,47,"蟹甲战弓",1,49
6,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
7,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
8,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
9,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
10,"业余厨刀",1,6,"青铜鹤嘴锄",1,8,"青铜手钳",1,10,"青铜手半剑",1,2,"青铜铆钉",3,3,"青铜手锯",1,4,"青铜维京剑",1,7,"青铜羊角锤",1,9
11,"黑铁钉",3,16,"黄铜裁皮刀",1,14,"黑铁双刃斧",1,17,"青铜指虎",1,13,"青铜镰刀",1,11,"黑铁雕金锤",1,18,"业余手锯",1,12,"黑铁鹤嘴锄",1,20
12,"新来者镰刀",1,25,"白钢钉",3,27,"黑铁厨刀",1,21,"白钢鹤嘴锄",1,30,"白钢铆钉",3,29,"黑铁碎石锤",1,23,"新来者鹤嘴锄",1,22,"白钢宽刃剑",1,28
13,"秘银宽刃剑",1,38,"白钢手斧",1,33,"横切手锯",1,35,"白钢装饰锤",1,32,"秘银手锯",1,39,"革柄白钢羊角锤",1,36,"白钢陆行鸟手斧",1,35,"白钢横头锤",1,32
14,"钴铁镰刀",1,45,"钴铁铆钉",3,43,"秘银手钳",1,42,"秘银镰刀",1,41,"钴铁厨刀",1,44,"钴铁斗剑",1,42,"钴铁钉",3,44,"钴铁赛施尔长刀",1,43
15,"绿金工艺锤",1,47,"钴铁圆头锤",1,47,"小鹰鹤嘴镐",1,48,"钴铁刺柄双刃斧",1,49,"钴铁爪",1,49,"绿金裁皮刀",1,46,"兽角手斧",1,49,"钴铁雕纹手锯",1,46
16,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
17,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
18,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
19,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
20,"青铜平底锅",1,4,"青铜蒸馏器",1,3,"青铜重盾",1,5,"业余蒸馏器",1,9,"青铜锁甲靴",1,7,"青铜连指手铠",1,9,"青铜锁子铠",1,6,"青铜环",3,2
21,"青铜手铠",1,14,"新来者平底锅",1,18,"黑铁胸甲",1,20,"黑铁重盾",1,17,"黑铁护腰带",1,19,"青铜小圆盾",1,15,"青铜头盔",1,12,"青铜胸甲",1,12
22,"黑铁长筒靴",1,22,"白钢环",3,28,"白钢连接板",1,27,"白钢蒸馏器",1,29,"白钢折叶",3,26,"黑铁鳞指套",1,23,"强化黑铁护腰带",1,24,"爆弹煎锅",1,27
23,"白钢鳞胫甲",1,32,"秘银环",3,37,"白钢连指手铠",1,35,"兽角鳞胫甲",1,37,"兽骨鳞铠",1,40,"白钢护腰带",1,31,"秘银头盔",1,38,"白钢重甲",1,34
24,"钴铁骑兵头盔",1,45,"钴铁平底锅",1,43,"钴铁臂甲",1,44,"秘银锁子铠",1,42,"龟甲鳞胫甲",1,45,"钴铁连接板",3,44,"钴铁环",3,43,"绿金蒸馏器",1,42
25,"钴铁开面盔",1,46,"钴铁护腰带",1,50,"钴铁铠靴",1,50,"苔角鳞铠",1,47,"鸢盾",1,50,"热能蒸馏器",1,50,"钴铁胸甲",1,50,"钴铁连指手铠",1,48
26,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
27,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
28,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
29,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
30,"牡羊角长杖",1,9,"砂岩磨刀石",3,6,"红铜咒杖",1,10,"红铜环",3,4,"兽骨咒角",1,3,"兽骨戒指",1,7,"兽骨骨拳",1,2,"红铜工艺项环",1,9
31,"青铜咒杖",1,12,"黄铜耳环",1,17,"乌鸦拟饵",3,20,"黄铜咒锤",1,14,"黄铜手链",1,15,"黄铜环",3,15,"兽牙项链",1,17,"泥岩磨刀石",3,20
32,"漂浮诱饵鱼",3,22,"粉砂岩磨刀石",3,30,"黄铜勺形鱼饵",3,23,"白银环",3,24,"切石",3,30,"椭圆眼镜",1,23,"白银缝针",1,26,"陆行鸟拟饵",3,27
33,"旋转亮片",3,39,"下沉诱饵鱼",3,34,"雉鸡拟饵",3,36,"白银勺形鱼饵",3,32,"重铁板钩",3,40,"秘银缝针",1,36,"秘银巧匠手链",1,35,"秘银眼镜",1,34
34,"钴铁护目镜",1,44,"红珊瑚耳坠",1,43,"绿金单眼镜",1,45,"秘银勺形鱼饵",3,41,"毛球拟饵",3,43,"绿金环",3,43,"狼牙缝针",1,42,"漂浮诱饵蛙",3,44
35,"绿金耳夹",1,49,"白牙长杖",1,50,"彩虹勺形鱼饵",3,46,"复合亮片",3,47,"龟甲腕环",1,49,"弓角",3,48,"羽毛拟饵",3,48,"绿金工艺项环",1,49
36,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
