key,0,1,2,3,4,5,6
#,Member,SelectImage[0],SelectImage[1],SelectImage[2],PortraitImage[0],PortraitImage[1],PortraitImage[2]
int32,ENpcResident,Image,Image,Image,Image,Image,Image
0,,"ui/icon/072000/072630.tex","ui/icon/072000/072638.tex","ui/icon/072000/072681.tex","ui/icon/072000/072690.tex","ui/icon/072000/072698.tex","ui/icon/000000/000001.tex"
1,,"ui/icon/072000/072631.tex","ui/icon/072000/072639.tex","ui/icon/072000/072682.tex","ui/icon/072000/072691.tex","ui/icon/072000/072699.tex","ui/icon/000000/000002.tex"
2,,"ui/icon/072000/072632.tex","ui/icon/072000/072640.tex","ui/icon/072000/072683.tex","ui/icon/072000/072692.tex","ui/icon/072000/072700.tex","ui/icon/000000/000003.tex"
3,,"ui/icon/072000/072633.tex","ui/icon/072000/072641.tex","ui/icon/072000/072685.tex","ui/icon/072000/072693.tex","ui/icon/072000/072701.tex","ui/icon/000000/000005.tex"
4,,"ui/icon/072000/072634.tex","ui/icon/072000/072642.tex","ui/icon/072000/072686.tex","ui/icon/072000/072694.tex","ui/icon/072000/072702.tex","ui/icon/000000/000006.tex"
5,,"ui/icon/072000/072635.tex",,"ui/icon/072000/072687.tex","ui/icon/072000/072695.tex",,"ui/icon/000000/000007.tex"
6,,"ui/icon/072000/072630.tex","ui/icon/072000/072638.tex","ui/icon/072000/072681.tex","ui/icon/072000/072690.tex","ui/icon/072000/072698.tex","ui/icon/000000/000011.tex"
7,,"ui/icon/072000/072645.tex","ui/icon/072000/072646.tex","ui/icon/072000/072704.tex","ui/icon/072000/072705.tex","ui/icon/072000/072706.tex","ui/icon/000000/000012.tex"
8,,"ui/icon/072000/072629.tex","ui/icon/072000/072643.tex","ui/icon/072000/072697.tex","ui/icon/072000/072689.tex","ui/icon/072000/072703.tex","ui/icon/000000/000010.tex"
9,,"ui/icon/072000/072629.tex","ui/icon/072000/072643.tex","ui/icon/072000/072697.tex","ui/icon/072000/072689.tex","ui/icon/072000/072703.tex","ui/icon/000000/000010.tex"
10,,"ui/icon/072000/072629.tex","ui/icon/072000/072643.tex","ui/icon/072000/072697.tex","ui/icon/072000/072689.tex","ui/icon/072000/072703.tex","ui/icon/000000/000010.tex"
100,,"ui/icon/072000/072629.tex","ui/icon/072000/072643.tex","ui/icon/072000/072697.tex","ui/icon/072000/072689.tex","ui/icon/072000/072703.tex","ui/icon/000000/000010.tex"
101,,"ui/icon/072000/072629.tex","ui/icon/072000/072643.tex","ui/icon/072000/072697.tex","ui/icon/072000/072689.tex","ui/icon/072000/072703.tex","ui/icon/000000/000010.tex"
102,,"ui/icon/072000/072629.tex","ui/icon/072000/072643.tex","ui/icon/072000/072697.tex","ui/icon/072000/072689.tex","ui/icon/072000/072703.tex","ui/icon/000000/000010.tex"
