key,0,1,2,3
#,Class{Singular},,VoiceLine,Class{Plural}
int32,str,str,uint32,str
0,"","",0,""
1,"Academician","ALPHINAUD",8202013,"学士"
2,"Red Mage","ALISAIE",8202034,"赤魔道士"
3,"Gunbreaker","THANCRED",8202055,"ガンブレイカー"
4,"Oracle of Light","MINFILIA",8202073,"光の巫女"
5,"Astrologian","URIANGER",8202092,"占星術師"
6,"Sorceress","Y'SHTOLA",8202109,"魔女"
7,"Oracle of Light","RYNE",8202073,"光の巫女"
8,"Guard Captain","LYNA",8202143,"衛兵団長"
9,"All-Rounder","CRYSTAL EXARCH",8202130,"オールラウンダー"
10,"All-Rounder","G'RAHA TIA",8202346,"オールラウンダー"
11,"Sage","ALPHINAUD",8203013,"賢者"
12,"Dragoon","ESTINIEN",8203064,"竜騎士"
13,"Lithomancer","URIANGER",8202092,"秘石術士"
14,"All-Rounder","VENAS",8203122,"オールラウンダー"
15,"The Third Seat","EMET-SELCH",8203219,"第三の座"
16,"Soulseer","HYTHLODAEUS",8203239,"ソウルシーア"
17,"Marauder","EAGER MARAUDER",0,"斧術士"
18,"Lancer","EAGER LANCER",0,"槍術士"
19,"Thaumaturge","EAGER THAUMATURGE",0,"呪術士"
20,"Conjurer","EAGER CONJURER",0,"幻術士"
21,"Marauder","SCION MARAUDER",0,"斧術士"
22,"Lancer","SCION LANCER",0,"槍術士"
23,"Thaumaturge","SCION THAUMATURGE",0,"呪術士"
24,"Conjurer","SCION CONJURER",0,"幻術士"
25,"Marauder","STORM MARAUDER",0,"斧術士"
26,"Lancer","SERPENT LANCER",0,"槍術士"
27,"Thaumaturge","FLAME THAUMATURGE",0,"呪術士"
28,"Conjurer","SERPENT CONJURER",0,"幻術士"
29,"Satrap","VARSHAHN",8203440,"太守"
30,"Oracle of Frost","YSAYLE",0,"氷の巫女"
31,"Temple Knight","TEMPLE KNIGHT",0,"神殿騎士"
32,"Temple Banneret","TEMPLE BANNERET",0,"槍騎兵"
33,"Temple Chirurgeon","TEMPLE CHIRURGEON",0,"治療師"
34,"Chivalric Knight","HAURCHEFANT",0,"正騎士"
35,"Poroggo","PERO ROGGO",0,"ポロッゴ"
36,"Lord Commander","AYMERIC",0,"総長"
37,"Knight","HOUSE FORTEMPS KNIGHT",0,"騎士"
38,"Banneret","HOUSE FORTEMPS BANNERET",0,"槍騎兵"
39,"Archer","HOUSE FORTEMPS ARCHER",0,"射手"
40,"Archon","THANCRED",0,"賢人"
41,"Memoriate","ZERO",8203467,"メモリア使い"
42,"Archon","Y'SHTOLA",0,"賢人"
