key,0,1,2,3
#,,,Member,BigImage{Old}
int32,uint32,uint32,ENpcResident,Image
0,0,0,,
1,1030660,72621,,"ui/icon/000000/000001.tex"
2,1030661,72622,,"ui/icon/000000/000002.tex"
3,1030662,72623,,"ui/icon/000000/000003.tex"
4,1030663,72624,,"ui/icon/000000/000004.tex"
5,1030664,72625,,"ui/icon/000000/000005.tex"
6,1030665,72626,,"ui/icon/000000/000006.tex"
7,1030666,72627,,"ui/icon/000000/000007.tex"
8,1030667,72628,,"ui/icon/000000/000008.tex"
9,1030668,72629,,"ui/icon/000000/000009.tex"
10,1030669,72629,,"ui/icon/000000/000009.tex"
11,1030670,72629,,"ui/icon/000000/000009.tex"
12,1031986,72636,,"ui/icon/000000/000009.tex"
13,1031987,72636,,"ui/icon/000000/000009.tex"
14,1031988,72636,,"ui/icon/000000/000009.tex"
15,1033916,72637,,"ui/icon/000000/000010.tex"
16,1033918,72637,,"ui/icon/000000/000010.tex"
17,1033917,72637,,"ui/icon/000000/000010.tex"
18,1030671,72630,,"ui/icon/000000/000001.tex"
19,1030672,72631,,"ui/icon/000000/000002.tex"
20,1040726,72638,,"ui/icon/000000/000011.tex"
21,1040730,72639,,"ui/icon/000000/000002.tex"
22,1030662,72623,,"ui/icon/000000/000003.tex"
23,1040732,72625,,"ui/icon/000000/000013.tex"
24,1030664,72625,,"ui/icon/000000/000005.tex"
25,1030665,72626,,"ui/icon/000000/000006.tex"
26,1033916,72637,,"ui/icon/000000/000010.tex"
27,1033918,72637,,"ui/icon/000000/000010.tex"
28,1033917,72637,,"ui/icon/000000/000010.tex"
29,1036930,72644,,"ui/icon/000000/000012.tex"
30,1036935,72647,,"ui/icon/000000/000014.tex"
31,1036936,72647,,"ui/icon/000000/000014.tex"
32,1036937,72647,,"ui/icon/000000/000014.tex"
33,1036932,72648,,"ui/icon/000000/000015.tex"
34,1036933,72648,,"ui/icon/000000/000015.tex"
35,1036934,72649,,"ui/icon/000000/000016.tex"
36,1042776,0,,"ui/icon/000000/000017.tex"
37,1042777,0,,"ui/icon/000000/000018.tex"
38,1042778,0,,"ui/icon/000000/000019.tex"
39,1042779,0,,"ui/icon/000000/000020.tex"
40,1042780,0,,"ui/icon/000000/000021.tex"
41,1042781,0,,"ui/icon/000000/000022.tex"
42,1042782,0,,"ui/icon/000000/000023.tex"
43,1042783,0,,"ui/icon/000000/000024.tex"
44,1042784,0,,"ui/icon/000000/000021.tex"
45,1042785,0,,"ui/icon/000000/000022.tex"
46,1042786,0,,"ui/icon/000000/000023.tex"
47,1042787,0,,"ui/icon/000000/000024.tex"
48,1042788,0,,"ui/icon/000000/000025.tex"
49,1042789,0,,"ui/icon/000000/000026.tex"
50,1042790,0,,"ui/icon/000000/000027.tex"
51,1042791,0,,"ui/icon/000000/000028.tex"
