key,0,1,2,3,4,5,6
#,DeepDungeon,,,,,,
int32,DeepDungeon,byte,uint16,uint16,uint16,byte,byte
0,"",0,0,0,0,0,0
1,"死者の宮殿",0,1,2,0,0,0
2,"死者の宮殿",1,3,4,0,1,1
3,"死者の宮殿",2,5,6,0,3,3
4,"死者の宮殿",3,7,8,0,6,6
5,"死者の宮殿",4,8,7,0,10,10
6,"死者の宮殿",5,9,10,0,13,13
7,"死者の宮殿",6,10,9,0,16,16
8,"死者の宮殿",7,9,10,0,19,19
9,"死者の宮殿",8,11,12,0,22,22
10,"死者の宮殿",9,12,11,0,25,25
11,"死者の宮殿",10,11,12,0,0,0
12,"死者の宮殿",11,17,18,0,0,0
13,"死者の宮殿",12,18,17,0,0,0
14,"死者の宮殿",13,15,16,0,0,0
15,"死者の宮殿",14,16,15,0,0,0
16,"死者の宮殿",15,13,14,0,0,0
17,"死者の宮殿",16,14,13,0,0,0
18,"死者の宮殿",17,13,14,0,0,0
19,"死者の宮殿",18,14,13,0,0,0
20,"死者の宮殿",19,13,14,0,0,0
21,"アメノミハシラ",0,28,29,30,0,0
22,"アメノミハシラ",1,31,32,33,1,1
23,"アメノミハシラ",2,34,35,36,3,3
24,"アメノミハシラ",3,34,35,36,0,0
25,"アメノミハシラ",4,25,26,27,0,0
26,"アメノミハシラ",5,25,26,27,0,0
27,"アメノミハシラ",6,22,23,24,0,0
28,"アメノミハシラ",7,22,23,24,0,0
29,"アメノミハシラ",8,19,20,21,0,0
30,"アメノミハシラ",9,19,20,21,0,0
