key,0
#,Quest
int32,Quest
0,"Of Errant Epistles"
1,"A Debt Unpaid"
2,"Carline Memories"
3,"Dream On"
4,"Spirits Most Foul"
5,"Dubious Dancing"
6,"Stroking the Haft"
7,"Thwack-a-Mole"
8,"Sweet Words, Shadowy Dealings"
9,"The Captain of Her Heart"
10,"Sudul Eht Nioj"
11,"Of Siblings and Side-whiskers"
12,"Death of a Mailman"
13,"All in the Family"
14,"Duel Personalities"
15,"Lone Survivor"
16,"Guildmaster, Prelate, and Plot"
17,"The Past Is a Story We Never Tell"
18,"Thanks for Your Support"
19,"Hostages to Fortune"
20,"A Qiqirn Always Pays His Debts"
21,"The Hazy Professor"
22,"Blues on Emerald Avenue"
23,"Better Left Unfound"
24,"The Little Postmoogle That Could"
