key,0
#,Icon
int32,Image
0,
70981,"ui/icon/070000/070961.tex"
70982,"ui/icon/070000/070962.tex"
70983,"ui/icon/070000/070963.tex"
70984,"ui/icon/070000/070964.tex"
70985,"ui/icon/070000/070965.tex"
70986,"ui/icon/070000/070966.tex"
70987,"ui/icon/070000/070967.tex"
70988,"ui/icon/070000/070968.tex"
70989,"ui/icon/070000/070969.tex"
70990,"ui/icon/070000/070970.tex"
70991,"ui/icon/070000/070971.tex"
70992,"ui/icon/070000/070972.tex"
70993,"ui/icon/070000/070973.tex"
70994,"ui/icon/070000/070974.tex"
70995,"ui/icon/070000/070975.tex"
70996,"ui/icon/070000/070976.tex"
