key,0,1,2,3,4
#,NpcIcon{Available},MapIcon{Available},NpcIcon{Invalid},MapIcon{Invalid},IconRange
int32,Image,Image,Image,Image,byte
0,,,,,6
1,"ui/icon/071000/071220.tex","ui/icon/071000/071020.tex","ui/icon/071000/071230.tex","ui/icon/071000/071030.tex",6
2,"ui/icon/071000/071260.tex","ui/icon/071000/071060.tex","ui/icon/071000/071270.tex","ui/icon/071000/071070.tex",6
3,"ui/icon/071000/071200.tex","ui/icon/071000/071000.tex","ui/icon/071000/071210.tex","ui/icon/071000/071010.tex",6
4,"ui/icon/060000/060091.tex",,,,1
5,"ui/icon/071000/071240.tex","ui/icon/071000/071040.tex","ui/icon/071000/071250.tex","ui/icon/071000/071050.tex",6
6,"ui/icon/071000/071280.tex","ui/icon/071000/071080.tex","ui/icon/071000/071290.tex","ui/icon/071000/071090.tex",6
7,"ui/icon/071000/071300.tex","ui/icon/071000/071100.tex",,,2
8,"ui/icon/071000/071340.tex","ui/icon/071000/071140.tex","ui/icon/071000/071350.tex","ui/icon/071000/071150.tex",6
9,"ui/icon/071000/071320.tex","ui/icon/071000/071120.tex",,,6
10,"ui/icon/071000/071340.tex","ui/icon/071000/071140.tex","ui/icon/071000/071350.tex","ui/icon/071000/071150.tex",6
11,"ui/icon/061000/061721.tex","ui/icon/061000/061731.tex","ui/icon/061000/061722.tex","ui/icon/061000/061732.tex",1
12,"ui/icon/061000/061723.tex","ui/icon/061000/061733.tex",,,1
