key,0,1,2,3,4
#,X,Y,GatheringType,GatheringPointType,Radius
int32,single,single,GatheringType,byte,uint16
0,0,0,"采掘",0,0
10,536.716,-270,"采伐",1,37
11,71.0216,-179.027,"采伐",1,63
12,403.796,257.111,"采伐",1,64
13,249.253,295.467,"采伐",1,49
14,153.891,-134.284,"割草",1,76
15,310.224,146.93,"采伐",1,71
16,241.89,-54.0485,"采伐",1,59
17,-56.2858,-63.2038,"采伐",1,70
18,92.6846,94.7202,"割草",1,54
19,-135.116,-107.564,"割草",1,68
20,10.3019,328.574,"碎石",1,83
21,44.4254,112.402,"割草",1,71
22,-306.373,282.832,"采伐",1,78
23,-149.326,339.06,"割草",1,71
24,84.0889,5.99475,"采伐",1,63
25,175.348,-50.0458,"割草",1,54
26,92.5351,234.694,"割草",1,68
27,239.939,-121.078,"采伐",1,71
28,-243.74,440.325,"采伐",1,72
29,-201.065,357.826,"割草",1,66
30,57.6711,-118.099,"割草",1,51
31,258.314,38.0522,"割草",1,70
33,-27.2814,-65.9459,"采伐",1,64
34,661.98,-219.948,"采伐",1,56
35,278.732,127.178,"采伐",1,80
36,-165.691,-151.591,"碎石",1,48
38,-262.291,281.397,"割草",1,52
39,520.736,383.144,"割草",1,71
40,-334.188,-36.0263,"割草",1,51
41,-357.874,158.046,"割草",1,58
46,347.461,33.417,"碎石",1,62
47,-272.097,-100.237,"采掘",1,48
48,73.7931,13.2688,"碎石",1,61
49,357.951,69.0625,"采掘",1,52
51,21.7577,-237.006,"采伐",3,43
52,66.99,-43.4489,"采伐",3,90
53,160.794,-63.5794,"采伐",3,14
54,172.371,-113.616,"采伐",3,20
55,383.687,79.6678,"采伐",3,42
56,355.525,-98.9009,"采伐",3,15
57,243.343,40.5581,"采伐",3,27
58,319.118,35.6425,"采伐",3,67
59,89.4464,264.208,"采伐",3,31
60,48.8431,43.5707,"采伐",3,93
61,-64.4658,-66.2429,"采伐",3,18
62,-48.4727,466.067,"采伐",3,42
63,-266.264,357.52,"割草",3,47
64,26.252,393.216,"采伐",3,48
65,13.5143,215.177,"采伐",3,50
66,-226.135,200.977,"采伐",3,24
67,-244.428,233.421,"割草",3,14
68,-17.1987,-51.5267,"采伐",3,30
69,69.9732,1.05508,"割草",3,48
70,-210.338,30.9443,"采伐",3,13
71,-183.186,-63.9846,"采伐",3,40
72,180.124,-56.0646,"采伐",3,29
73,198.409,-48.3962,"割草",3,33
74,174.786,-129.342,"割草",3,22
75,206.172,-162.183,"采伐",3,16
76,304.899,0.400877,"采伐",3,35
77,462.316,289.811,"采伐",3,128
78,397.226,215.785,"割草",3,45
79,434.728,458.056,"割草",3,87
80,390.528,370.937,"采伐",3,51
81,195.39,336.061,"割草",3,117
82,400.885,329.546,"采伐",3,35
83,180.768,305.727,"割草",3,15
84,-38.6864,395.763,"采伐",3,56
85,-447.838,-134.053,"采伐",3,111
86,-452.134,-163.2,"采伐",3,50
87,-541.595,-353.704,"采伐",3,100
88,-171.013,-144.464,"采伐",3,92
89,138.02,-521.15,"割草",3,95
90,196.969,-553.654,"采伐",3,52
91,468.08,-414.915,"割草",3,79
92,458.932,-395.886,"采伐",3,94
93,394.338,148.32,"采掘",3,51
94,309.068,117.776,"采掘",3,15
95,-17.5169,185.82,"采掘",3,14
96,266.833,44.0638,"采掘",3,32
97,57.866,254.97,"采掘",3,49
98,-142.325,270.03,"采掘",3,36
99,-52.1578,393.169,"采掘",3,24
100,101.641,117.07,"采掘",3,102
101,-189.102,-300.477,"采掘",3,74
102,67.5002,-67.8429,"采掘",3,45
103,217.214,-93.1593,"采掘",3,16
104,184.095,-13.7376,"采掘",3,40
105,-404.473,337.508,"采掘",3,29
106,-267.496,-52.3517,"采掘",3,22
107,-544.118,78.54,"采掘",3,18
108,-354.066,-149.187,"采掘",3,37
109,-193.213,-123.102,"采掘",3,78
110,-82.9727,-92.2295,"碎石",3,29
111,-210.282,33.3167,"碎石",3,19
112,17.7146,-110.326,"采掘",3,39
113,273.774,60.5564,"采掘",3,50
114,165.314,-130.277,"采掘",3,9
115,183.238,-52.5357,"采掘",3,49
116,310.712,-188.364,"采掘",3,33
117,218.341,438.523,"采掘",3,30
118,328.179,285.287,"采掘",3,19
119,461.559,171.159,"采掘",3,76
120,547.534,202.521,"采掘",3,37
121,75.5084,436.462,"采掘",3,56
122,137.124,37.0067,"采掘",3,27
123,436.407,466.964,"采掘",3,67
124,476.885,318.269,"采掘",3,27
125,-756.639,50.7204,"采掘",3,57
126,-715.314,-20.6487,"采掘",3,29
127,-784.005,-174.372,"采掘",3,40
128,-579.134,-353.137,"采掘",3,84
129,168.44,-547.784,"采掘",3,90
130,427.618,-404.949,"采掘",3,27
131,513.571,-410.023,"碎石",3,77
132,459.694,-396.062,"采掘",3,95
133,-49.8718,-645.186,"割草",1,52
134,253.477,429.91,"割草",1,44
137,-111.078,202.16,"采伐",1,74
139,-236.255,-387.589,"采伐",1,50
140,-1.32293,357.514,"割草",1,83
141,-21.2806,379.288,"割草",1,53
142,68.6686,-183.117,"采伐",1,65
143,655.668,161.987,"割草",1,57
147,-251.3,90.4416,"采伐",1,68
148,50.2292,258.683,"采伐",1,97
149,-380.823,511.151,"割草",1,62
150,12.3286,675.9,"碎石",1,75
151,-157.399,362.79,"碎石",1,64
152,358.901,179.453,"采掘",1,29
153,-115.92,209.15,"采掘",1,53
154,261.138,209.061,"采掘",1,61
155,-64.9191,54.2496,"采掘",1,50
156,45.2664,360.204,"采掘",1,53
157,131.248,274.46,"采掘",1,61
158,300.024,-223.742,"采掘",1,64
159,147.235,-140.314,"碎石",1,68
