key,0,1,2,3,4,5
#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
int32,str,byte,byte,byte,FCActivityCategory,sbyte
0,"",0,0,0,"すべて",-1
1,"フリーカンパニーを結成しました。",0,0,0,"組織",0
2,"カンパニーランクが<Value>IntegerParameter(1)</Value>にアップしました。",0,0,1,"組織",0
3,"「<Sheet(GrandCompany,IntegerParameter(1),0)/>」との友好関係が「<Sheet(FCReputation,IntegerParameter(2),4)/>」にアップしました。",1,0,1,"組織",5
4,"「<Sheet(GrandCompany,IntegerParameter(1),0)/>」との友好関係が「<Sheet(FCReputation,IntegerParameter(2),4)/>」にアップしました。",1,0,1,"組織",6
5,"「<Sheet(GrandCompany,IntegerParameter(1),0)/>」との友好関係が「<Sheet(FCReputation,IntegerParameter(2),4)/>」にアップしました。",1,0,1,"組織",7
6,"権利「<Sheet(FCRights,IntegerParameter(1),0)/>」を獲得しました。",0,0,1,"組織",0
7,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が加入しました。",4,0,0,"編制",1
8,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が加入しました。",4,0,0,"編制",1
9,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が脱退しました。",4,0,0,"編制",2
10,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が脱退しました。",4,0,0,"編制",2
11,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に就任しました。",4,5,0,"編制",3
12,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に就任しました。",4,5,0,"編制",3
13,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に就任しました。",4,5,0,"編制",3
14,"「<Sheet(GrandCompany,IntegerParameter(1),0)/>」に移籍しました。",0,1,0,"組織",5
15,"「<Sheet(GrandCompany,IntegerParameter(1),0)/>」に移籍しました。",0,1,0,"組織",6
16,"「<Sheet(GrandCompany,IntegerParameter(1),0)/>」に移籍しました。",0,1,0,"組織",7
17,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が階級「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の設定を変更しました。",4,5,0,"設定変更",3
18,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が階級「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」を追加しました。",4,5,0,"設定変更",3
19,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が階級「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」を削除しました。",4,5,0,"設定変更",3
20,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が階級の序列を変更しました。",4,0,0,"設定変更",3
21,"",4,6,1,"すべて",-1
22,"",4,0,0,"すべて",-1
23,"",4,0,0,"すべて",-1
24,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>がカンパニーボードを更新しました。",4,0,0,"設定変更",4
25,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>がカンパニープロフィールを更新しました。",4,0,0,"設定変更",4
26,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>がクレストデザインを変更しました。",4,0,0,"設定変更",8
27,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<Sheet(CompanyAction,IntegerParameter(1),0)/>」を獲得しました。",4,0,1,"カンパニーアクション",9
28,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<Sheet(CompanyAction,IntegerParameter(1),0)/>」を使用しました。",4,0,1,"カンパニーアクション",9
29,"このアクティビティは削除されました。",0,0,0,"すべて",4
30,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が階級の名称を「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に変更しました。",4,5,0,"設定変更",3
31,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<Sheet(CompanyAction,IntegerParameter(1),0)/>」をキャンセルしました。",4,0,1,"カンパニーアクション",9
32,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<Sheet(CompanyAction,IntegerParameter(1),0)/>」を破棄しました。",4,0,1,"カンパニーアクション",9
33,"カンパニーの略称が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に変更されました。",0,3,0,"設定変更",4
34,"カンパニー名が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に変更されました。",0,2,0,"設定変更",4
35,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が<Sheet(PlaceName,IntegerParameter(1),0)/>第<Value>IntegerParameter(2)</Value>区<Value>IntegerParameter(3)</Value>番地のハウスの名前を「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に変更しました。",4,9,0,"ハウジング",11
36,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」のグリーティングメッセージを変更しました。",4,8,0,"ハウジング",11
37,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が<Sheet(PlaceName,IntegerParameter(1),0)/>第<Value>IntegerParameter(2)</Value>区<Value>IntegerParameter(3)</Value>番地の土地を購入しました。",4,7,0,"ハウジング",11
38,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が<Sheet(PlaceName,IntegerParameter(1),0)/>第<Value>IntegerParameter(2)</Value>区<Value>IntegerParameter(3)</Value>番地の土地を破棄しました。",4,7,0,"ハウジング",11
39,"<Sheet(PlaceName,IntegerParameter(1),0)/> 第<Value>IntegerParameter(2)</Value>区<Value>IntegerParameter(3)</Value>番地の土地が自動破棄されました。",0,7,0,"ハウジング",11
40,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が<Sheet(PlaceName,IntegerParameter(1),0)/>第<Value>IntegerParameter(2)</Value>区<Value>IntegerParameter(3)</Value>番地に「<Sheet(HousingPreset,IntegerParameter(4),0)/>」を建築しました。",4,7,1,"ハウジング",11
41,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」を撤去しました。",4,8,0,"ハウジング",11
42,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の外装を変更しました。",4,8,0,"ハウジング",11
43,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の内装を変更しました。",4,8,0,"ハウジング",11
44,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の調度品の配置を変更しました。",4,8,0,"ハウジング",11
45,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の庭具の配置を変更しました。",4,8,0,"ハウジング",11
46,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」ゲストブックスタンドのメッセージを削除しました。",4,8,0,"ハウジング",11
47,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>から加入申請が届きました。",4,0,0,"編制",12
48,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>からの加入申請が取り消されました。",4,0,0,"編制",12
49,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>のキャラクターが削除されました。",4,0,0,"編制",12
50,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>の加入申請を拒否しました。",4,0,0,"編制",12
51,"加入申請数が上限に達しています。",0,0,0,"編制",12
52,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に<Sheet(Item,IntegerParameter(1),0)/>を植えました。",4,10,1,"栽培",13
53,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の作物に<Sheet(Item,IntegerParameter(1),0)/>をやりました。",4,10,1,"栽培",13
54,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の作物の手入れをしました。",4,10,0,"栽培",13
55,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の作物から<Sheet(Item,IntegerParameter(2),0)/>を<Value>IntegerParameter(1)</Value>個、収穫しました。",4,11,1,"栽培",13
56,"さらに、交雑に成功し、<Sheet(Item,IntegerParameter(2),0)/>を<Value>IntegerParameter(1)</Value>個、獲得しました。",0,11,1,"栽培",13
57,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が不在のため「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」が移行されました。",4,5,0,"編制",3
58,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>が「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」の作物を処分しました。",4,10,0,"栽培",13
