Index,0:？,1:？,2:？,3:？,4:？,5:？
0,,0,0,0,0,-1
1,组建成了新部队！,0,0,0,1,0
2,部队等级提升为<var:1>级！,0,0,1,1,0
3,与“<GrandCompany:<var:1>:0>”的友好关系提升为“<FCReputation:<var:2>:4>”！,1,0,1,1,5
4,与“<GrandCompany:<var:1>:0>”的友好关系提升为“<FCReputation:<var:2>:4>”！,1,0,1,1,6
5,与“<GrandCompany:<var:1>:0>”的友好关系提升为“<FCReputation:<var:2>:4>”！,1,0,1,1,7
6,获得了“<FCRights:<var:1>:0>”的权利！,0,0,1,1,0
7,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>加入了部队。,4,0,0,2,1
8,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>加入了部队。,4,0,0,2,1
9,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>退出了部队。,4,0,0,2,2
10,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>退出了部队。,4,0,0,2,2
11,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>就任为<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>。,4,5,0,2,3
12,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>就任为<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>。,4,5,0,2,3
13,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>就任为<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>。,4,5,0,2,3
14,部队转到了“<GrandCompany:<var:1>:0>”属下。,0,1,0,1,5
15,部队转到了“<GrandCompany:<var:1>:0>”属下。,0,1,0,1,6
16,部队转到了“<GrandCompany:<var:1>:0>”属下。,0,1,0,1,7
17,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>修改了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”阶级的设置。,4,5,0,3,3
18,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>添加了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”阶级。,4,5,0,3,3
19,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>删除了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”阶级。,4,5,0,3,3
20,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>修改了阶级的序列。,4,0,0,3,3
21,,4,6,1,0,-1
22,,4,0,0,0,-1
23,,4,0,0,0,-1
24,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更新了部队公告。,4,0,0,3,4
25,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更新了部队信息。,4,0,0,3,4
26,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更新了部队队徽。,4,0,0,3,8
27,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>获得了“<CompanyAction:<var:1>:0>”的特效。,4,0,1,4,9
28,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>使用了“<CompanyAction:<var:1>:0>”的特效。,4,0,1,4,9
29,该动态已被删除,0,0,0,0,4
30,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将阶级名称更改为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,4,5,0,3,3
31,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>取消了“<CompanyAction:<var:1>:0>”的特效。,4,0,1,4,9
32,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>放弃了“<CompanyAction:<var:1>:0>”的特效。,4,0,1,4,9
33,部队的简称已被修改为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,0,3,0,3,4
34,部队名已被修改为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,0,2,0,3,4
35,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将<PlaceName:<var:1>:0>第<var:2>区<var:3>号住房名称改成了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,4,9,0,5,11
36,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>修改了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的问候语。,4,8,0,5,11
37,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>购买了<PlaceName:<var:1>:0>第<var:2>区<var:3>号土地。,4,7,0,5,11
38,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>废弃了<PlaceName:<var:1>:0>第<var:2>区<var:3>号土地。,4,7,0,5,11
39,<PlaceName:<var:1>:0> 第<var:2>区<var:3>号土地被废弃了。,0,7,0,5,11
40,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>在<PlaceName:<var:1>:0>第<var:2>区<var:3>号土地上搭建起了“<HousingPreset:<var:4>:0>”。,4,7,1,5,11
41,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>拆除了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,4,8,0,5,11
42,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更换了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的外部装潢。,4,8,0,5,11
43,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更换了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的内部装潢。,4,8,0,5,11
44,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更换了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的家具配置。,4,8,0,5,11
45,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>更换了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的庭具配置。,4,8,0,5,11
46,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>删除了写在“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的访客留言薄上的留言。,4,8,0,5,11
47,收到了<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>发来的入队申请。,4,0,0,2,12
48,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>撤销了发来的入队申请。,4,0,0,2,12
49,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>的角色已被删除。,4,0,0,2,12
50,拒绝了<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>发来的入队申请。,4,0,0,2,12
51,申请数量已经到达上限。,0,0,0,2,12
52,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>在“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”里种下了<Item:<var:1>:0>。,4,10,1,6,13
53,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>对“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”里的作物施加了<Item:<var:1>:0>。,4,10,1,6,13
54,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>对“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”里的作物浇了些水。,4,10,0,6,13
55,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>从“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”里的作物中收获了<var:1>个<Item:<var:2>:0>。,4,11,1,6,13
56,并且由于杂交成功，还收获了<var:1>个<Item:<var:2>:0>。,0,11,1,6,13
57,由于<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>不在，“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”已被转让。,4,5,0,2,3
58,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的作物处理掉了。,4,10,0,6,13
59,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>增设了个人用<var:1>号房间。,4,0,1,5,11
60,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>撤除了个人用<var:1>号房间。,4,0,1,5,11
61,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>照顾了鸟栏中的陆行鸟。,4,0,0,7,11
62,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>对<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>进行了训练。,4,12,0,7,11
63,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将“<Item:<var:2>:0>”设置到了<var:1>号转轴上。,16,14,1,5,11
64,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将<var:1>号转轴上的“<Item:<var:2>:0>”撤了下来。,16,14,1,5,11
65,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>从<var:1>号转轴上获取了“<Item:<var:2>:0>”。,16,14,1,5,11
66,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>转换了“<Item:<var:1>:0>”，将“<CompanyAction:<var:2>:0>”储备了下来。,16,14,1,4,9
67,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>增建了部队工房。,16,0,0,8,15
68,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>拆除了部队工房。,16,0,0,8,15
69,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>使用部队合建设备启动了“<Item:<var:1>:0>”的制作工程。,16,14,0,8,15
70,推进“<Item:<var:1>:0>”工程所必须的素材已经全部准备就绪。,0,14,0,8,15
