key,0,1,2,3,4,5
#,Location,Achievement,ReqFatesToRank2,ReqFatesToRank3,,DisplayOrder
int32,TerritoryType,Achievement,byte,byte,sbyte,byte
0,"n4f1","广域交易商的伙伴：雷克兰德",6,60,0,1
1,"n4f2","广域交易商的伙伴：珂露西亚岛",6,60,3,4
2,"n4f3","广域交易商的伙伴：安穆·艾兰",6,60,1,2
3,"n4f4","广域交易商的伙伴：伊尔美格",6,60,2,3
4,"n4f5","广域交易商的伙伴：拉凯提卡大森林",6,60,4,5
5,"n4f6","广域交易商的伙伴：黑风海",6,60,5,6
6,"k5f1","广域交易商的伙伴：迷津",6,60,6,11
7,"m5f1","广域交易商的伙伴：萨维奈岛",6,60,7,12
8,"m5f2","广域交易商的伙伴：加雷马",6,60,8,13
9,"u5f1","广域交易商的伙伴：叹息海",6,60,9,14
10,"n5f1","广域交易商的伙伴：厄尔庇斯",6,60,10,15
11,"u5f2","广域交易商的伙伴：天外天垓",6,60,11,16
