key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,GatheringLevel,BigFish{OnReach},BigFish{OnEnd},FishingSpotCategory,Rare,TerritoryType,PlaceName{Main},PlaceName{Sub},X,Z,Radius,,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8],Item[9],PlaceName,Order
int32,byte,str,str,byte,bit&01,TerritoryType,PlaceName,PlaceName,int16,int16,uint16,byte,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,PlaceName,uint16
0,0,"","",0,False,,"","",0,0,0,0,"","","","","","","","","","","未知钓场",0
1,15,"リーチ状態になった！（翻訳不要）","リーチ状態が終了した！（翻訳不要）",1,False,,"","",0,0,0,0,"梅尔托尔虾虎","蓝章鱼","攀岩鱼","尖枪乌贼","珂露西亚隆头鱼","枯叶海龙","剑齿龙鳖","战盾剑齿龙鳖","","","",0
2,5,"","",2,False,"f1f1","","",1094,1058,400,2,"蝲蛄","斑纹虾虎","皮皮拉鱼","潜沙鱼","黄铜泥鳅","白妙鲤","深红蝲蛄","外科医生","","","叶脉水系",46
3,15,"","",2,False,"f1f1","","",1276,1398,400,2,"骨蝲蛄","皮皮拉鱼","潜沙鱼","黄铜泥鳅","白妙鲤","沟鲫鱼","三色鲤","人面鲤","","","镜池",47
4,30,"","",2,False,"f1f1","","",730,1156,400,4,"黑鳗","斗鱼","蒙凯恩凯鱼","硬毛蟹","斑纹琵琶鱼","骨舌鱼","雷神光","","","","常影区",48
5,35,"","",2,False,"f1f1","","",690,1011,400,2,"泥软蟹","黑鳗","黑鬼鱼","斗鱼","弹涂鱼","小丑鳅","樱鳟","绿小丑","","","萌芽池",49
6,15,"","",2,False,"f1f2","","",401,1094,400,2,"骨蝲蛄","斑纹虾虎","皮皮拉鱼","白妙鲤","河蟹","暗塘鳢","深红蝲蛄","暗兵鳢","","","花蜜栈桥",51
7,25,"","",2,False,"f1f2","","",973,1025,400,2,"虹鳟鱼","河蟹","铜鱼","黑鳗","上爬刺鱼","宇格拉姆鲑鱼","斑纹琵琶鱼","龙门鱼","妖祸鱼","","落翠底",54
8,15,"","",2,False,"f1f2","","",1150,1214,400,2,"黄铜泥鳅","白妙鲤","虹鳟鱼","河蟹","斗鱼","蓝铃鲑","深红蝲蛄","莫尔巴","","","涟漪小川",52
9,45,"","",2,False,"f1f2","","",1250,986,600,2,"巨鲈","威罗迪纳鲤鱼","橡根鱼","杜父鱼","南方狗鱼","蘑菇蟹","魔幻蘑菇蟹","","","","妖精领溪谷",55
10,20,"","",2,False,"f1f2","","",833,798,400,2,"骨蝲蛄","河蟹","橡果蜗牛","沟鲫鱼","三色鲤","圆蚌","暗鲈","终结者","","","十二神大圣堂",53
11,20,"","",2,False,"f1f3","","",850,900,400,2,"虹鳟鱼","河蟹","斗鱼","仙女鲈","暗塘鳢","深红蝲蛄","黑鳗","威罗迪纳鲤鱼","大蛇鳗","","哈希瓦河上游",56
12,30,"","",2,True,"f1f3","","",947,1076,200,1,"虹鳟鱼","暗塘鳢","清道琵琶鱼","宇格拉姆鲑鱼","硬毛蟹","樱鳟","铠甲琵琶鱼","威罗迪纳鲤鱼","沉川鲑","","哈希瓦河中游",59
13,25,"","",2,False,"f1f3","","",867,1190,400,4,"虹鳟鱼","斗鱼","仙女鲈","泥软蟹","深红蝲蛄","黑鳗","上爬刺鱼","宇格拉姆鲑鱼","威罗迪纳鲤鱼","浮游石","哈希瓦河下游",57
14,25,"","",2,False,"f1f3","","",1142,1067,400,4,"虹鳟鱼","仙女鲈","暗塘鳢","铜鱼","泥软蟹","深红蝲蛄","黑鳗","威罗迪纳鲤鱼","露齿鲤","","哈希瓦河东支流",58
15,30,"","",2,False,"f1f3","","",1324,1023,400,2,"斗鱼","泥软蟹","暗鲈","清道琵琶鱼","黑鬼鱼","宇格拉姆鲑鱼","骨舌鱼","银鱼","哥布林刺鱼","刺鱼教父","哥布林血流",60
16,35,"","",2,False,"f1f3","","",880,1401,400,3,"骨蝲蛄","上爬刺鱼","蔓根跳鱼","硬毛蟹","铠甲琵琶鱼","雷神鱼","雷皇子","","","","蔓根沼",61
17,45,"感觉到附近有比大泷太郎还要大的鱼在活动！","大鱼好像消失了……",2,False,"f1f3","","",1576,1147,400,2,"斗鱼","蒙凯恩凯鱼","骨舌鱼","硬毛蟹","威罗迪纳鲤鱼","南方狗鱼","争斗琵琶鱼","泷太郎","大泷太郎","波太郎","兀尔德恩惠地",62
18,15,"","",2,False,"f1f4","","",1268,1204,400,4,"黄铜泥鳅","白妙鲤","虹鳟鱼","河蟹","蓝铃鲑","三色鲤","蓝寡妇","","","","嘈杂川",63
19,15,"","",2,False,"f1f4","","",1000,1182,400,2,"斑纹虾虎","黄铜泥鳅","白妙鲤","虹鳟鱼","斗鱼","仙女鲈","暗塘鳢","黑鲶鱼","审判鳐","","秋瓜湖畔",64
20,40,"","",2,False,"f1f4","","",990,990,400,4,"圆蚌","硬毛蟹","樱鳟","黄金鳅","王家琵琶鱼","橡根鱼","南方狗鱼","巨骨舌鱼","影纹狗鱼","","荣耀溪",65
