key,0,1,2
#,GrandCompany,Tier,SubCategory
int32,GrandCompany,sbyte,sbyte
0,"None",0,0
1,"Maelstrom",1,1
2,"Maelstrom",1,2
3,"Maelstrom",1,3
4,"Maelstrom",2,1
5,"Maelstrom",2,2
6,"Maelstrom",2,3
7,"Maelstrom",3,1
8,"Maelstrom",3,2
9,"Maelstrom",3,3
10,"Order of the Twin Adder",1,1
11,"Order of the Twin Adder",1,2
12,"Order of the Twin Adder",1,3
13,"Order of the Twin Adder",2,1
14,"Order of the Twin Adder",2,2
15,"Order of the Twin Adder",2,3
16,"Order of the Twin Adder",3,1
17,"Order of the Twin Adder",3,2
18,"Order of the Twin Adder",3,3
19,"Immortal Flames",1,1
20,"Immortal Flames",1,2
21,"Immortal Flames",1,3
22,"Immortal Flames",2,1
23,"Immortal Flames",2,2
24,"Immortal Flames",2,3
25,"Immortal Flames",3,1
26,"Immortal Flames",3,2
27,"Immortal Flames",3,3
28,"Maelstrom",1,4
29,"Maelstrom",2,4
30,"Maelstrom",3,4
31,"Order of the Twin Adder",1,4
32,"Order of the Twin Adder",2,4
33,"Order of the Twin Adder",3,4
34,"Immortal Flames",1,4
35,"Immortal Flames",2,4
36,"Immortal Flames",3,4
