key,0,1,2,3
#,Item,Required{GrandCompanyRank},Cost{GCSeals},SortKey
int32,Item,GrandCompanyRank,uint32,byte
0.0,"","GrandCompanyRank#0",0,0
1.0,"Grade 1 Dark Matter","GrandCompanyRank#1",12,50
1.1,"Grade 2 Dark Matter","GrandCompanyRank#1",34,50
1.2,"Grade 3 Dark Matter","GrandCompanyRank#1",70,50
1.3,"Antidote","GrandCompanyRank#1",120,50
1.4,"Echo Drops","GrandCompanyRank#1",290,50
1.5,"Venture","GrandCompanyRank#1",200,40
1.6,"Storm Chocobo Issuance","GrandCompanyRank#1",200,50
1.7,"Althyk Lavender Seeds","GrandCompanyRank#1",500,50
1.8,"Voidrake Seeds","GrandCompanyRank#1",500,50
1.9,"Spine Drops","GrandCompanyRank#2",1010,100
1.10,"Smelling Salts","GrandCompanyRank#2",1710,100
1.11,"Company-issue Engineering Manual","GrandCompanyRank#3",1440,150
1.12,"Company-issue Survival Manual","GrandCompanyRank#3",1440,150
1.13,"Grade 4 Dark Matter","GrandCompanyRank#4",138,200
1.14,"Grade 5 Dark Matter","GrandCompanyRank#4",230,200
1.15,"","GrandCompanyRank#0",0,0
2.0,"Storm Private's Sword","GrandCompanyRank#1",1060,50
2.1,"Storm Private's Hora","GrandCompanyRank#1",1060,50
2.2,"Storm Private's Axe","GrandCompanyRank#1",1060,50
2.3,"Storm Private's Harpoon","GrandCompanyRank#1",1060,50
2.4,"Storm Private's Shortbow","GrandCompanyRank#1",1060,50
2.5,"Storm Private's Cane","GrandCompanyRank#1",1060,50
2.6,"Storm Private's Staff","GrandCompanyRank#1",1060,50
2.7,"Storm Private's Grimoire","GrandCompanyRank#1",1060,50
2.8,"Storm Private's Baselards","GrandCompanyRank#1",1060,50
2.9,"Storm Private's Spatha","GrandCompanyRank#4",1770,200
2.10,"Storm Private's Cesti","GrandCompanyRank#4",1770,200
2.11,"Storm Private's Labrys","GrandCompanyRank#4",1770,200
2.12,"Storm Private's Spear","GrandCompanyRank#4",1770,200
2.13,"Storm Private's Bow","GrandCompanyRank#4",1770,200
2.14,"Storm Private's Crook","GrandCompanyRank#4",1770,200
2.15,"Storm Private's Brand","GrandCompanyRank#4",1770,200
2.16,"Storm Private's Picatrix","GrandCompanyRank#4",1770,200
2.17,"Storm Private's Daggers","GrandCompanyRank#4",1770,200
2.18,"Storm Private's Zweihander","GrandCompanyRank#4",1770,200
2.19,"Storm Private's Musketoon","GrandCompanyRank#4",1770,200
2.20,"Storm Private's Planisphere","GrandCompanyRank#4",1770,200
2.21,"","GrandCompanyRank#0",0,0
3.0,"Lominsan Soldier's Cap","GrandCompanyRank#1",680,50
3.1,"Lominsan Soldier's Overcoat","GrandCompanyRank#1",1040,50
3.2,"Lominsan Soldier's Gloves","GrandCompanyRank#1",660,50
3.3,"Lominsan Soldier's Boots","GrandCompanyRank#1",730,50
3.4,"Storm Private's Apron","GrandCompanyRank#2",1390,100
