key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
#,Item[0][0],ItemCount[0][0],Item[1][0],ItemCount[1][0],Item[2][0],ItemCount[2][0],Item[0][1],ItemCount[0][1],Item[1][1],ItemCount[1][1],Item[2][1],ItemCount[2][1],Item[0][2],ItemCount[0][2],Item[1][2],ItemCount[1][2],Item[2][2],ItemCount[2][2],Item[0][3],ItemCount[0][3],Item[1][3],ItemCount[1][3],Item[2][3],ItemCount[2][3],Item[0][4],ItemCount[0][4],Item[1][4],ItemCount[1][4],Item[2][4],ItemCount[2][4],Item[0][5],ItemCount[0][5],Item[1][5],ItemCount[1][5],Item[2][5],ItemCount[2][5],Item[0][6],ItemCount[0][6],Item[1][6],ItemCount[1][6],Item[2][6],ItemCount[2][6],Item[0][7],ItemCount[0][7],Item[1][7],ItemCount[1][7],Item[2][7],ItemCount[2][7],Item[0][8],ItemCount[0][8],Item[1][8],ItemCount[1][8],Item[2][8],ItemCount[2][8],Item[0][9],ItemCount[0][9],Item[1][9],ItemCount[1][9],Item[2][9],ItemCount[2][9],Item[0][10],ItemCount[0][10],Item[1][10],ItemCount[1][10],Item[2][10],ItemCount[2][10]
int32,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte
0,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1
1,"Maple Clogs",1,"",1,"",1,"Boiled Egg",3,"",1,"",1,"Maple Wand",1,"",1,"",1,"Bronze Alembic",1,"",1,"",1,"Leather Calot",1,"",1,"",1,"Bone Hora",1,"",1,"",1,"Hempen Underpants",1,"",1,"",1,"Bronze Hatchet",1,"",1,"",1,"Copper Ore",10,"",1,"",1,"Latex",10,"",1,"",1,"Crayfish",1,"",1,"",1
2,"Maple Shortbow",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"Leather Duckbills",1,"Leather Wristguards",1,"",1,"",1,"",1,"",1,"Hempen Pantalettes",1,"Hempen Halfgloves",1,"",1,"Bronze Bastard Sword",1,"Amateur's File",1,"",1,"",1,"",1,"",1,"Allagan Snail",10,"",1,"",1,"Merlthor Goby",1,"",1,"",1
3,"Bone Harpoon",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"",1,"Leather Duckbills of Gathering",1,"Merchant's Purse",1,"Leather Shepherd's Belt",1,"Bone Brand",1,"",1,"",1,"Hempen Undershirt",1,"Hempen Camise",1,"Hempen Breeches of Crafting",1,"Amateur's Pliers",1,"Bronze War Axe",1,"",1,"Muddy Water",10,"",1,"",1,"Maple Log",10,"",1,"",1,"Chub",1,"",1,"",1
4,"Maple Pattens",1,"",1,"",1,"Frumenty",3,"",1,"",1,"",1,"",1,"",1,"Bronze Skillet",1,"",1,"",1,"Fingerless Leather Gloves",1,"Leather Eyepatch",1,"Leather Shoes",1,"",1,"",1,"",1,"Hempen Kurta",1,"Hempen Shepherd's Slops",1,"Hempen Breeches",1,"Amateur's Awl",1,"Bronze Saw",1,"",1,"",1,"",1,"",1,"Cinnamon",10,"",1,"",1,"Striped Goby",1,"Dwarf Catfish",1,"",1
5,"Amateur's Spinning Wheel",1,"",1,"",1,"Flatbread",3,"Marmot Steak",3,"Grilled Trout",3,"Leather Grimoire",1,"Antidote",3,"",1,"Bronze Hoplon",1,"",1,"",1,"Leather Culottes",1,"Leather Choker",1,"Leather Crakows",1,"Bone Staff",1,"Copper Wristlets",1,"Copper Gorget",1,"Hempen Dalmatica of Gathering",1,"Hempen Tunic",1,"Hempen Bandana",1,"Amateur's Claw Hammer",1,"Bronze Cross-pein Hammer",1,"Bronze Doming Hammer",1,"Bone Chip",10,"",1,"",1,"Maple Branch",10,"Beehive Chip",10,"",1,"Bone Crayfish",1,"Princess Trout",1,"",1
6,"Maple Cane",1,"Bronze Spear",1,"",1,"Orange Juice",3,"",1,"",1,"Eye Drops",3,"",1,"",1,"Bronze Haubergeon",1,"",1,"",1,"Leather Lightmitts",1,"Leather Boots",1,"Leather Mitts",1,"Copper Earrings",1,"",1,"",1,"Hempen Tabard",1,"Hempen Shortgloves",1,"Hempen Shepherd's Tunic",1,"Amateur's Mortar",1,"Amateur's Culinary Knife",1,"",1,"Tin Ore",10,"",1,"",1,"Cock Feather",10,"Tinolqa Mistletoe",10,"",1,"Dusk Goby",1,"",1,"",1
7,"Maple Longbow",1,"",1,"",1,"Tree Toad Legs",3,"",1,"",1,"",1,"",1,"",1,"Bronze Sollerets",1,"",1,"",1,"Leather Himantes",1,"Leather Wristbands",1,"",1,"Bone Ring",1,"Copper Ring",1,"",1,"Hempen Work Gloves",1,"Hempen Sash",1,"Hempen Halfrobe",1,"Viking Sword",1,"Bronze Chaser Hammer",1,"Bronze Labrys",1,"Raw Lapis Lazuli",10,"",1,"",1,"La Noscean Orange",10,"",1,"",1,"Pipira",1,"",1,"",1
8,"Maple Crook",1,"Maple Fishing Rod",1,"",1,"Chanterelle Saute",3,"Braised Pipira",3,"",1,"Whispering Maple Wand",1,"Maple Picatrix",1,"",1,"Bronze Sallet",1,"Bronze Chain Coif",1,"",1,"Leather Sandals",1,"Hard Leather Pot Helm",1,"Leather Leggings",1,"Copper Needle",1,"Bone Necklace",1,"",1,"Hempen Gaskins",1,"Hempen Acton",1,"Hempen Kecks",1,"Bronze Pickaxe",1,"Bronze Head Knife",1,"",1,"Soiled Femur",10,"",1,"",1,"Ash Log",10,"",1,"",1,"Crimson Crayfish",1,"Vongola Clam",1,"Gudgeon",1
9,"Round Shield",1,"",1,"",1,"Boiled Crayfish",3,"Mutton Stew",3,"",1,"",1,"",1,"",1,"Amateur's Alembic",1,"Bronze Mitt Gauntlets",1,"",1,"Amateur's Duckbills",1,"Amateur's Thighboots",1,"Amateur's Smithing Gloves",1,"Copper Choker",1,"Ramhorn Staff",1,"",1,"Hempen Bottoms",1,"Amateur's Slops",1,"Amateur's Kurta",1,"Cloud Axe",1,"Bronze Claw Hammer",1,"",1,"Zinc Ore",10,"",1,"",1,"Ash Branch",10,"Kukuru Bean",10,"",1,"",1,"",1,"",1
