key,0
#,PublicContentTextData
int32,PublicContentTextData
0,""
1,"Jump to the finish!"
2,"Jump to the finish!"
3,"Jump to the finish!"
4,"Jump to the finish!"
5,"Jump to the finish!"
6,"Jump to the finish!"
7,"Jump to the finish!"
8,"Jump to the finish!"
9,"Jump to the finish!"
10,"Jump to the finish!"
11,"Jump to the finish!"
12,"Jump to the finish!"
13,"Jump to the finish!"
14,"Jump to the finish!"
15,"Jump to the finish!"
16,"Jump to the finish!"
17,"Jump to the finish!"
18,"Jump to the finish!"
