Index,0:？
0,
1,连锁 <var:1>以上
2,力量 <var:1>以上
3,灵巧 <var:1>以上
4,耐力 <var:1>以上
5,智力 <var:1>以上
6,精神 <var:1>以上
7,信仰 <var:1>以上
8,{{fonticon|56|t=18}}火 <var:1>以上
9,{{fonticon|57|t=18}}冰 <var:1>以上
10,{{fonticon|58|t=18}}风 <var:1>以上
11,{{fonticon|59|t=18}}土 <var:1>以上
12,{{fonticon|60|t=18}}雷 <var:1>以上
13,{{fonticon|61|t=18}}水 <var:1>以上
14,获得力 <var:1>以上
15,鉴别力 <var:1>以上
16,获得力 <var:1>以下
17,鉴别力 <var:1><if (<var:2> 以上) { 以下 }>
18,<Status:<var:1>:0>状态
19,采集力上限 <var:1>以上
20,<Item:<var:1>:0><if (<var:2> 装备时) { 未装备时 }>
