key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,Route[0],Route[1],Route[2],Route[3],RequiredItem[0],RequiredItemQty[0],RequiredItem[1],RequiredItemQty[1],RequiredItem[2],RequiredItemQty[2],RequiredItem[3],RequiredItemQty[3],ItemNumber,Rule,Varient,Objective[0],Objective[1],BNpcEntry,UseSecondaryTool
int32,GatheringLeveRoute,GatheringLeveRoute,GatheringLeveRoute,GatheringLeveRoute,EventItem,byte,EventItem,byte,EventItem,byte,EventItem,byte,byte,GatheringLeveRule,byte,uint16,uint16,GatheringLeveBNpcEntry,bit&01
131072,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131073,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131074,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131075,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131076,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131077,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131078,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131079,"GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0",,0,,0,,0,,0,0,"",0,0,0,"GatheringLeveBNpcEntry#0",False
131080,"GatheringLeveRoute#10","GatheringLeveRoute#11","GatheringLeveRoute#12","GatheringLeveRoute#13",,0,,0,,0,,0,8,"GatheringLeveSearch",0,10,0,"GatheringLeveBNpcEntry#0",False
131081,"GatheringLeveRoute#14","GatheringLeveRoute#15","GatheringLeveRoute#16","GatheringLeveRoute#17",,0,,0,,0,,0,8,"GatheringLeveSearch",0,10,0,"GatheringLeveBNpcEntry#0",False
131082,"GatheringLeveRoute#18","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","篝火用柴",35,,0,,0,,0,0,"GatheringLeveProcurance",0,11,0,"GatheringLeveBNpcEntry#0",False
131083,"GatheringLeveRoute#19","GatheringLeveRoute#0","GatheringLeveRoute#0","GatheringLeveRoute#0","无杂质的乳胶",35,,0,,0,,0,0,"GatheringLeveProcurance",0,11,0,"GatheringLeveBNpcEntry#0",False
