key,0,1,2,3,4,5,6,7,8
#,Type,,GatheringPointBase,Count,GatheringPointBonus[0],GatheringPointBonus[1],TerritoryType,PlaceName,GatheringSubCategory
int32,byte,byte,GatheringPointBase,byte,GatheringPointBonus,GatheringPointBonus,TerritoryType,PlaceName,GatheringSubCategory
30000,1,0,"GatheringPointBase#0",0,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30001,1,0,"GatheringPointBase#153",4,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30002,1,0,"GatheringPointBase#154",4,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30003,1,0,"GatheringPointBase#155",4,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30004,1,0,"GatheringPointBase#159",4,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30005,1,0,"GatheringPointBase#11",4,"GatheringPointBonus#1","GatheringPointBonus#0","","",
30006,3,0,"GatheringPointBase#51",6,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30007,3,0,"GatheringPointBase#52",6,"GatheringPointBonus#0","GatheringPointBonus#0","","",
30008,1,0,"GatheringPointBase#19",4,"GatheringPointBonus#2","GatheringPointBonus#0","","",
30009,1,0,"GatheringPointBase#21",4,"GatheringPointBonus#3","GatheringPointBonus#0","","",
30010,1,0,"GatheringPointBase#30",4,"GatheringPointBonus#4","GatheringPointBonus#0","","",
30011,1,0,"GatheringPointBase#10",4,"GatheringPointBonus#6","GatheringPointBonus#0","s1f2","シダーウッド",
30012,1,0,"GatheringPointBase#11",4,"GatheringPointBonus#5","GatheringPointBonus#0","f1f1","翡翠湖畔",
30013,1,0,"GatheringPointBase#11",4,"GatheringPointBonus#0","GatheringPointBonus#0","f1f1","翡翠湖畔",
30014,1,0,"GatheringPointBase#11",4,"GatheringPointBonus#15","GatheringPointBonus#0","f1f1","翡翠湖畔",
30015,1,0,"GatheringPointBase#11",4,"GatheringPointBonus#0","GatheringPointBonus#0","f1f1","翡翠湖畔",
30016,1,0,"GatheringPointBase#12",4,"GatheringPointBonus#5","GatheringPointBonus#0","f1f4","ひそひそ木立",
30017,1,0,"GatheringPointBase#12",4,"GatheringPointBonus#0","GatheringPointBonus#0","f1f4","ひそひそ木立",
30018,1,0,"GatheringPointBase#12",4,"GatheringPointBonus#15","GatheringPointBonus#0","f1f4","ひそひそ木立",
30019,1,0,"GatheringPointBase#13",4,"GatheringPointBonus#5","GatheringPointBonus#0","f1f4","ひそひそ木立",
30020,1,0,"GatheringPointBase#13",4,"GatheringPointBonus#0","GatheringPointBonus#0","f1f4","ひそひそ木立",
30021,1,0,"GatheringPointBase#13",4,"GatheringPointBonus#15","GatheringPointBonus#0","f1f4","ひそひそ木立",
30022,1,0,"GatheringPointBase#10",4,"GatheringPointBonus#0","GatheringPointBonus#0","s1f2","シダーウッド",
30023,1,0,"GatheringPointBase#10",4,"GatheringPointBonus#16","GatheringPointBonus#0","s1f2","シダーウッド",
30024,1,0,"GatheringPointBase#15",4,"GatheringPointBonus#6","GatheringPointBonus#0","f1f4","ひそひそ木立",
