key,0,1,2,3,4,5,6
#,MainHand,OffHand,Head,Body,Gloves,Legs,Feet
int32,Item,Item,Item,Item,Item,Item,Item
0,"","","","","","",""
1,"白钢长剑","镶银小圆盾","","秘银胸甲","白钢重手铠","白钢重足铠",""
2,"钴铁翼剑","鸢盾","","钴铁胸甲","钴铁手铠","内衬呢绒软甲裤","钴铁铠靴"
3,"破甲锋","玄钢步兵盾","","保护者胸甲","保护者手铠","保护者软甲裤","保护者锁甲靴"
4,"风神凝","土神壁盾","","光之铠甲","光之手铠","光之裤甲","光之铠靴"
5,"恐狼长剑","恐狼步兵盾","","恐狼御敌胸甲","恐狼御敌手铠","恐狼御敌腿甲","恐狼御敌铠靴"
6,"白钢长刃斧","","","骑兵胸甲","骑兵手铠","骑兵软甲裤","骑兵铠靴"
7,"钴铁刺柄双刃斧","","","哨兵胸甲","哨兵手铠","哨兵软甲裤","哨兵铠靴"
8,"巨胆战斧","","","战狼御敌胸甲","战狼御敌手铠","战狼御敌软甲裤","战狼御敌锁甲靴"
9,"土神大斧","","","阿瑞斯胸甲","阿瑞斯臂甲","阿瑞斯马裤","阿瑞斯铠靴"
10,"恐狼战斧","","","改良型钨钢重胸甲","钨钢重手铠","钨钢重腿甲","钨钢重铠靴"
11,"狂热小刀","","","步兵衬衫","步兵手套","步兵短裙","步兵长靴"
12,"钴铁短刀","","","海盗战装","盗龙革半指护手","盗龙革衬裤","钴铁长筒靴"
13,"仁慈短刺","","","暗耀强袭护甲","暗耀强袭手套","暗耀三角裤","暗耀强袭战靴"
14,"土神屠刀","","","风魔之衣","风魔手甲","风魔之袴","风魔缠足"
15,"恐狼屠刀","","","改良型蛟蜥强袭衬衫","蛟蜥强袭手套","羊绒强袭短裙","蛟蜥强袭长靴"
16,"橡木长弓","","","呢绒衬衫","猎户弓术手套","旧化骑兵裤","巨蟾蜍革腿甲靴"
17,"蟹甲战弓","","","盗龙革皮甲","盗龙革护臂","盗龙革衬裤","盗龙革腿甲靴"
18,"巨胆长弓","","","狩猎者长衫","狩猎者手套","狩猎者束膝裤","狩猎者筒靴"
19,"土神战弓","","","民谣护甲","民谣手铠","民谣垮裤","民谣长靴"
20,"恐狼长弓","","","改良型蛟蜥精准罩衣","蛟蜥精准手套","羊绒精准短裙","蛟蜥精准筒靴"
21,"野猪护拳","","","野猪革格斗服","野猪革半指护手","野猪革三角裤","白钢战靴"
22,"钴铁爪","","","盗龙革格斗服","盗龙革半指护手","盗龙革三角裤","钴铁战靴"
23,"巨胆利爪","","","拳法师外套","拳法师手套","拳法师马裤","拳法师长筒靴"
24,"土神重拳","","","赫拉克勒斯衬衫","赫拉克勒斯护袖","赫拉克勒斯垮裤","赫拉克勒斯筒靴"
25,"恐狼爪","","","恐狼强袭衬衫","恐狼强袭手套","恐狼强袭短裙","恐狼强袭长靴"
