key,0,1
#,GuideTitle,GuidePage
int32,GuideTitle,GuidePage
0,"","GuidePage#0"
1,"JOB HUD INFO","GuidePage#1"
2,"JOB HUD INFO","GuidePage#2"
3,"JOB HUD INFO","GuidePage#3"
4,"JOB HUD INFO","GuidePage#4"
5,"JOB HUD INFO","GuidePage#5"
6,"JOB HUD INFO","GuidePage#6"
7,"JOB HUD INFO","GuidePage#7"
8,"JOB HUD INFO","GuidePage#8"
9,"JOB HUD INFO","GuidePage#9"
10,"JOB HUD INFO","GuidePage#10"
11,"JOB HUD INFO","GuidePage#11"
12,"JOB HUD INFO","GuidePage#12"
13,"JOB HUD INFO","GuidePage#13"
14,"JOB HUD INFO","GuidePage#14"
15,"JOB HUD INFO","GuidePage#15"
16,"JOB HUD INFO","GuidePage#16"
17,"JOB HUD INFO","GuidePage#50"
18,"JOB HUD INFO","GuidePage#18"
19,"","GuidePage#0"
20,"JOB HUD INFO","GuidePage#20"
21,"JOB HUD INFO","GuidePage#21"
22,"JOB HUD INFO","GuidePage#22"
23,"JOB HUD INFO","GuidePage#23"
24,"JOB HUD INFO","GuidePage#24"
25,"JOB HUD INFO","GuidePage#25"
26,"JOB HUD INFO","GuidePage#26"
27,"JOB HUD INFO","GuidePage#27"
28,"JOB HUD INFO","GuidePage#28"
29,"JOB HUD INFO","GuidePage#29"
30,"JOB HUD INFO","GuidePage#30"
31,"JOB HUD INFO","GuidePage#31"
32,"JOB HUD INFO","GuidePage#32"
33,"JOB HUD INFO","GuidePage#33"
34,"JOB HUD INFO","GuidePage#34"
35,"JOB HUD INFO","GuidePage#35"
36,"JOB HUD INFO","GuidePage#36"
37,"JOB HUD INFO","GuidePage#37"
38,"JOB HUD INFO","GuidePage#38"
39,"JOB HUD INFO","GuidePage#39"
40,"JOB HUD INFO","GuidePage#40"
41,"JOB HUD INFO","GuidePage#41"
42,"JOB HUD INFO","GuidePage#42"
43,"JOB HUD INFO","GuidePage#43"
44,"JOB HUD INFO","GuidePage#44"
45,"JOB HUD INFO","GuidePage#45"
46,"JOB HUD INFO","GuidePage#46"
47,"JOB HUD INFO","GuidePage#47"
48,"","GuidePage#0"
49,"JOB HUD INFO","GuidePage#49"
50,"JOB HUD INFO","GuidePage#51"
51,"","GuidePage#0"
52,"JOB HUD INFO","GuidePage#53"
53,"JOB HUD INFO","GuidePage#54"
54,"JOB HUD INFO","GuidePage#55"
55,"JOB HUD INFO","GuidePage#56"
56,"JOB HUD INFO","GuidePage#57"
57,"JOB HUD INFO","GuidePage#58"
58,"JOB HUD INFO","GuidePage#59"
59,"JOB HUD INFO","GuidePage#60"
60,"JOB HUD INFO","GuidePage#61"
61,"JOB HUD INFO","GuidePage#62"
62,"JOB HUD INFO","GuidePage#63"
63,"JOB HUD INFO","GuidePage#64"
64,"JOB HUD INFO","GuidePage#65"
65,"","GuidePage#0"
66,"","GuidePage#0"
67,"","GuidePage#0"
68,"","GuidePage#0"
