Index,0:？
0,
1,忠义量谱
2,开启{{color|id=500|钢铁信念}}技能后，画面上会出现显示该技能使用状态的量谱。<br>想要集中仇恨时，建议使用钢铁信念。
3,职业量谱的说明可以随时在技能菜单中进行查看。
4,忠义量谱
5,学会{{color|id=500|忠义精通}}特性后，画面上会出现专用的{{color|id=500|忠义量谱}}。<br>该量谱不仅会显示钢铁信念的状态，还会显示骑士的{{color|id=500|忠义}}效果的具体量值。<br>自动攻击命中时会积累忠义量值，消耗忠义量值可以发动{{color|id=500|盾阵}}、45级学会的{{color|id=500|保护}}和62级学会的{{color|id=500|干预}}技能。
6,兽魂量谱
7,开启{{color|id=500|守护}}技能后，画面上会出现显示该技能使用状态的量谱。<br>想要集中仇恨时，建议使用守护。
8,兽魂量谱
9,学会{{color|id=500|兽魂}}特性后，画面上会出现专用的{{color|id=500|兽魂量谱}}。<br>该量谱不仅会显示守护的状态，还会显示代表战士心中野性的{{color|id=500|兽魂}}的具体量值。<br>{{color|id=500|原初之魂}}和45级学会的{{color|id=500|钢铁旋风}}等技能都需要通过消耗积累的兽魂量值才能发动。<br>兽魂量值可以通过发动特定的技能进行积累。
10,暗血量谱
11,开启{{color|id=500|深恶痛绝}}技能后，画面上会出现显示该技能使用状态的量谱。<br>想要集中仇恨时，建议使用深恶痛绝。
12,暗黑量谱
13,学会{{color|id=500|暗黑波动}}技能后，画面上会出现专用的{{color|id=500|暗黑量谱}}。<br>暗黑量谱会显示{{color|id=500|暗黑}}的持续时间。使用{{color|id=500|暗黑波动}}和40级学会的{{color|id=500|暗黑锋}}可以附加暗黑状态。<br>暗黑状态中自身攻击所造成的伤害提高。
14,暗血量谱
15,学会{{color|id=500|暗血}}特性后，画面上会出现专用的{{color|id=500|暗血量谱}}。<br>该量谱会显示暗血的具体量值。{{color|id=500|血溅}}和64级学会的{{color|id=500|寂灭}}等技能都需要通过消耗积累的暗血量值才能发动。<br>暗血量值可以通过发动特定的技能进行积累。
16,暗黑量谱
17,学会{{color|id=500|至黑之夜}}技能后，暗黑量谱会显示{{color|id=500|暗技}}状态。<br>消耗{{color|id=500|至黑之夜}}的防护罩效果可以附加暗技状态。<br>附加暗技状态后，可以通过只消耗暗技不消耗魔力的方式来发动{{color|id=500|暗黑波动}}和{{color|id=500|暗黑锋}}技能。
18,暗黑量谱
19,学会{{color|id=500|掠影示现}}技能后，一同战斗的{{color|id=500|英雄的掠影}}会变成实体。暗黑量谱可以显示英雄的掠影实体存在的剩余时间。
20,百合花茎量谱
21,学会{{color|id=500|神秘百合}}特性后，画面上会出现专用的{{color|id=500|百合花茎量谱}}，<br>以显示当前{{color|id=500|治疗百合}}开花的数量。<br>当自身处于战斗状态时，每过一定时间就会开放一朵治疗百合，<br>消耗百合可以发动{{color|id=500|安慰之心}}和76级学会的{{color|id=500|狂喜之心}}技能。
22,百合花茎量谱
23,学会{{color|id=500|安慰之心效果提高}}特性后，百合花茎量谱会显示{{color|id=500|血百合}}的状态。使用需要消耗治疗百合的技能，可以使血百合逐渐开放。<br>当血百合完全开放时，即可发动{{color|id=500|苦难之心}}技能。
24,以太超流量谱
25,使用{{color|id=500|以太超流}}技能后，画面上会出现专用的{{color|id=500|以太超流量谱}}，以显示当前附加的以太超流量值。
26,异想量谱
27,学会{{color|id=500|以太契约}}技能后，画面上会出现专用的{{color|id=500|异想量谱}}，以显示当前小仙女的{{color|id=500|异想以太}}量值。在自身处于战斗状态且小仙女处于同行状态时，使用消耗以太超流的{{color|id=500|生命活性法}}和{{color|id=500|深谋远虑之策}}等技能可以增加异想以太量值，积累的异想以太量值可以用来发动{{color|id=500|以太契约}}和76级学会的{{color|id=500|异想的祥光}}技能。
28,异想量谱
29,学会并使用{{color|id=500|炽天召唤}}技能后，可以暂时召唤出{{color|id=500|炽天使}}替代朝日小仙女和夕月小仙女。<br>异想量谱会显示炽天使的剩余存在时间。
30,奥秘量谱
31,发动{{color|id=500|抽卡}}技能后，画面上会出现专用的{{color|id=500|奥秘量谱}}，以显示当前抽出的卡片。使用抽出的卡片可以获得各种各样的效果，同时卡片效果会临时取代{{color|id=500|出卡}}技能。
32,奥秘量谱/占卜量谱
33,学会{{color|id=500|占卜}}技能后，画面上会出现专用的{{color|id=500|占卜量谱}}。<br>在战斗状态下使用卡片技能，可以附加{{color|id=500|日}}、{{color|id=500|月}}、{{color|id=500|星}}三种标识的其中一种。当标识附加到三个时，即可消耗标识发动{{color|id=500|占卜}}技能。
34,疾风迅雷量谱
35,发动特定的战技时可以触发{{color|id=500|疾风迅雷}}状态。<br>学会能够触发该状态的技能后，画面上会出现{{color|id=500|疾风迅雷量谱}}，以显示当前疾风迅雷状态的剩余持续时间和量值。随着等级提升，量值在{{color|id=500|红莲体势}}和{{color|id=500|金刚体势}}下最多可以积累到三档，在{{color|id=500|疾风体势}}下最多可以积累到四档，疾风迅雷状态能够提升攻击速度与攻击所造成的伤害，积累的量值越多，提升的幅度越大。
36,斗气量谱
37,学会{{color|id=500|斗气}}技能后，画面上会出现专用的{{color|id=500|斗气量谱}}，以显示当前的{{color|id=500|斗气}}量值。<br>斗气量值累计到最大后，可以发动{{color|id=500|阴阳斗气斩}}和74级学会的{{color|id=500|万象斗气圈}}技能。
38,疾风迅雷量谱
39,学会{{color|id=500|无我}}技能后，可以将{{color|id=500|疾风迅雷}}的持续时间暂时停止。<br>疾风迅雷持续时间停止时，表示时间的数值会不断闪烁。战斗状态下使用无我，会在无我持续生效的期间，一档一档连续附加疾风迅雷状态，直至最大档数。
40,龙血量谱
41,开启{{color|id=500|苍天龙血}}技能后，画面上会出现专用的{{color|id=500|龙血量谱}}，以显示当前龙血状态的剩余持续时间。<br>在苍天龙血状态中，{{color|id=500|跳跃}}和{{color|id=500|破碎冲}}的威力会得到提升。
42,龙血量谱
43,学会{{color|id=500|红莲龙血}}特性后，在龙血状态中每次使用{{color|id=500|幻象冲}}都可使{{color|id=500|龙眼}}睁开一档。<br>当龙眼睁开到最大的二档时，使用{{color|id=500|武神枪}}即可触发{{color|id=500|红莲龙血}}特性。<br>红莲龙血状态下可以发动强力的{{color|id=500|死者之岸}}和80级学会的{{color|id=500|坠星冲}}技能。
44,龙眼的睁开程度可以通过量谱上方的图像确认。另外，红莲龙血状态下龙血量谱会变为红色。
45,风遁量谱
46,学会三种结印手势后即可发动{{color|id=500|风遁之术}}。<br>发动之后画面上会出现专用的{{color|id=500|风遁量谱}}，以显示风遁之术的剩余持续时间。
47,忍气量谱
48,学会{{color|id=500|集气法}}特性后，画面上会出现专用的{{color|id=500|忍气量谱}}，以显示{{color|id=500|忍气}}量值的积累状况。忍气可以通过使用战技来进行积累，积累的忍气可以用来发动62级学会的{{color|id=500|通灵之术·大虾蟆}}和68级学会的{{color|id=500|六道轮回}}技能。
49,雪月花量谱
50,武士的{{color|id=500|雪月花量谱}}可以显示当前{{color|id=500|雪之闪}}、{{color|id=500|月之闪}}、{{color|id=500|花之闪}}的触发状况。<br>这三种{{color|id=500|闪}}可以通过发动特定的连击来触发，根据闪的触发状况不同，{{color|id=500|居合术}}将变为{{color|id=500|彼岸花}}、{{color|id=500|天下五剑}}、{{color|id=500|纷乱雪月花}}这三个不同的技能。
51,剑气量谱
52,学会{{color|id=500|剑气专精}}特性后，画面上会出现专用的{{color|id=500|剑气量谱}}，以显示{{color|id=500|剑气}}量值的积累状况。剑气量值可以通过发动战技来进行积累。积累的剑气量值可用来发动52级学会的{{color|id=500|必杀剑·回天}}、54级学会的{{color|id=500|必杀剑·晓天}}、70级学会的{{color|id=500|必杀剑·红莲}}等与必杀剑相关的技能。
53,战歌量谱
54,发动{{color|id=500|贤者的叙事谣}}技能后，画面上会出现专用的{{color|id=500|战歌量谱}}，以显示当前战歌的剩余持续时间。若{{color|id=500|毒咬箭（烈毒咬箭）}}和{{color|id=500|风蚀箭（狂风蚀箭）}}的持续伤害在战歌效果中命中，则有一定概率触发{{color|id=500|诗心}}，使{{color|id=500|失血箭}}与45级学会的{{color|id=500|死亡箭雨}}的复唱时间重置。
55,当{{color|id=500|毒咬箭（烈毒咬箭）}}和{{color|id=500|风蚀箭（狂风蚀箭）}}的持续伤害命中时，诗心效果有一定概率会被触发。在战歌中触发诗心可以大幅提高诗人的攻击力。
56,发动{{color|id=500|军神的赞美歌}}技能后，画面上会出现专用的{{color|id=500|战歌量谱}}，以显示当前战歌的剩余持续时间。若{{color|id=500|毒咬箭（烈毒咬箭）}}和{{color|id=500|风蚀箭（狂风蚀箭）}}的持续伤害在战歌效果中命中，则有一定概率触发{{color|id=500|诗心}}，诗心量值由战歌量谱下方的音符标识表示，最多可以积累到四档。诗心能够提升攻击速度，积累的量值越多，提升的幅度越大。
57,发动{{color|id=500|放浪神的小步舞曲}}技能后，画面上会出现专用的{{color|id=500|战歌量谱}}，以显示当前战歌的剩余持续时间。若{{color|id=500|毒咬箭（烈毒咬箭）}}和{{color|id=500|风蚀箭（狂风蚀箭）}}的持续伤害在战歌效果中命中，则有一定概率触发{{color|id=500|诗心}}，诗心量值由战歌量谱下方的箭头标识表示，最多可以积累到三档。消耗诗心可以发动{{color|id=500|完美音调}}技能。
58,灵魂之声量谱
59,学会{{color|id=500|灵魂之声}}特性后，画面上会出现专用的{{color|id=500|灵魂之声量谱}}，以显示当前{{color|id=500|灵魂之声}}的具体量值。<br>触发诗心可以增加灵魂之声量值，消耗积累的灵魂之声量值可以发动{{color|id=500|绝峰箭}}技能。
60,机工量谱
61,画面上出现的{{color|id=500|枪管热度量谱}}可以显示枪管的{{color|id=500|热度}}量值积累状况，使用特定的战技会导致枪管的热度上升。<br>热度量值积累到一定程度之后使用{{color|id=500|超荷}}技能，会进入过热状态。<br>35级学会的{{color|id=500|热冲击}}和52级学会的{{color|id=500|自动弩}}需要在过热状态下才可以发动。
62,机工量谱
63,学会{{color|id=500|车式浮空炮塔}}技能后，画面上会出现专用的{{color|id=500|电能量谱}}。<br>使用特定技能可以积累{{color|id=500|电能}}的量值。发动{{color|id=500|车式浮空炮塔}}技能后，可以设置{{color|id=500|炮塔}}配合自己攻击敌人。消耗电能发动80级学会的{{color|id=500|后式自走人偶}}技能，可以召唤出{{color|id=500|后式自走人偶}}与自己共同作战。
64,元素量谱
65,使用{{color|id=500|火系}}魔法后会进入{{color|id=500|星极火}}状态，<br>此时火系魔法威力会有所提升，不过消耗魔力也会增加。<br>使用{{color|id=500|冰系}}魔法后会进入{{color|id=500|灵极冰}}状态，<br>此时魔力的自然恢复速度会大幅提升。<br>当处于3档{{color|id=500|星极火}}或{{color|id=500|灵极冰}}状态时，咏唱相反属性魔法所需的咏唱时间缩短。
66,在星极火或灵极冰状态下可以发动{{color|id=500|天语}}技能，发动后在元素量谱的右下侧将显示天语的使用状况。<br>在天语效果中，攻击魔法造成的伤害会有所提升，并且可以使用{{color|id=500|冰澈}}等特定的魔法。星极火或灵极冰的效果消失时，天语也会一同消失。
67,咏唱{{color|id=500|冰澈}}魔法后，元素量谱的左下侧会出现显示{{color|id=500|灵极心}}量值的标识。消耗灵极心能够抵消星极火效果中{{color|id=500|火系}}魔法增加的魔力消耗。在星极火状态下，每发动一次火系魔法都会自动消耗一档灵极心。
68,使用{{color|id=500|天语}}技能后，每经过30秒可以附加一次{{color|id=500|通晓}}状态，随之点亮量谱下方的水晶。元素量谱右下侧的计时指针代表着发动天语后经过的时间，指针每次从头走到尾需要30秒。<br>发动{{color|id=500|秽浊}}或80级学会的{{color|id=500|异言}}技能会消耗一档通晓量值。
69,学会{{color|id=500|通晓效果提高}}特性后，通晓状态的最大档数达到了二档。<br>使用{{color|id=500|天语}}技能后，每经过30秒可以附加一次{{color|id=500|通晓}}状态，随之点亮量谱下方的水晶。元素量谱右下侧的计时指针代表着发动天语后经过的时间，指针每次从头走到尾需要30秒。<br>发动{{color|id=500|秽浊}}或80级学会的{{color|id=500|异言}}技能会消耗一档通晓量值。
70,以太超流
71,学会{{color|id=500|能量吸收}}技能后，画面上会出现专用的{{color|id=500|以太超流量谱}}，以显示当前附加的以太超流量值。
72,同调量谱
73,学会{{color|id=500|龙神附体}}技能后，画面上会出现专用的{{color|id=500|同调量谱}}，以显示龙神附体的剩余持续时间。
74,学会{{color|id=500|龙神附体效果提高}}特性后，同调量谱除了显示龙神附体的剩余持续时间外，还可以显示龙神附体的{{color|id=500|附体深度}}。每次龙神附体效果结束时可叠加一档附体深度。
75,当附体深度叠加到二档后，可以使用{{color|id=500|龙神召唤}}技能。<br>在使用龙神召唤时，同调量谱上会显示{{color|id=500|亚灵神巴哈姆特}}的剩余显现时间。
76,学会{{color|id=500|不死鸟附体}}技能后，{{color|id=500|同调量谱}}会显示不死鸟附体的剩余持续时间。
77,附体深度
78,舞步量谱
79,学会{{color|id=500|标准舞步}}技能后，画面上会出现专用的{{color|id=500|舞步量谱}}。使用标准舞步可以进入{{color|id=500|跳舞模式}}。<br>在跳舞模式中按照正确顺序使用舞步量谱显示的{{color|id=500|舞步技能}}，再使用临时取代标准舞步的{{color|id=500|标准舞步结束}}，可以提高自己用{{color|id=500|闭式舞姿}}选择的小队队员以及自身所造成的伤害。<br>舞步量谱的下方将显示跳舞效果的剩余持续时间。
80,幻扇量谱
81,学会{{color|id=500|幻扇}}特性后，画面上会出现专用的{{color|id=500|幻扇量谱}}，以显示当前附加的{{color|id=500|幻扇}}量值。<br>使用{{color|id=500|逆瀑泻}}和{{color|id=500|升风车}}等技能会附加幻扇状态，最多可以积累到四档。发动{{color|id=500|扇舞·序}}或50级学会的{{color|id=500|扇舞·破}}需要消耗一档幻扇量值。
82,舞步量谱
83,学会并使用{{color|id=500|技巧舞步}}技能后，{{color|id=500|舞步量谱}}上会显示四种舞步技能。<br>与标准舞步一样，按照正确顺序使用舞步技能，再使用临时取代技巧舞步的{{color|id=500|技巧舞步结束}}，可以提高周围的小队队员与自身所造成的伤害。
84,幻扇量谱/伶俐量谱
