key,0,1,2,3,4
#,Type,,,,Text
int32,HWDInfoBoardArticleType,byte,uint16,bit&01,str
0,"",0,0,False,""
1,"",0,0,False,""
2,"",0,0,False,""
3,"",0,0,False,""
4,"",0,0,False,""
5,"トピックス",0,0,True,""
6,"トピックス",0,0,True,""
7,"トピックス",0,0,True,""
8,"トピックス",0,0,True,""
9,"トピックス",0,0,True,""
10,"トピックス",0,0,True,""
11,"トピックス",0,0,True,""
12,"お知らせ",1,1,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：第一期整備計画</Case><Case(2)>第1報　名も無き者たちの広場：第一期整備計画</Case></Switch>"
13,"お知らせ",1,2,False,"<Switch(IntegerParameter(1))><Case(1)>求ム！ 復興共同作業への参加！</Case><Case(2)>第2報　求ム！ 復興共同作業への参加！</Case></Switch>"
14,"お知らせ",4,3,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：第二期整備計画</Case><Case(2)>第3報　名も無き者たちの広場：第二期整備計画</Case></Switch>"
15,"お知らせ",4,4,False,"<Switch(IntegerParameter(1))><Case(1)>ふたたびの復興共同作業！</Case><Case(2)>第4報　ふたたびの復興共同作業！</Case></Switch>"
16,"お知らせ",7,5,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：第三期整備計画</Case><Case(2)>第5報　名も無き者たちの広場：第三期整備計画</Case></Switch>"
17,"お知らせ",7,6,False,"<Switch(IntegerParameter(1))><Case(1)>リズベスの計画に協力してくれ！</Case><Case(2)>第6報　リズベスの計画に協力してくれ！</Case></Switch>"
18,"お知らせ",10,7,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：整備完了</Case><Case(2)>第7報　名も無き者たちの広場：整備完了</Case></Switch>"
19,"案内",1,2,True,"製作物の納品について"
20,"案内",1,3,True,"復興共同作業について"
21,"案内",1,1,True,"「イシュガルド復興」とは"
22,"トピックス",0,0,True,""
23,"トピックス",0,0,True,""
24,"トピックス",0,0,True,""
25,"トピックス",0,0,True,""
26,"お知らせ",11,1,True,"<Switch(IntegerParameter(1))><Case(1)>十字鍬通り整備計画</Case><Case(2)>第1報　十字鍬通り整備計画</Case></Switch>"
27,"お知らせ",11,2,False,"<Switch(IntegerParameter(1))><Case(1)>復興作業の、新たな一歩だ！</Case><Case(2)>第2報　復興作業の、新たな一歩だ！</Case></Switch>"
28,"お知らせ",14,3,False,"<Switch(IntegerParameter(1))><Case(1)>十字鍬通りの復興共同作業、進んでるっす！</Case><Case(2)>第3報　十字鍬通りの復興共同作業、進んでるっす！</Case></Switch>"
29,"お知らせ",16,4,False,"<Switch(IntegerParameter(1))><Case(1)>十字鍬通りの整備をお願いします！</Case><Case(2)>第4報　十字鍬通りの整備をお願いします！</Case></Switch>"
30,"お知らせ",19,5,False,"<Switch(IntegerParameter(1))><Case(1)>噴水建設のための復興共同作業だ！</Case><Case(2)>第5報　噴水建設のための復興共同作業だ！</Case></Switch>"
31,"お知らせ",21,6,True,"<Switch(IntegerParameter(1))><Case(1)>聖ロエル広場整備計画</Case><Case(2)>第6報　聖ロエル広場整備計画</Case></Switch>"
32,"お知らせ",21,7,False,"<Switch(IntegerParameter(1))><Case(1)>新たな通りに着手するぞ！</Case><Case(2)>第7報　新たな通りに着手するぞ！</Case></Switch>"
33,"お知らせ",24,8,False,"<Switch(IntegerParameter(1))><Case(1)>皆さんの麗しい作業姿、拝見していますよ。</Case><Case(2)>第8報　皆さんの麗しい作業姿、拝見していますよ。</Case></Switch>"
34,"お知らせ",26,9,False,"<Switch(IntegerParameter(1))><Case(1)>求ム！　舗装作業員！</Case><Case(2)>第9報　求ム！　舗装作業員！</Case></Switch>"
35,"お知らせ",29,10,False,"<Switch(IntegerParameter(1))><Case(1)>復興共同作業で、職人の技を見せてくれ！</Case><Case(2)>第10報　復興共同作業で、職人の技を見せてくれ！</Case></Switch>"
36,"お知らせ",30,11,True,"<Switch(IntegerParameter(1))><Case(1)>ニューネスト居住区整備計画</Case><Case(2)>第11報　ニューネスト居住区整備計画</Case></Switch>"
37,"お知らせ",30,12,False,"<Switch(IntegerParameter(1))><Case(1)>いよいよ、居住区予定地での復興共同作業だ！</Case><Case(2)>第12報　いよいよ、居住区予定地での復興共同作業だ！</Case></Switch>"
38,"お知らせ",33,13,False,"<Switch(IntegerParameter(1))><Case(1)>復興共同作業、順調に進んでいますっ！</Case><Case(2)>第13報　復興共同作業、順調に進んでいますっ！</Case></Switch>"
39,"お知らせ",35,14,False,"<Switch(IntegerParameter(1))><Case(1)>引き続き、ガレキの撤去作業をお願いします！</Case><Case(2)>第14報　引き続き、ガレキの撤去作業をお願いします！</Case></Switch>"
40,"お知らせ",37,15,False,"<Switch(IntegerParameter(1))><Case(1)>長らくの瓦礫撤去作業、ご苦労だった！</Case><Case(2)>第15報　長らくの瓦礫撤去作業、ご苦労だった！</Case></Switch>"
41,"お知らせ",40,16,False,"<Switch(IntegerParameter(1))><Case(1)>いよいよ住居の建設だ！</Case><Case(2)>第16報　いよいよ住居の建設だ！</Case></Switch>"
42,"お知らせ",43,17,False,"<Switch(IntegerParameter(1))><Case(1)>住居の建設、どんどん進んでます～！</Case><Case(2)>第17報　住居の建設、どんどん進んでます～！</Case></Switch>"
43,"お知らせ",46,18,False,"<Switch(IntegerParameter(1))><Case(1)>今期最後の復興共同作業だ！</Case><Case(2)>第18報　今期最後の復興共同作業だ！</Case></Switch>"
44,"お知らせ",48,19,True,"<Switch(IntegerParameter(1))><Case(1)>ニューネスト居住区：整備完了</Case><Case(2)>第19報　ニューネスト居住区：整備完了</Case></Switch>"
45,"案内",11,4,True,"クポフォーチュンについて"
46,"案内",11,5,True,"ディアデム諸島について"
47,"トピックス",0,0,True,""
48,"トピックス",0,0,True,""
49,"トピックス",0,0,True,""
50,"トピックス",0,0,True,""
51,"お知らせ",49,1,True,"<Switch(IntegerParameter(1))><Case(1)>フェザーフォール商業区整備計画</Case><Case(2)>第1報　フェザーフォール商業区整備計画</Case></Switch>"
52,"お知らせ",50,2,False,"<Switch(IntegerParameter(1))><Case(1)>力自慢の協力を待っているぞ！</Case><Case(2)>第2報　力自慢の協力を待っているぞ！</Case></Switch>"
53,"お知らせ",52,3,False,"<Switch(IntegerParameter(1))><Case(1)>瓦礫の撤去をお願いします！</Case><Case(2)>第3報　瓦礫の撤去をお願いします！</Case></Switch>"
54,"お知らせ",54,4,False,"<Switch(IntegerParameter(1))><Case(1)>日々のご協力に感謝いたします。</Case><Case(2)>第4報　日々のご協力に感謝いたします。</Case></Switch>"
55,"お知らせ",56,5,False,"<Switch(IntegerParameter(1))><Case(1)>人手が必要です～！</Case><Case(2)>第5報　人手が必要です～！</Case></Switch>"
56,"お知らせ",59,6,False,"<Switch(IntegerParameter(1))><Case(1)>大規模施設の建造だ！</Case><Case(2)>第6報　大規模施設の建造だ！</Case></Switch>"
57,"お知らせ",62,7,False,"<Switch(IntegerParameter(1))><Case(1)>建築の復興共同作業をお願いします！</Case><Case(2)>第7報　建築の復興共同作業をお願いします！</Case></Switch>"
58,"お知らせ",65,8,False,"<Switch(IntegerParameter(1))><Case(1)>住居の建設、進んでるっす！</Case><Case(2)>第8報　住居の建設、進んでるっす！</Case></Switch>"
59,"お知らせ",67,9,True,"<Switch(IntegerParameter(1))><Case(1)>アバカス通り整備計画</Case><Case(2)>第9報　アバカス通り整備計画</Case></Switch>"
60,"お知らせ",68,10,False,"<Switch(IntegerParameter(1))><Case(1)>新しい大通りを整備するぞ！</Case><Case(2)>第10報　新しい大通りを整備するぞ！</Case></Switch>"
61,"お知らせ",70,11,False,"<Switch(IntegerParameter(1))><Case(1)>アバカス通りの舗装作業ですー！</Case><Case(2)>第11報　アバカス通りの舗装作業ですー！</Case></Switch>"
62,"お知らせ",73,12,False,"<Switch(IntegerParameter(1))><Case(1)>アバカス通りに美しい彫像を。</Case><Case(2)>第12報　アバカス通りに美しい彫像を。</Case></Switch>"
63,"お知らせ",74,13,True,"<Switch(IntegerParameter(1))><Case(1)>ホアフロスト官舎整備計画</Case><Case(2)>第13報　ホアフロスト官舎整備計画</Case></Switch>"
64,"お知らせ",75,14,False,"<Switch(IntegerParameter(1))><Case(1)>巨大施設の建造だ！</Case><Case(2)>第14報　巨大施設の建造だ！</Case></Switch>"
65,"お知らせ",79,15,True,"<Switch(IntegerParameter(1))><Case(1)>フェザーフォール商業区：整備完了</Case><Case(2)>第15報　フェザーフォール商業区：整備完了</Case></Switch>"
66,"トピックス",0,0,True,""
67,"トピックス",0,0,True,""
68,"トピックス",0,0,True,""
69,"トピックス",0,0,True,""
70,"トピックス",0,0,True,""
71,"お知らせ",80,1,True,"<Switch(IntegerParameter(1))><Case(1)>リズンソング文化区西整備計画</Case><Case(2)>第1報　リズンソング文化区西整備計画</Case></Switch>"
72,"お知らせ",81,2,False,"<Switch(IntegerParameter(1))><Case(1)>リズンソング文化区西の瓦礫撤去だ！</Case><Case(2)>第2報　リズンソング文化区西の瓦礫撤去だ！</Case></Switch>"
73,"お知らせ",83,3,False,"<Switch(IntegerParameter(1))><Case(1)>清掃と舗装をお願いいたしますね</Case><Case(2)>第3報　清掃と舗装をお願いいたしますね</Case></Switch>"
74,"お知らせ",86,4,False,"<Switch(IntegerParameter(1))><Case(1)>文化区西の住居建設を行うぞ！</Case><Case(2)>第4報　文化区西の住居建設を行うぞ！</Case></Switch>"
75,"お知らせ",89,5,False,"<Switch(IntegerParameter(1))><Case(1)>復興共同作業のお時間です！</Case><Case(2)>第5報　復興共同作業のお時間です！</Case></Switch>"
76,"お知らせ",92,6,False,"<Switch(IntegerParameter(1))><Case(1)>文化区西の整備、あと一押しです！</Case><Case(2)>第6報　文化区西の整備、あと一押しです！</Case></Switch>"
77,"お知らせ",94,7,True,"<Switch(IntegerParameter(1))><Case(1)>詩伯門整備計画</Case><Case(2)>第7報　詩伯門整備計画</Case></Switch>"
78,"お知らせ",95,8,False,"<Switch(IntegerParameter(1))><Case(1)>詩伯門の修繕中っすよ！</Case><Case(2)>第8報　詩伯門の修繕中っすよ！</Case></Switch>"
79,"お知らせ",97,9,False,"<Switch(IntegerParameter(1))><Case(1)>リズンソング文化区東整備計画</Case><Case(2)>第9報　リズンソング文化区東整備計画</Case></Switch>"
80,"お知らせ",98,10,False,"<Switch(IntegerParameter(1))><Case(1)>最後の瓦礫撤去作業だ！</Case><Case(2)>第10報　最後の瓦礫撤去作業だ！</Case></Switch>"
81,"お知らせ",100,11,False,"<Switch(IntegerParameter(1))><Case(1)>清掃と舗装の作業も最後ですよ～！</Case><Case(2)>第11報　清掃と舗装の作業も最後ですよ～！</Case></Switch>"
82,"お知らせ",103,12,True,"<Switch(IntegerParameter(1))><Case(1)>新たな住居の建設が始まっています</Case><Case(2)>第12報　新たな住居の建設が始まっています</Case></Switch>"
83,"お知らせ",106,13,False,"<Switch(IntegerParameter(1))><Case(1)>住居の建設も大詰めですっ！</Case><Case(2)>第13報　住居の建設も大詰めですっ！</Case></Switch>"
