Index,0:？,1:？,2:？
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,“天穹街”重建工程终于要开始了。,弗朗塞尔
6,0,“天穹街”重建工程终于要开始了。,弗朗塞尔
7,0,主要窗口整备完成！,波特金
8,0,主要窗口整备完成！,波特金
9,0,请协助改善施工作业环境！,莉兹贝丝
10,0,请协助改善施工作业环境！,莉兹贝丝
11,0,“无名众人广场”的整备作业完成了！,弗朗塞尔
12,70301,感谢大家前来协助。<br>我是担任天穹街重建工程总监的弗朗塞尔·德·艾因哈特。<br>在大家的帮助下，天穹街的重建工程正式开始了。<br><br>目前我们正在推进天穹街入口处“无名众人广场”的整备作业。<br>此处完工后预定成为供各位工匠利用的正式窗口，<br>为今后工程提供便利的重要设施将汇聚于此。<br>还请大家多多帮忙，在此提前感谢大家了。<br><br>弗朗塞尔,
13,70302,要是凑齐了足够的资材，<br>就能开始着手进行第一次的“联合重建工程”了。<br>关于工程作业流程如下，请各位详细确认。<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
14,70303,我是负责物资交纳的波特金！<br>感谢前些日子各位协助整备物资交纳窗口！<br>为了能让各位顺畅地交纳物资，我会尽全力为各位服务！<br><br>目前正准备在“无名众人广场”的西侧建设新的设施！<br>期待各位能够积极交纳物资！<br><br>波特金,
15,70304,要是凑齐了足够的资材，<br>就能开始着手进行第二次的“联合重建工程”了。<br>工程作业流程与上回相同，不过为了以防万一再次提醒各位。<br><br>1.从物资存放处回收资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
16,70305,各位工匠，<br>感谢你们平日以来的贡献！<br><br>“无名众人广场”可以说是重建工程的中心！<br>那就应该变得更舒适……不对，是必须改善工作环境才对！<br>比如说点燃篝火……再换块新的{{EObj|2010775|0}}什么的……<br>为此拜托请各位凑齐所需资材！<br><br>莉兹贝丝,
17,70306,第三次联合重建工程分为两个部分。<br><br>【篝火的整备工作】<br>1.从物资存放处回收资材<br>2.在一次工作区加工燃料<br>3.将燃料放入篝火<br><br>【追加设备的整备工作】<br>1.从物资存放处回收资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
18,70307,“无名众人广场”整备计划的全工程终于完成了。<br>在下次重建工程计划立案之前，<br>请各位继续协助进行物资的筹备工作。<br><br>重建工程还只是刚刚起步，<br>为此需要大量的时间与劳力。<br>不过我想将这条街建成充满笑容温暖人心的街道。<br><br>为此今后仍然需要各位的协助。<br>请各位继续协助重建工程吧。<br><br>弗朗塞尔,
19,0,"交纳天穹街所需要的制品<br>必须是到达一定水准的“收藏品”。<br><br>此外关于委托品的制作方法，请在听取完物品交纳管理员波特金的说明后，确认“制作笔记”中“重建伊修加德”项目。<br><br>物品交纳管理员波特金不仅负责交纳物品的管理，他同时也负责委托品的确认与支付{{Item|28063|0}}的工作,有空的时候请随意拜访他。<br><br>根据交纳制品的品质与种类会支付相应数量的{{Item|28063|0}}。<br><br>收下的制品将会被完全用于重建工程，希望各位工匠可以大量交纳制品。",
20,0,“联合重建工程”是需要大量人员参加的大规模工程计划。<br>交纳的物资达到指定数量后即可开工。<br><br>为了能召集更多的工匠参加施工作业，<br>事先将会在{{EObj|2010775|0}}上贴出告示，<br>有意者可随时来此确认进度信息。<br><br>此外虽然作业内容多种多样，不过因为需要进行铲除瓦砾或是建造建筑等作业，因此参加施工的人员仅限于制作以及采集职业者。每次工程都会张贴专门的告示，可在上面确认详细信息。<br><br>对于协助重建工程的工匠，我们将会支付{{Item|28063|0}}。<br>还望各位踊跃参加。,
