Index,0:？,1:？,2:？,3:？,4:？
0,0,0,0,False,
1,0,0,0,False,
2,0,0,0,False,
3,0,0,0,False,
4,0,0,0,False,
5,1,0,0,True,
6,1,0,0,True,
7,1,0,0,True,
8,1,0,0,True,
9,1,0,0,True,
10,1,0,0,True,
11,1,0,0,True,
12,2,1,1,True,"<switch ( <var:1> ) { 无名众人广场：第一次整备计划 , 第1阶段　无名众人广场：第一次整备计划 }>"
13,2,1,2,False,"<switch ( <var:1> ) { 请来参加联合重建工程！ , 第2阶段　请来参加联合重建工程！ }>"
14,2,4,3,True,"<switch ( <var:1> ) { 无名众人广场：第二次整备计划 , 第3阶段　无名众人广场：第二次整备计划 }>"
15,2,4,4,False,"<switch ( <var:1> ) { 再次参加联合重建工程！ , 第4阶段　再次参加联合重建工程！ }>"
16,2,7,5,True,"<switch ( <var:1> ) { 无名众人广场：第三次整备计划 , 第5阶段　无名众人广场：第三次整备计划 }>"
17,2,7,6,False,"<switch ( <var:1> ) { 请协助莉兹贝丝的计划！ , 第6阶段　请协助莉兹贝丝的计划！ }>"
18,2,10,7,True,"<switch ( <var:1> ) { 无名众人广场：整备完成 , 第7阶段　无名众人广场：整备完成 }>"
19,3,1,2,True,关于交纳制品
20,3,1,3,True,关于联合重建工程
21,3,1,1,True,什么是“重建伊修加德”
22,1,0,0,True,
23,1,0,0,True,
24,1,0,0,True,
25,1,0,0,True,
26,2,11,1,True,"<switch ( <var:1> ) { 十字镐大街整备计划 , 第1阶段　十字镐大街整备计划 }>"
27,2,11,2,False,"<switch ( <var:1> ) { 重建工程迈出了崭新的一步！ , 第2阶段　重建工程迈出了崭新的一步！ }>"
28,2,14,3,False,"<switch ( <var:1> ) { 十字镐大街的联合重建工程正在进行中！ , 第3阶段　十字镐大街的联合重建工程正在进行中！ }>"
29,2,16,4,False,"<switch ( <var:1> ) { 拜托各位工匠对十字镐大街进行整备！ , 第4阶段　拜托各位工匠对十字镐大街进行整备！ }>"
30,2,19,5,False,"<switch ( <var:1> ) { 参加联合重建工程建造喷泉啦！ , 第5阶段　参加联合重建工程建造喷泉啦！ }>"
31,2,21,6,True,"<switch ( <var:1> ) { 圣罗埃勒广场整备计划 , 第6阶段　圣罗埃勒广场整备计划 }>"
32,2,21,7,False,"<switch ( <var:1> ) { 开始着手建设新的道路！ , 第7阶段　开始着手建设新的道路！ }>"
33,2,24,8,False,"<switch ( <var:1> ) { 我一直在观赏着各位工匠作业时华丽的样子。 , 第8阶段　我一直在观赏着各位工匠作业时华丽的样子。 }>"
34,2,26,9,False,"<switch ( <var:1> ) { 招人！铺装作业员！ , 第9阶段　招人！铺装作业员！ }>"
35,2,29,10,False,"<switch ( <var:1> ) { 在联合重建工程中展现工匠的手艺吧！ , 第10阶段　在联合重建工程中展现工匠的手艺吧！ }>"
36,2,30,11,True,"<switch ( <var:1> ) { 新巢居住区整备计划 , 第11阶段　新巢居住区整备计划 }>"
37,2,30,12,False,"<switch ( <var:1> ) { 终于要在居住区的预定施工地点开始联合重建工程了！ , 第12阶段　终于要在居住区的预定施工地点开始联合重建工程了！ }>"
38,2,33,13,False,"<switch ( <var:1> ) { 联合重建工程顺利进行中！ , 第13阶段　联合重建工程顺利进行中！ }>"
39,2,35,14,False,"<switch ( <var:1> ) { 请继续协助清除瓦砾！ , 第14阶段　请继续协助清除瓦砾！ }>"
40,2,37,15,False,"<switch ( <var:1> ) { 长时间的瓦砾清除作业，辛苦各位了！ , 第15阶段　长时间的瓦砾清除作业，辛苦各位了！ }>"
41,2,40,16,False,"<switch ( <var:1> ) { 终于要开始建设住房了！ , 第16阶段　终于要开始建设住房了！ }>"
42,2,43,17,False,"<switch ( <var:1> ) { 住房正在建设中！ , 第17阶段　住房正在建设中！ }>"
43,2,46,18,False,"<switch ( <var:1> ) { 此次为本期最后的联合重建工程！ , 第18阶段　此次为本期最后的联合重建工程！ }>"
44,2,48,19,True,"<switch ( <var:1> ) { 新巢居住区：整备完成 , 第19阶段　新巢居住区：整备完成 }>"
45,3,11,4,True,关于库啵好运道
46,3,11,5,True,关于云冠群岛
47,0,0,0,False,
48,0,0,0,False,
49,0,0,0,False,
50,0,0,0,False,
51,0,0,0,False,
52,0,0,0,False,
53,0,0,0,False,
54,0,0,0,False,
55,0,0,0,False,
56,0,0,0,False,
57,0,0,0,False,
58,0,0,0,False,
59,0,0,0,False,
60,0,0,0,False,
61,0,0,0,False,
62,0,0,0,False,
63,0,0,0,False,
64,0,0,0,False,
65,0,0,0,False,
