key,0,1,2
#,Tag,Icon,Order
int32,str,Image,byte
0,"なし",,0
1,"ショップ","ui/icon/066000/066401.tex",1
2,"マネキンショップ","ui/icon/066000/066402.tex",2
3,"こだわりの内装","ui/icon/066000/066403.tex",3
4,"交流帳","ui/icon/066000/066404.tex",4
5,"酒場","ui/icon/066000/066405.tex",5
6,"レストラン","ui/icon/066000/066406.tex",6
7,"ロールプレイ","ui/icon/066000/066407.tex",21
8,"喫茶店","ui/icon/066000/066411.tex",24
9,"水族館","ui/icon/066000/066408.tex",22
10,"聖堂","ui/icon/066000/066409.tex",23
11,"イベント","ui/icon/066000/066410.tex",50
12,"花屋","ui/icon/066000/066412.tex",25
13,"",,0
14,"図書館","ui/icon/066000/066414.tex",26
15,"撮影スタジオ","ui/icon/066000/066413.tex",51
16,"ホラーハウス","ui/icon/066000/066415.tex",52
17,"アトリエ","ui/icon/066000/066416.tex",27
18,"銭湯","ui/icon/066000/066417.tex",28
19,"植物園","ui/icon/066000/066418.tex",29
20,"東方様式","ui/icon/066000/066419.tex",80
21,"訪問歓迎","ui/icon/066000/066420.tex",19
22,"パン屋","ui/icon/066000/066421.tex",30
23,"内装準備中","ui/icon/066000/066422.tex",20
24,"音楽堂","ui/icon/066000/066423.tex",31
