key,0
#,
int32,str
0,""
1,"このアイテムは<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>撤去してもアイテムに戻すことはできません。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>撤去してよろしいでしょうか？"
2,"<Sheet(ENpcResident,IntegerParameter(1),0)/>を解雇します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>設定されていた外見情報はリセットされ、雇用証書として所持品に戻ります。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
解雇してよろしいでしょうか？"
3,"<Highlight>StringParameter(1)</Highlight>のリテイナーを撤去します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>設定されていた外見情報はリセットされ、営業証書として所持品に戻ります。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
撤去してもよろしいでしょうか？"
4,"あと<Value>IntegerParameter(1)</Value>回、食事を摂れます。
このアイテムは<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>撤去してもアイテムに戻すことはできません。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>撤去してよろしいでしょうか？"
5,"この調度品を撤去します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※挿しているアイテムがある場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
撤去してもよろしいですか？"
6,"水槽を撤去すると、
水槽内のアイテムは消滅します。
本当によろしいですか？"
7,"この調度品を撤去します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※絵画が設定されている場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
撤去してもよろしいですか？"
8,"この調度品を撤去します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※壁紙が設定されている場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
撤去してもよろしいですか？"
9,"倉庫から所持品に雇用証書を戻します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>設定されていた外見情報はリセットされます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
よろしいでしょうか？"
10,"倉庫から<Highlight>StringParameter(1)</Highlight>のリテイナーを取り出し、営業証書を所持品に戻します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>設定されていた外見情報はリセットされます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
よろしいでしょうか？"
11,"あと<Value>IntegerParameter(1)</Value>回、食事を摂れます。
このアイテムは<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>倉庫から取り出してもアイテムに戻すことはできません。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>撤去してもよろしいでしょうか？"
12,"倉庫からこの調度品を取り出し、所持品に戻します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※挿しているアイテムがある場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
よろしいですか？"
13,"倉庫から水槽を取り出すと、
水槽内のアイテムは消滅します。
本当によろしいですか？"
14,"倉庫からこの調度品を取り出し、所持品に戻します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※絵画が設定されている場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
よろしいですか？"
15,"倉庫からこの調度品を取り出し、所持品に戻します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※壁紙が設定されている場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
よろしいですか？"
16,"<Sheet(ENpcResident,IntegerParameter(1),0)/>を解雇します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>設定されていた外見情報はリセットされ、雇用証書として所持品に戻ります。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
解雇してよろしいでしょうか？"
17,"この調度品を撤去します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※魚拓が設定されている場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
撤去してもよろしいですか？"
18,"倉庫からこの調度品を取り出し、所持品に戻します。
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※魚拓が設定されている場合、そのアイテムは消滅します。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
よろしいですか？"
