key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,Announce,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Category,Sort
int32,str,bit&01,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToCategory,byte
0,"",False,"","","","","","","","","","","なし",0
1,"移動やカメラの操作をしてみよう",False,"ui/icon/150000/ja/150011.tex","","","","","ui/icon/150000/ja/150012.tex","","","","","冒険者の基本",1
2,"クエストを始めてみよう",True,"ui/icon/150000/ja/150021.tex","","","","","ui/icon/150000/ja/150022.tex","","","","","クエスト",1
3,"目的リストを見てみよう",False,"ui/icon/150000/ja/150031.tex","ui/icon/150000/ja/150032.tex","","","","ui/icon/150000/ja/150031.tex","ui/icon/150000/ja/150032.tex","","","","クエスト",3
4,"マップからクエストの目的地を探してみよう",True,"ui/icon/150000/ja/150041.tex","ui/icon/150000/ja/150042.tex","","","","ui/icon/150000/ja/150041.tex","ui/icon/150000/ja/150042.tex","","","","クエスト",4
5,"イベントアイテムを使ってみよう",True,"ui/icon/150000/ja/150051.tex","","","","","ui/icon/150000/ja/150051.tex","","","","","クエスト",11
6,"オブジェクトへアクションしてみよう",True,"ui/icon/150000/ja/150061.tex","","","","","ui/icon/150000/ja/150061.tex","","","","","クエスト",12
7,"敵と戦ってみよう",True,"ui/icon/150000/ja/150931.tex","ui/icon/150000/ja/150082.tex","ui/icon/150000/ja/150083.tex","ui/icon/150000/ja/150084.tex","","ui/icon/150000/ja/150931.tex","ui/icon/150000/ja/150932.tex","ui/icon/150000/ja/150933.tex","ui/icon/150000/ja/150934.tex","ui/icon/150000/ja/150084.tex","バトル",1
8,"敵から得られる経験値や報酬について",True,"ui/icon/151000/ja/151391.tex","","","","","","","","","","バトル",2
9,"リクエストに応えよう",True,"ui/icon/150000/ja/150921.tex","","","","","ui/icon/150000/ja/150922.tex","","","","","クエスト",13
10,"クラスチェンジの方法",True,"ui/icon/150000/ja/150111.tex","","","","","","","","","","冒険者の基本",8
11,"クエストをコンプリートしよう",False,"ui/icon/150000/ja/150811.tex","","","","","ui/icon/150000/ja/150812.tex","","","","","クエスト",5
12,"クエストを受注してみよう",False,"ui/icon/150000/ja/150121.tex","","","","","ui/icon/150000/ja/150121.tex","","","","","クエスト",2
13,"デジョンについて",True,"ui/icon/150000/ja/150131.tex","ui/icon/150000/ja/150132.tex","","","","ui/icon/150000/ja/150131.tex","ui/icon/150000/ja/150133.tex","","","","移動手段",1
14,"メインコマンドとゲーム終了",True,"ui/icon/150000/ja/150141.tex","ui/icon/150000/ja/150142.tex","ui/icon/150000/ja/150143.tex","","","","","","","","冒険者の基本",2
15,"エーテライトとテレポ",True,"ui/icon/150000/ja/150151.tex","ui/icon/150000/ja/150152.tex","ui/icon/150000/ja/150153.tex","","","","","","","","移動手段",2
16,"戦闘不能になった時は",True,"ui/icon/150000/ja/150161.tex","ui/icon/150000/ja/150162.tex","","","","","","","","","バトル",2
17,"リンクシェルについて",True,"ui/icon/151000/ja/151171.tex","ui/icon/151000/ja/151172.tex","","","","","","","","","冒険者の基本",11
18,"装備について",True,"ui/icon/150000/ja/150181.tex","ui/icon/150000/ja/150182.tex","","","","ui/icon/150000/ja/150181.tex","ui/icon/150000/ja/150182.tex","","","","装備",1
19,"都市転送網の使い方",True,"ui/icon/150000/ja/150191.tex","","","","","","","","","","移動手段",3
20,"ショップについて",True,"ui/icon/150000/ja/150201.tex","ui/icon/150000/ja/150202.tex","","","","ui/icon/150000/ja/150201.tex","ui/icon/150000/ja/150202.tex","","","","アイテム",5
21,"愛蔵品キャビネットについて",True,"ui/icon/151000/ja/151521.tex","ui/icon/151000/ja/151522.tex","","","","","","","","","装備",11
22,"モグレターについて",True,"ui/icon/150000/ja/150221.tex","ui/icon/150000/ja/150222.tex","","","","ui/icon/150000/ja/150221.tex","ui/icon/150000/ja/150222.tex","","","","冒険者の基本",7
23,"良木を探してみよう",True,"ui/icon/150000/ja/150231.tex","ui/icon/150000/ja/150232.tex","ui/icon/150000/ja/150233.tex","","","ui/icon/150000/ja/150231.tex","ui/icon/150000/ja/150232.tex","ui/icon/150000/ja/150233.tex","","","採集",3
24,"採集をしてアイテムを手に入れよう",True,"ui/icon/150000/ja/150241.tex","ui/icon/150000/ja/150242.tex","ui/icon/150000/ja/150243.tex","","","","","","","","採集",4
25,"どんなアイテムが採集できるか調べてみよう",True,"ui/icon/150000/ja/150251.tex","ui/icon/150000/ja/150252.tex","ui/icon/150000/ja/150253.tex","","","","","","","","採集",5
26,"採集中にモンスターから襲われない方法",True,"ui/icon/150000/ja/150261.tex","","","","","","","","","","採集",10
