key,0,1,2,3,4,5,6
#,Type,IconType,Image,TextType,Text[0],Text[1],Text[2]
int32,byte,byte,Image,byte,str,str,str
0,0,0,,0,"","",""
1,0,0,"ui/icon/150000/ja/150011.tex",0,"","",""
2,0,0,"ui/icon/150000/ja/150012.tex",0,"","",""
3,0,0,,0,"","",""
4,0,0,,0,"","",""
5,1,1,"ui/icon/150000/ja/150021.tex",1,"頭上に<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「クエストアイコン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>がついているキャラクターを<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「右クリック」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>すると、
クエストが始まります。

リスフローを右クリックし、
クエストを始めてみましょう。","頭上に<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「クエストアイコン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>がついているキャラクターを<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「右クリック」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>すると、
クエストが始まります。

ベルテナンを右クリックし、
クエストを始めてみましょう。","頭上に<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「クエストアイコン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>がついているキャラクターを<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「右クリック」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>すると、
クエストが始まります。

ワイモンドを右クリックし、
クエストを始めてみましょう。"
6,1,1,"ui/icon/150000/ja/150022.tex",1,"頭上に<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「クエストアイコン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>がついているキャラクターを選択すると、
クエストが開始されます。

リスフローを選択して、
クエストを始めましょう。","頭上に<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「クエストアイコン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>がついているキャラクターを選択すると、
クエストが開始されます。

ベルテナンを選択して、
クエストを始めましょう。","頭上に<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「クエストアイコン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>がついているキャラクターを選択すると、
クエストが開始されます。

ワイモンドを選択して、
クエストを始めましょう。"
7,0,0,,0,"","",""
8,0,0,,0,"","",""
9,0,0,,0,"","",""
10,1,1,"ui/icon/150000/ja/150121.tex",0,"クエストの受注画面が表示されました。

受注画面には、クエストの概要や報酬が
表示されています。

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「受注」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>ボタンをクリックして、
クエストを受注してみましょう。","",""
11,1,1,"ui/icon/150000/ja/150121.tex",0,"クエストの受注画面が表示されました。

受注画面には、クエストの概要や報酬が
表示されています。

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「受注」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>ボタンを押して、
クエストを受注してみましょう。","",""
12,0,0,,0,"","",""
13,0,0,,0,"","",""
14,0,0,,0,"","",""
15,1,1,"ui/icon/150000/ja/150811.tex",1,"クエストの目的をすべて達成すると、
経験値やギルなどの<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「報酬」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を
受け取ることができます。

さっそくバデロンに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「報酬」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を
受け取ることができます。

さっそくミューヌに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「報酬」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を
受け取ることができます。

さっそくモモディに話しかけて、
クエストをコンプリートしてみましょう。"
16,1,1,"ui/icon/150000/ja/150812.tex",1,"クエストの目的をすべて達成すると、
経験値やギルなどの<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「報酬」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を
受け取ることができます。

さっそくバデロンに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「報酬」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を
受け取ることができます。

さっそくミューヌに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>「報酬」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を
受け取ることができます。

さっそくモモディに話しかけて、
クエストをコンプリートしてみましょう。"
17,0,0,,0,"","",""
18,0,0,,0,"","",""
19,0,0,,0,"","",""
