key,0,1,2
#,Fish,IKDContentBonus,
int32,FishParameter,IKDContentBonus,byte
0,"","",0
1,"ガラディオンゴビー","",0
2,"ガラディオンアンチョビ","",0
3,"ラノシアンジェリー","クラゲマニア",0
4,"グールバラクーダ","",0
5,"レオパードイール","",0
6,"サニーバタフライ","",0
7,"ロータノワフー","",0
8,"ロータノサーディン","",0
9,"ディープシー・プレイス","",0
10,"ドリフトアイスフィッシュ","",0
11,"メガスキッド","",0
12,"オシュオンズストーン","",0
13,"ジャスパーヘッド","",0
14,"ターニッシュシャーク","シャークハンター",0
15,"ローズブリーム","",0
16,"マリンボム","バルーンキャッチャー",0
17,"トライポッド","バルーンキャッチャー",0
18,"モモラ・モラ","",0
19,"クリムゾンモンクフィッシュ","",0
20,"ランプフィッシュ","バルーンキャッチャー",0
21,"オーガイール","",0
22,"スロウンダガー","",0
23,"シャギーシードラゴン","シードラゴンキラー",0
24,"スパイダークラブ","蟹工船",0
25,"シアンオクトパス","オクトパストラベラー",0
26,"ヘヴンリーフィッシュ","",0
27,"メルトールバタフライ","",0
28,"グラディウス","",0
29,"ダークノーチラス","",0
30,"クロムハンマーヘッド","シャークハンター",0
31,"メルトールロブスター","",0
32,"エルダー・ディニクティス","",0
33,"ドランカードフィッシュ","",0
34,"リトルリヴァイアサン","",0
35,"シーサバトン","",0
36,"海の流星","",0
37,"マーマンヘアー","オクトパストラベラー",0
38,"キー・オブ・ヘヴン","",0
39,"ゴーストシャーク","シャークハンター",0
40,"クイックシルバーブレード","シャークハンター",0
41,"リムレーンプリント","",0
42,"ネイルドオイスター","",0
43,"フィッシュモンガー","",0
44,"ミスリルソブリン","",0
45,"ニンブルダンサー","",0
46,"シーネトル","クラゲマニア",0
47,"グランドマーリン","",0
48,"レックドクロス","",0
49,"シャーラタンサバイバー","",0
50,"ハイエーテルラウス","",0
51,"アーゼマの垂衣","",0
52,"エーテリックシードラゴン","シードラゴンキラー",0
53,"コーラルシードラゴン","シードラゴンキラー",0
54,"ロガサウルス","",0
55,"アロナクス","",0
56,"フラッフィー","シャークハンター",0
57,"サイレンサー","バルーンキャッチャー",0
58,"ディープシーイール","",0
59,"エクスキューショナー","シャークハンター",0
60,"ワイルドアーチン","",0
61,"バラマンディ","",0
62,"プロディガルサン","",0
63,"スネイルフィッシュ","",0
64,"ハンマーロブスター","",0
65,"コッコステウス","",0
66,"ザ・チョッパー","蟹工船",0
67,"タイガーキャットコッド","",0
68,"モッピィビアード","オクトパストラベラー",0
69,"フローティングソーサー","クラゲマニア",0
70,"ググリューサウルス","",0
71,"ファンネルシャーク","シャークハンター",0
72,"フォーレンワン","",0
73,"スペクトラルメガロドン","",0
74,"スペクトラルディスカス","",0
75,"スペクトラルシーホース","",0
76,"スペクトラルバス","",0
77,"ソティス","",0
78,"コーラルマンタ","",0
79,"ロックスケイル","",0
80,"エラスモサウルス","",0
81,"トータスシェルクラブ","蟹工船",0
82,"エドヴィアの指輪","",0
83,"メタルボックス","バルーンキャッチャー",0
84,"グゥーブーレイ","",22
85,"シーワモーラ","",0
86,"キングコブラフィッシュ","",0
87,"ママヒマヒ","",0
88,"ラバンジンレモラ","",0
89,"スペクトラルバタフライ","",0
90,"シェルダレージオード","",0
91,"サリャクリバークラブ","蟹工船",0
92,"ラールガーの星屑","",0
93,"トゥルースキャッド","",0
94,"ブラッディハンプヘッド","",0
95,"ブラッディポリッシュ","蟹工船",0
96,"ブルーニードル","",0
97,"ブラッディトゥーナ","",0
98,"サンクンマスク","",0
99,"スペクトラルイール","",0
100,"ベアフェイス","",0
101,"パフィークロウ","バルーンキャッチャー",0
102,"ロズリトケルプ","",0
103,"ホオズキクラゲ","クラゲマニア",0
104,"ハニカムフィッシュ","バルーンキャッチャー",0
105,"海神の寝台","",0
106,"ランスケネット","",0
107,"サベネアンシャーク","シャークハンター",0
108,"ネフライトイール","",0
109,"スペクトラルザウルス","",0
110,"ギンコフィッシュ","",0
111,"タイタンシェルクラブ","蟹工船",0
112,"ミスリルボックス","バルーンキャッチャー",0
113,"霧髭の盃","",0
114,"アノマロカリス・サロン","",0
115,"フレイミングイール","",0
116,"ジェットフライマンタ","",22
117,"デビルスティンガー","",0
118,"カリクティス","",0
119,"フローティング・モラ","",0
120,"ハーヴグーヴァ","",0
121,"オラクルクラブ","蟹工船",0
122,"ドラヴァニアンブリーム","",0
123,"スコルドミンニー","",22
124,"セレーテッドクラム","",0
125,"ビティフィックビジョン","",0
126,"エクスターミネーター","蟹工船",0
127,"ゴーリィトゥーナ","",0
128,"ティキネポミス","",0
129,"クォーツハンマーヘッド","シャークハンター",0
130,"オーシャントード","",0
131,"ガルームポット","バルーンキャッチャー",0
132,"シーパンサー","",0
133,"ロズリトムール","",0
134,"ジュヴナイル・リヴィ","",0
135,"パールボム","バルーンキャッチャー",0
136,"バシバシ","",0
137,"パノプテス","",22
138,"ゴールデンソール","",0
139,"ナイフジョー","",0
140,"プラコドゥス","",0
141,"ピンクシュリンプ","",42
142,"セイレーンムセル","貝殻収集家",0
143,"アロウヘッド","スルメドラグーン",0
144,"クガネニシン","",0
145,"ウズマキサザエ","貝殻収集家",0
146,"斑海老","",42
147,"ベニコンブ","",0
148,"アオリイカ","スルメドラグーン",0
149,"マツカワガレイ","",0
150,"ヘラブナ","",0
151,"ガレアンギル","",0
152,"ヤンサスッポン","",0
153,"ディープサーディン","",0
154,"シンギングマレ","",0
155,"セルキーパファー","",0
156,"ヤリイカ","スルメドラグーン",0
157,"火袋海月","",0
158,"マダラタツ","",0
159,"ハゴロモウツボ","",0
160,"シスイハゼ","",0
161,"サンバソウ","",0
162,"ヒメマス","",0
163,"墨鱗魚","",0
164,"無二海老","",42
165,"詩人のオカリナ","",0
