key,0,1,2,3,4,5,6,7,8,9,10,11
#,Spot[0],Time[0],Spot[1],Time[1],Spot[2],Time[2],Image,,,TerritoryType,,Name
int32,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,Image,uint32,uint32,TerritoryType,uint32,str
0,"未知の釣り場","IKDTimeDefine#0","未知の釣り場","IKDTimeDefine#0","未知の釣り場","IKDTimeDefine#0",,0,0,,0,""
1,"メルトール海峡南","IKDTimeDefine#1","ガラディオン湾沖合","IKDTimeDefine#2","メルトール海峡北","IKDTimeDefine#3","ui/icon/063000/063172.tex",0,0,"e0170",0,"メルトール海峡北行き"
2,"メルトール海峡南","IKDTimeDefine#2","ガラディオン湾沖合","IKDTimeDefine#3","メルトール海峡北","IKDTimeDefine#1","ui/icon/063000/063172.tex",0,0,"g3fc",0,"メルトール海峡北行き"
3,"メルトール海峡南","IKDTimeDefine#3","ガラディオン湾沖合","IKDTimeDefine#1","メルトール海峡北","IKDTimeDefine#2","ui/icon/063000/063172.tex",0,0,"g3d4",0,"メルトール海峡北行き"
4,"ガラディオン湾沖合","IKDTimeDefine#1","メルトール海峡南","IKDTimeDefine#2","ロータノ海沖合","IKDTimeDefine#3","ui/icon/063000/063171.tex",0,0,"z3fa",0,"ロータノ海行き"
5,"ガラディオン湾沖合","IKDTimeDefine#2","メルトール海峡南","IKDTimeDefine#3","ロータノ海沖合","IKDTimeDefine#1","ui/icon/063000/063171.tex",0,0,"f1bz",0,"ロータノ海行き"
6,"ガラディオン湾沖合","IKDTimeDefine#3","メルトール海峡南","IKDTimeDefine#1","ロータノ海沖合","IKDTimeDefine#2","ui/icon/063000/063171.tex",0,0,"z3r1",0,"ロータノ海行き"
7,"シェルダレー諸島沖合","IKDTimeDefine#1","メルトール海峡北","IKDTimeDefine#2","緋汐海沖合","IKDTimeDefine#3","ui/icon/063000/063173.tex",0,0,"e3c1",0,"緋汐海行き"
8,"シェルダレー諸島沖合","IKDTimeDefine#2","メルトール海峡北","IKDTimeDefine#3","緋汐海沖合","IKDTimeDefine#1","ui/icon/063000/063173.tex",0,0,"e3c2",0,"緋汐海行き"
9,"シェルダレー諸島沖合","IKDTimeDefine#3","メルトール海峡北","IKDTimeDefine#1","緋汐海沖合","IKDTimeDefine#2","ui/icon/063000/063173.tex",0,0,"e3c3",0,"緋汐海行き"
10,"シェルダレー諸島沖合","IKDTimeDefine#1","ロータノ海沖合","IKDTimeDefine#2","ロズリト湾沖合","IKDTimeDefine#3","ui/icon/063000/063174.tex",0,0,"e3c4",0,"ロズリト湾行き"
11,"シェルダレー諸島沖合","IKDTimeDefine#2","ロータノ海沖合","IKDTimeDefine#3","ロズリト湾沖合","IKDTimeDefine#1","ui/icon/063000/063174.tex",0,0,"e3c5",0,"ロズリト湾行き"
12,"シェルダレー諸島沖合","IKDTimeDefine#3","ロータノ海沖合","IKDTimeDefine#1","ロズリト湾沖合","IKDTimeDefine#2","ui/icon/063000/063174.tex",0,0,"e3c6",0,"ロズリト湾行き"
13,"セイレーン海沖合","IKDTimeDefine#1","クガネ沖合","IKDTimeDefine#2","無二江下流","IKDTimeDefine#3","ui/icon/063000/063175.tex",63176,11,"m5d1",68089,"無二江行き"
14,"セイレーン海沖合","IKDTimeDefine#2","クガネ沖合","IKDTimeDefine#3","無二江下流","IKDTimeDefine#1","ui/icon/063000/063175.tex",63176,11,"",68089,"無二江行き"
15,"セイレーン海沖合","IKDTimeDefine#3","クガネ沖合","IKDTimeDefine#1","無二江下流","IKDTimeDefine#2","ui/icon/063000/063175.tex",63176,11,"ec025",68089,"無二江行き"
16,"セイレーン海沖合","IKDTimeDefine#1","クガネ沖合","IKDTimeDefine#2","紅玉海沖合","IKDTimeDefine#3","ui/icon/063000/063177.tex",63178,11,"ec026",68089,"紅玉海行き"
17,"セイレーン海沖合","IKDTimeDefine#2","クガネ沖合","IKDTimeDefine#3","紅玉海沖合","IKDTimeDefine#1","ui/icon/063000/063177.tex",63178,11,"k5f1",68089,"紅玉海行き"
18,"セイレーン海沖合","IKDTimeDefine#3","クガネ沖合","IKDTimeDefine#1","紅玉海沖合","IKDTimeDefine#2","ui/icon/063000/063177.tex",63178,11,"m5f1",68089,"紅玉海行き"
