key,0,1,2
#,Name,ClassJobCategory,InclusionShopSeries
int32,str,ClassJobCategory,InclusionShopSeries
0,"","",""
1,"防护职业装备","","蛮神装备（100-115品级）"
2,"近战职业装备（龙骑士）","","蛮神装备（100-115品级）"
3,"近战职业装备（武僧·武士）","","蛮神装备（100-115品级）"
4,"远程物理职业装备","","蛮神装备（100-115品级）"
5,"近战职业装备（忍者）","","蛮神装备（100-115品级）"
6,"治疗职业装备","","蛮神装备（100-115品级）"
7,"魔法进攻职业装备","","蛮神装备（100-115品级）"
8,"战斗相关道具","","特殊武器相关道具"
9,"能工巧匠装备","能工巧匠","能工巧匠装备（55品级）"
10,"制作相关道具","","秘籍"
11,"大地使者装备","大地使者","大地使者装备（55品级）"
12,"采集相关道具","","魔晶石"
13,"防护职业装备","","蛮神装备（175-265品级）"
14,"近战职业装备（龙骑士）","","蛮神装备（175-265品级）"
15,"近战职业装备（武僧·武士）","","蛮神装备（175-265品级）"
16,"远程物理职业装备","","蛮神装备（175-265品级）"
17,"近战职业装备（忍者）","","蛮神装备（175-265品级）"
18,"治疗职业装备","","蛮神装备（175-265品级）"
19,"魔法进攻职业装备","","蛮神装备（175-265品级）"
20,"战斗相关道具","","特殊武器相关道具"
21,"能工巧匠装备","能工巧匠","老匠装备（130品级）"
22,"制作相关道具","","杂货"
23,"大地使者装备","大地使者","先驱装备（130品级）"
24,"采集相关道具","","杂货·钓饵"
25,"防护职业装备","","蛮神·四圣兽装备（320-395品级）"
26,"近战职业装备（龙骑士）","","蛮神·四圣兽装备（320-395品级）"
27,"近战职业装备（武僧·武士）","","蛮神·四圣兽装备（320-395品级）"
28,"远程物理职业装备","","蛮神·四圣兽装备（320-395品级）"
29,"近战职业装备（忍者）","","蛮神·四圣兽装备（320-395品级）"
30,"治疗职业装备","","蛮神·四圣兽装备（320-395品级）"
31,"魔法进攻职业装备","","蛮神·四圣兽装备（320-395品级）"
32,"战斗相关道具","","素材"
33,"能工巧匠装备","能工巧匠","能工巧匠装备（220-230品级）"
34,"制作相关道具","","杂货"
35,"大地使者装备","大地使者","大地使者装备（220-230品级）"
36,"采集相关道具","","杂货·钓饵"
37,"","",""
38,"","",""
39,"","",""
40,"","",""
41,"","",""
42,"","",""
43,"","",""
44,"","",""
45,"","",""
46,"","",""
47,"","",""
48,"","",""
